video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,0,0,Right,0.454332,0.040218,0.540204,0.111066,0.597917,0.203537,0.643255,0.314353,0.688225,0.407281,0.494904,0.247699,0.521512,0.459515,0.542492,0.618281,0.550043,0.755276,0.414362,0.249767,0.405393,0.479993,0.396146,0.656754,0.383129,0.8006,0.352562,0.25253,0.308179,0.439182,0.274668,0.589611,0.249565,0.708291,0.310762,0.26652,0.233199,0.383052,0.181699,0.45807,0.14103,0.515357
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,1,83,Right,0.474433,0.04377,0.551246,0.139887,0.610725,0.254555,0.657667,0.375548,0.700112,0.491237,0.492265,0.296372,0.519262,0.513108,0.536155,0.664348,0.54209,0.799566,0.419996,0.292097,0.407677,0.514442,0.395815,0.689983,0.379906,0.842438,0.361179,0.282154,0.31447,0.44607,0.275035,0.575154,0.240689,0.675748,0.319361,0.275016,0.24118,0.382735,0.186133,0.436053,0.13817,0.48881
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,2,166,Right,0.474723,0.042237,0.54991,0.141412,0.607591,0.267883,0.652077,0.380646,0.690929,0.482853,0.502414,0.303056,0.522495,0.523053,0.537098,0.677118,0.544948,0.81209,0.429919,0.282676,0.405284,0.502545,0.3854,0.672301,0.364409,0.825445,0.367635,0.258375,0.310576,0.434611,0.263045,0.564253,0.22441,0.677904,0.319205,0.232097,0.239334,0.351245,0.183115,0.413228,0.136374,0.476004
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,3,250,Right,0.472495,0.051012,0.554612,0.144868,0.612924,0.264785,0.653725,0.377752,0.689121,0.483616,0.496515,0.292537,0.514766,0.511613,0.529896,0.675104,0.540001,0.822667,0.422423,0.28694,0.403138,0.50355,0.39195,0.679676,0.38035,0.837066,0.359937,0.283099,0.312772,0.458734,0.279906,0.605468,0.254115,0.729765,0.31373,0.277746,0.237069,0.392501,0.185866,0.458391,0.14294,0.524858
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,4,333,Right,0.481001,0.039861,0.556582,0.142998,0.614009,0.268454,0.654623,0.382229,0.685134,0.492579,0.501145,0.309322,0.515685,0.54264,0.523846,0.698261,0.526142,0.826255,0.427909,0.29381,0.405798,0.524039,0.391483,0.697185,0.376781,0.84296,0.367328,0.276567,0.319835,0.46111,0.28956,0.60408,0.266916,0.722068,0.322538,0.258231,0.241258,0.382623,0.185587,0.449282,0.139909,0.51079
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,5,416,Right,0.478236,0.025203,0.552505,0.130063,0.60597,0.261871,0.647494,0.376938,0.684239,0.486591,0.499292,0.310881,0.510768,0.534251,0.522548,0.691622,0.530073,0.816766,0.425884,0.280789,0.396108,0.486229,0.375097,0.645632,0.355663,0.783823,0.365733,0.249803,0.308617,0.41656,0.267487,0.552391,0.236209,0.668472,0.321323,0.221404,0.238061,0.347868,0.183195,0.420351,0.138616,0.491035
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,6,500,Right,0.475291,0.04968,0.55637,0.144668,0.615367,0.262854,0.651072,0.380251,0.683822,0.496458,0.496452,0.294071,0.503701,0.519006,0.50995,0.683521,0.509173,0.823246,0.420318,0.286611,0.394045,0.513267,0.379075,0.692207,0.361596,0.845666,0.35972,0.283648,0.311934,0.467216,0.27958,0.616874,0.251581,0.734632,0.31596,0.28394,0.234506,0.394884,0.177087,0.451155,0.129176,0.508542
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,7,583,Right,0.479486,0.03651,0.556883,0.140282,0.616327,0.265457,0.652475,0.380842,0.68005,0.490616,0.495148,0.287741,0.502793,0.52376,0.508744,0.690583,0.510328,0.825467,0.419982,0.277847,0.39531,0.516685,0.380646,0.694614,0.364328,0.838848,0.358958,0.267243,0.315055,0.467002,0.286137,0.617263,0.262123,0.733524,0.314535,0.256293,0.230721,0.371465,0.171355,0.423904,0.121506,0.470007
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,8,666,Right,0.478156,0.032001,0.555169,0.136795,0.609466,0.26276,0.647809,0.384278,0.678396,0.497254,0.489733,0.277009,0.500455,0.515676,0.5057,0.682473,0.503266,0.822819,0.414297,0.26881,0.395937,0.508071,0.382767,0.687872,0.366249,0.837919,0.353311,0.259185,0.313556,0.45183,0.285926,0.602859,0.261662,0.723558,0.309864,0.250158,0.228765,0.361129,0.170622,0.419556,0.120111,0.471868
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,9,750,Right,0.47584,0.030355,0.554265,0.134639,0.609901,0.260833,0.643876,0.386215,0.670443,0.503868,0.486022,0.264713,0.496012,0.511096,0.502411,0.681029,0.503463,0.822441,0.411339,0.257692,0.393674,0.504088,0.381159,0.686692,0.366035,0.837945,0.35052,0.256151,0.309927,0.45664,0.280564,0.612524,0.256529,0.732572,0.306732,0.257139,0.225831,0.379021,0.170092,0.44601,0.122718,0.505568
record15_1.mp4,10272106c546256decdaaccb395cc1f8e8fec5587297c45939ee1707967d836c,1280,720,12.12,100,8.25,10,833,Right,0.476048,0.031522,0.553616,0.135911,0.609511,0.262139,0.641471,0.386852,0.668435,0.499864,0.483982,0.261821,0.491055,0.508747,0.496852,0.676599,0.498237,0.818122,0.409983,0.256941,0.390896,0.502732,0.378559,0.685313,0.364546,0.836274,0.35116,0.256805,0.311781,0.465617,0.282548,0.619574,0.259247,0.738865,0.310914,0.256358,0.238745,0.385805,0.191361,0.46307,0.152081,0.529885
