video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,0,0,Left,0.994912,0.460893,0.107401,1e-06,0.0,0.0,0.328849,0.229767,-0.06615,0.0,0.0,0.217486,0.390852,-0.12608,0.0,0.0,0.146025,0.543173,-0.168178,0.0,0.0,0.071833,0.641094,-0.2141,0.0,0.0,0.33673,0.369371,-0.253874,0.0,0.0,0.300067,0.591471,-0.349022,0.0,0.0,0.273719,0.74714,-0.401326,0.0,0.0,0.244976,0.874972,-0.436665,0.0,0.0,0.464769,0.349246,-0.253973,0.0,0.0,0.48795,0.582351,-0.353326,0.0,0.0,0.487296,0.775488,-0.406814,0.0,0.0,0.486611,0.918088,-0.452272,0.0,0.0,0.561059,0.335672,-0.246021,0.0,0.0,0.620399,0.548041,-0.331901,0.0,0.0,0.637812,0.716147,-0.378746,0.0,0.0,0.65025,0.839284,-0.414115,0.0,0.0,0.63681,0.33007,-0.237431,0.0,0.0,0.724684,0.493851,-0.311609,0.0,0.0,0.785939,0.603343,-0.351778,0.0,0.0,0.830365,0.696022,-0.380685,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,1,83,Left,0.962197,0.448808,0.124558,1e-06,0.0,0.0,0.318487,0.236386,-0.091084,0.0,0.0,0.221034,0.374792,-0.166409,0.0,0.0,0.14498,0.518675,-0.22413,0.0,0.0,0.072256,0.636298,-0.285954,0.0,0.0,0.352175,0.408377,-0.257899,0.0,0.0,0.304278,0.604912,-0.362471,0.0,0.0,0.283377,0.760718,-0.419088,0.0,0.0,0.258036,0.902404,-0.455785,0.0,0.0,0.476968,0.398882,-0.245126,0.0,0.0,0.492649,0.592198,-0.358686,0.0,0.0,0.495463,0.767112,-0.409746,0.0,0.0,0.487936,0.916214,-0.448812,0.0,0.0,0.574629,0.383287,-0.228826,0.0,0.0,0.618858,0.556238,-0.322947,0.0,0.0,0.632745,0.722427,-0.361409,0.0,0.0,0.630402,0.866507,-0.387766,0.0,0.0,0.648301,0.36326,-0.215957,0.0,0.0,0.736216,0.4963,-0.298591,0.0,0.0,0.785324,0.606022,-0.343159,0.0,0.0,0.820117,0.716259,-0.373118,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,2,166,Left,0.914902,0.449904,0.121017,1e-06,0.0,0.0,0.320464,0.233093,-0.09037,0.0,0.0,0.227244,0.372785,-0.169586,0.0,0.0,0.151265,0.514732,-0.233063,0.0,0.0,0.071865,0.62806,-0.30075,0.0,0.0,0.353117,0.415634,-0.251346,0.0,0.0,0.307379,0.619586,-0.35698,0.0,0.0,0.287236,0.768787,-0.414441,0.0,0.0,0.264341,0.907102,-0.452382,0.0,0.0,0.478415,0.411156,-0.244319,0.0,0.0,0.492163,0.606413,-0.35858,0.0,0.0,0.500498,0.767657,-0.411855,0.0,0.0,0.500147,0.912242,-0.452408,0.0,0.0,0.578764,0.393792,-0.234761,0.0,0.0,0.619904,0.566968,-0.333662,0.0,0.0,0.639429,0.726263,-0.377884,0.0,0.0,0.646554,0.868705,-0.407872,0.0,0.0,0.651064,0.36809,-0.228322,0.0,0.0,0.737987,0.50087,-0.313959,0.0,0.0,0.789568,0.604525,-0.360354,0.0,0.0,0.830305,0.711044,-0.392546,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,3,250,Left,0.925914,0.451783,0.125262,1e-06,0.0,0.0,0.320262,0.239163,-0.09121,0.0,0.0,0.226282,0.37935,-0.172371,0.0,0.0,0.14932,0.519992,-0.236906,0.0,0.0,0.068419,0.629773,-0.305658,0.0,0.0,0.351752,0.417075,-0.261195,0.0,0.0,0.30672,0.619002,-0.371117,0.0,0.0,0.285583,0.769329,-0.430678,0.0,0.0,0.260356,0.907812,-0.469281,0.0,0.0,0.477363,0.409349,-0.253973,0.0,0.0,0.491201,0.606594,-0.373106,0.0,0.0,0.499194,0.771349,-0.429326,0.0,0.0,0.497776,0.91767,-0.471632,0.0,0.0,0.578894,0.392656,-0.243448,0.0,0.0,0.620069,0.566598,-0.345244,0.0,0.0,0.640153,0.727862,-0.391371,0.0,0.0,0.647351,0.87131,-0.422348,0.0,0.0,0.65384,0.369196,-0.235731,0.0,0.0,0.740242,0.503666,-0.322805,0.0,0.0,0.79129,0.608549,-0.370014,0.0,0.0,0.831282,0.716315,-0.402637,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,4,333,Left,0.918134,0.450395,0.128422,1e-06,0.0,0.0,0.320707,0.241231,-0.088099,0.0,0.0,0.224302,0.377958,-0.167544,0.0,0.0,0.145048,0.517594,-0.231233,0.0,0.0,0.06524,0.626228,-0.299262,0.0,0.0,0.352642,0.42316,-0.254629,0.0,0.0,0.305169,0.622804,-0.360817,0.0,0.0,0.284259,0.770325,-0.418225,0.0,0.0,0.260054,0.906228,-0.45591,0.0,0.0,0.478336,0.416986,-0.248389,0.0,0.0,0.489948,0.612402,-0.36321,0.0,0.0,0.498527,0.773055,-0.416631,0.0,0.0,0.497182,0.914542,-0.457376,0.0,0.0,0.578837,0.398635,-0.238824,0.0,0.0,0.618326,0.572223,-0.337274,0.0,0.0,0.638729,0.731106,-0.381594,0.0,0.0,0.645496,0.871074,-0.41197,0.0,0.0,0.651142,0.371836,-0.23197,0.0,0.0,0.737377,0.502579,-0.317746,0.0,0.0,0.787808,0.603778,-0.364293,0.0,0.0,0.826914,0.708863,-0.396443,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,5,416,Left,0.931848,0.45184,0.122244,1e-06,0.0,0.0,0.319967,0.237878,-0.091176,0.0,0.0,0.225154,0.38076,-0.169884,0.0,0.0,0.145722,0.521247,-0.232243,0.0,0.0,0.066558,0.633762,-0.298511,0.0,0.0,0.356956,0.422963,-0.252874,0.0,0.0,0.308531,0.619753,-0.358335,0.0,0.0,0.287138,0.766718,-0.4164,0.0,0.0,0.262501,0.905632,-0.454877,0.0,0.0,0.480629,0.415471,-0.244507,0.0,0.0,0.495574,0.607172,-0.357104,0.0,0.0,0.503879,0.76914,-0.410068,0.0,0.0,0.502275,0.913862,-0.450805,0.0,0.0,0.578547,0.397067,-0.233379,0.0,0.0,0.62044,0.566482,-0.330178,0.0,0.0,0.63954,0.72476,-0.373457,0.0,0.0,0.646199,0.868637,-0.40312,0.0,0.0,0.649661,0.369732,-0.225522,0.0,0.0,0.734754,0.49859,-0.309048,0.0,0.0,0.78643,0.598476,-0.353697,0.0,0.0,0.826746,0.70413,-0.384685,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,6,500,Left,0.930955,0.452203,0.117995,1e-06,0.0,0.0,0.322781,0.237095,-0.084857,0.0,0.0,0.226749,0.38118,-0.160892,0.0,0.0,0.147364,0.522499,-0.2221,0.0,0.0,0.065423,0.630897,-0.287257,0.0,0.0,0.353507,0.4153,-0.244618,0.0,0.0,0.306589,0.61749,-0.347393,0.0,0.0,0.287529,0.766001,-0.403216,0.0,0.0,0.264432,0.908228,-0.440429,0.0,0.0,0.475705,0.404801,-0.239482,0.0,0.0,0.491903,0.595412,-0.353361,0.0,0.0,0.502983,0.759535,-0.407092,0.0,0.0,0.504803,0.909106,-0.447579,0.0,0.0,0.572497,0.385213,-0.230991,0.0,0.0,0.616919,0.553217,-0.328179,0.0,0.0,0.638558,0.715094,-0.370336,0.0,0.0,0.648169,0.863256,-0.398272,0.0,0.0,0.643256,0.358623,-0.225368,0.0,0.0,0.729738,0.489749,-0.308085,0.0,0.0,0.781093,0.590803,-0.350893,0.0,0.0,0.821957,0.697519,-0.379887,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,7,583,Left,0.932751,0.450206,0.129746,1e-06,0.0,0.0,0.320961,0.243378,-0.0841,0.0,0.0,0.224981,0.382983,-0.156147,0.0,0.0,0.147626,0.523825,-0.212694,0.0,0.0,0.068576,0.629907,-0.271993,0.0,0.0,0.356074,0.426755,-0.232736,0.0,0.0,0.307635,0.62047,-0.330001,0.0,0.0,0.288921,0.766614,-0.38273,0.0,0.0,0.266709,0.906081,-0.41819,0.0,0.0,0.480305,0.424586,-0.224666,0.0,0.0,0.495418,0.610419,-0.335107,0.0,0.0,0.503761,0.768599,-0.386189,0.0,0.0,0.503317,0.914036,-0.424353,0.0,0.0,0.576575,0.407048,-0.213296,0.0,0.0,0.62055,0.564996,-0.30691,0.0,0.0,0.639778,0.717622,-0.344866,0.0,0.0,0.6466,0.858579,-0.369574,0.0,0.0,0.642933,0.379298,-0.205077,0.0,0.0,0.730675,0.504407,-0.284356,0.0,0.0,0.782017,0.60034,-0.324171,0.0,0.0,0.824529,0.703719,-0.350676,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,8,666,Left,0.93463,0.450433,0.126202,1e-06,0.0,0.0,0.318958,0.242306,-0.086586,0.0,0.0,0.22505,0.384484,-0.160933,0.0,0.0,0.148292,0.525798,-0.219178,0.0,0.0,0.069077,0.636064,-0.280274,0.0,0.0,0.357667,0.43446,-0.237702,0.0,0.0,0.312659,0.629648,-0.336226,0.0,0.0,0.295056,0.773156,-0.389994,0.0,0.0,0.274515,0.909442,-0.426364,0.0,0.0,0.481673,0.433336,-0.229458,0.0,0.0,0.498603,0.618623,-0.338975,0.0,0.0,0.508571,0.773013,-0.390439,0.0,0.0,0.510149,0.915072,-0.429043,0.0,0.0,0.577383,0.416682,-0.218194,0.0,0.0,0.621953,0.57814,-0.312677,0.0,0.0,0.641578,0.726699,-0.353277,0.0,0.0,0.649876,0.863854,-0.380117,0.0,0.0,0.641838,0.388681,-0.209983,0.0,0.0,0.730322,0.510203,-0.290419,0.0,0.0,0.784877,0.602485,-0.331777,0.0,0.0,0.829861,0.702021,-0.359563,0.0,0.0
record2.mp4,e7f94d8ffdda6840c9b04703cf2b6166921cdbd5be69632bee01bf2c9ebea648,640,480,12.02,736,61.25,9,750,Left,0.901722,0.454681,0.132628,1e-06,0.0,0.0,0.32097,0.245596,-0.089489,0.0,0.0,0.225058,0.386742,-0.164428,0.0,0.0,0.149121,0.52958,-0.222503,0.0,0.0,0.072993,0.638815,-0.283318,0.0,0.0,0.359059,0.448944,-0.243798,0.0,0.0,0.309418,0.640812,-0.342887,0.0,0.0,0.291921,0.777656,-0.395955,0.0,0.0,0.272947,0.905784,-0.431556,0.0,0.0,0.485404,0.447765,-0.233734,0.0,0.0,0.50043,0.629176,-0.345068,0.0,0.0,0.509622,0.778977,-0.396573,0.0,0.0,0.510213,0.915214,-0.434805,0.0,0.0,0.58163,0.429085,-0.220551,0.0,0.0,0.623107,0.585725,-0.316678,0.0,0.0,0.6412,0.727575,-0.358039,0.0,0.0,0.648048,0.858467,-0.385145,0.0,0.0,0.644226,0.397318,-0.210417,0.0,0.0,0.730193,0.516062,-0.293005,0.0,0.0,0.784566,0.605926,-0.335758,0.0,0.0,0.829541,0.704311,-0.364145,0.0,0.0
