video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,0,0,Left,0.499265,0.140811,0.377706,0.222495,0.259071,0.352856,0.183355,0.482427,0.108698,0.556985,0.394908,0.371296,0.363592,0.564429,0.336738,0.696382,0.307636,0.811204,0.510469,0.367828,0.528833,0.583046,0.538684,0.735209,0.551554,0.853197,0.593796,0.367997,0.6477,0.575963,0.68085,0.713991,0.713565,0.816359,0.654391,0.370594,0.729682,0.513613,0.794535,0.594068,0.847296,0.661943
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,1,83,Left,0.473704,0.139982,0.357091,0.209177,0.256063,0.340281,0.173607,0.470259,0.098851,0.563502,0.40099,0.381114,0.35875,0.569263,0.342075,0.707746,0.327839,0.837749,0.516515,0.398679,0.528553,0.577782,0.543851,0.726124,0.560185,0.864458,0.605171,0.400527,0.646547,0.564834,0.679241,0.69742,0.707472,0.818155,0.665265,0.390165,0.753952,0.524005,0.822345,0.59877,0.883456,0.673786
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,2,166,Left,0.473741,0.128676,0.349516,0.209835,0.252003,0.343321,0.17445,0.475802,0.09741,0.568052,0.40034,0.4056,0.354811,0.586741,0.336276,0.712011,0.322708,0.830784,0.517947,0.424514,0.527888,0.600967,0.545199,0.735594,0.563737,0.864511,0.606839,0.42263,0.643399,0.574844,0.673983,0.694858,0.703757,0.807356,0.665196,0.40464,0.75657,0.52646,0.826735,0.602691,0.89011,0.6797
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,3,250,Left,0.47399,0.123286,0.348612,0.203189,0.251422,0.334699,0.176531,0.4707,0.101908,0.568496,0.399133,0.397647,0.35391,0.583505,0.335075,0.711802,0.320611,0.833895,0.516551,0.419111,0.528694,0.599515,0.54678,0.737351,0.565967,0.868535,0.605468,0.419284,0.643373,0.569954,0.673217,0.687705,0.702101,0.798516,0.66422,0.402611,0.755189,0.525877,0.824352,0.60159,0.886937,0.677856
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,4,333,Left,0.473035,0.125739,0.348863,0.203221,0.252069,0.334798,0.178308,0.469413,0.100196,0.56645,0.398672,0.383766,0.353476,0.573708,0.334197,0.704413,0.320231,0.827978,0.515315,0.405982,0.527114,0.589572,0.544082,0.729851,0.563605,0.863853,0.604131,0.408959,0.64159,0.563426,0.669244,0.684472,0.697336,0.797463,0.662824,0.396771,0.753478,0.524462,0.822523,0.599012,0.885139,0.672454
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,5,416,Left,0.472692,0.121178,0.34895,0.197886,0.252929,0.332934,0.178574,0.470019,0.101283,0.568263,0.401728,0.379414,0.35641,0.570088,0.336959,0.70341,0.321624,0.827946,0.518806,0.401029,0.52991,0.582699,0.54653,0.724389,0.563277,0.85838,0.606717,0.404137,0.64269,0.558687,0.668379,0.683283,0.692949,0.799442,0.663875,0.392716,0.75631,0.520191,0.824926,0.599411,0.884738,0.678415
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,6,500,Left,0.465429,0.102409,0.341805,0.185462,0.249391,0.328254,0.174122,0.468091,0.096577,0.567224,0.394356,0.34603,0.357702,0.550757,0.342873,0.689614,0.329698,0.821634,0.511764,0.368226,0.522305,0.559887,0.538247,0.707887,0.554088,0.849583,0.600791,0.375367,0.638698,0.540412,0.666982,0.671978,0.693452,0.791488,0.657551,0.369639,0.745008,0.49806,0.809057,0.577257,0.866887,0.65465
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,7,583,Left,0.459983,0.082355,0.337004,0.174022,0.250551,0.316245,0.175838,0.45665,0.098125,0.559375,0.394231,0.328455,0.355526,0.540348,0.338962,0.685863,0.324126,0.819046,0.5098,0.344923,0.519723,0.551103,0.534947,0.709084,0.54803,0.851245,0.596619,0.350151,0.63157,0.526463,0.659773,0.67008,0.684888,0.797723,0.651973,0.347354,0.735543,0.4808,0.795389,0.565591,0.849957,0.648498
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,8,666,Left,0.464005,0.095233,0.342667,0.179454,0.254149,0.319002,0.175386,0.458584,0.106272,0.568726,0.393822,0.313336,0.355839,0.524725,0.336868,0.674465,0.319706,0.813536,0.508398,0.328329,0.514501,0.534551,0.529222,0.69796,0.541865,0.846238,0.59505,0.337377,0.628807,0.517947,0.658168,0.66728,0.683561,0.797813,0.650544,0.340434,0.735166,0.483976,0.796648,0.578302,0.849826,0.665456
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,9,750,Left,0.463829,0.077524,0.345532,0.164307,0.260798,0.305177,0.187399,0.445251,0.122093,0.557369,0.400699,0.317066,0.357676,0.529409,0.333956,0.678773,0.313482,0.816705,0.513679,0.333911,0.517231,0.541008,0.531023,0.702678,0.543918,0.850674,0.598649,0.34406,0.631163,0.532116,0.660683,0.680429,0.687731,0.811688,0.653146,0.346926,0.737569,0.490661,0.79804,0.582755,0.850358,0.667957
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,10,833,Left,0.462917,0.077508,0.349445,0.166168,0.260328,0.318546,0.194533,0.470323,0.131235,0.579612,0.398059,0.333351,0.353868,0.520769,0.333873,0.65667,0.316311,0.785833,0.510153,0.347312,0.50915,0.54792,0.52395,0.70472,0.536765,0.847755,0.595015,0.352199,0.630491,0.537054,0.663647,0.682838,0.692934,0.809055,0.648806,0.349089,0.73435,0.487516,0.797507,0.578779,0.85366,0.666271
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,11,916,Left,0.461689,0.072336,0.346442,0.16681,0.257625,0.315067,0.198681,0.467849,0.137485,0.578393,0.388627,0.338091,0.337747,0.535946,0.314369,0.684756,0.296185,0.820965,0.503003,0.349548,0.509341,0.548282,0.52647,0.706139,0.543752,0.845618,0.59008,0.353512,0.626929,0.537164,0.65515,0.682551,0.682964,0.807037,0.645751,0.352089,0.73401,0.49358,0.796865,0.585061,0.851151,0.671151
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,12,1000,Left,0.462507,0.065675,0.345606,0.158279,0.259607,0.30651,0.204399,0.459611,0.140078,0.574111,0.387486,0.33577,0.344506,0.532058,0.32275,0.678588,0.302792,0.811744,0.500958,0.346133,0.511997,0.539078,0.527473,0.697574,0.543602,0.842606,0.588997,0.349571,0.627031,0.531777,0.651811,0.675733,0.675225,0.803973,0.646838,0.347538,0.734128,0.489082,0.794604,0.576391,0.847912,0.659952
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,13,1083,Left,0.464236,0.081422,0.351501,0.168027,0.262049,0.314337,0.205227,0.465413,0.136643,0.570491,0.387416,0.343114,0.341959,0.531059,0.32311,0.676454,0.305476,0.80959,0.505744,0.351717,0.533544,0.548979,0.556652,0.710393,0.576409,0.86259,0.593966,0.355619,0.63394,0.529878,0.658544,0.673108,0.680932,0.80396,0.650746,0.355104,0.737874,0.496865,0.799798,0.5838,0.852263,0.671066
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,14,1166,Left,0.466538,0.091392,0.346548,0.175893,0.259389,0.320158,0.204119,0.471777,0.136588,0.575808,0.380624,0.35982,0.338055,0.542371,0.320253,0.680766,0.303057,0.808976,0.496931,0.365658,0.514458,0.532483,0.535545,0.669118,0.553178,0.802418,0.586623,0.366354,0.627164,0.527763,0.656924,0.668553,0.68204,0.800258,0.646214,0.362217,0.730866,0.495372,0.792547,0.581831,0.845813,0.672212
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,15,1250,Left,0.466056,0.097423,0.352366,0.187354,0.26698,0.324726,0.209398,0.464628,0.146922,0.566903,0.389171,0.364501,0.344976,0.554098,0.326358,0.691959,0.307963,0.820487,0.501727,0.370729,0.511339,0.552806,0.52493,0.705639,0.534793,0.847489,0.589156,0.369045,0.629017,0.537507,0.653944,0.675747,0.67248,0.800611,0.648313,0.363582,0.737575,0.498173,0.79841,0.585684,0.850714,0.67268
record2_2.mp4,24261c74e79d8afc8a168ffbeb66a7ba0c9fb94bf9c80850585526633f8d2ba3,640,480,12.02,551,45.833,16,1333,Left,0.461733,0.089984,0.349797,0.179733,0.259758,0.324988,0.203129,0.472865,0.139462,0.580539,0.384066,0.358723,0.34219,0.531597,0.321938,0.661761,0.301358,0.786395,0.498114,0.368808,0.503567,0.548219,0.517035,0.699082,0.527285,0.837215,0.586622,0.369837,0.623591,0.534227,0.651554,0.675077,0.673675,0.798207,0.646341,0.364249,0.733475,0.497733,0.794984,0.582788,0.849044,0.667285
