video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,0,0,Right,0.322681,0.110568,0.432909,0.118904,0.534792,0.197684,0.609863,0.290507,0.670432,0.376185,0.500928,0.282181,0.559053,0.485553,0.59429,0.624702,0.615175,0.742311,0.430615,0.327326,0.46941,0.544208,0.496602,0.713891,0.513661,0.856178,0.361383,0.353169,0.361501,0.551176,0.3729,0.714901,0.378431,0.847482,0.30126,0.363624,0.273241,0.528637,0.25436,0.64006,0.238126,0.735188
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,1,83,Right,0.307352,0.093645,0.428439,0.10714,0.530663,0.175603,0.603486,0.269066,0.658341,0.371208,0.499494,0.266987,0.561892,0.475699,0.596356,0.616812,0.619799,0.739438,0.428987,0.326159,0.47028,0.548063,0.497972,0.719444,0.514166,0.857335,0.36092,0.361623,0.364041,0.576186,0.376328,0.737044,0.384685,0.870309,0.303084,0.372611,0.276938,0.549485,0.25854,0.657232,0.243865,0.754154
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,2,166,Right,0.308002,0.093155,0.427953,0.108578,0.532112,0.18017,0.607598,0.273357,0.665189,0.376626,0.501064,0.262805,0.562617,0.477175,0.596174,0.621256,0.617551,0.746587,0.429106,0.320051,0.469181,0.546879,0.496435,0.719365,0.512009,0.857533,0.360023,0.35492,0.364157,0.575067,0.376132,0.73843,0.384354,0.873161,0.301496,0.366366,0.27846,0.546709,0.259445,0.657812,0.243886,0.755799
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,3,250,Right,0.307714,0.091055,0.425803,0.107797,0.53008,0.17881,0.60686,0.272761,0.662836,0.3775,0.501083,0.262107,0.562774,0.477539,0.596547,0.621454,0.617564,0.746343,0.430647,0.318824,0.470526,0.545308,0.497366,0.718304,0.512133,0.85682,0.361872,0.351689,0.365845,0.573621,0.377154,0.736438,0.38553,0.8704,0.302614,0.359914,0.278246,0.540354,0.259861,0.652255,0.24452,0.750878
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,4,333,Right,0.308263,0.094016,0.428349,0.109439,0.531406,0.179806,0.607071,0.27475,0.664155,0.379033,0.502023,0.264824,0.564117,0.477674,0.597875,0.621445,0.618618,0.746624,0.431179,0.320629,0.471089,0.543954,0.499114,0.717082,0.514093,0.8554,0.362612,0.353618,0.365652,0.573722,0.378476,0.736413,0.386993,0.87016,0.303603,0.362747,0.278335,0.54179,0.259943,0.65284,0.244639,0.750753
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,5,416,Right,0.307044,0.09237,0.42725,0.106259,0.531242,0.177566,0.606286,0.274731,0.663472,0.37867,0.502333,0.261819,0.564302,0.477356,0.59738,0.621658,0.6181,0.745911,0.431078,0.317674,0.472884,0.54194,0.500392,0.71583,0.515369,0.854416,0.362151,0.351214,0.366698,0.572048,0.378922,0.736347,0.387517,0.870988,0.30315,0.361398,0.279708,0.542107,0.260911,0.652653,0.245383,0.749353
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,6,500,Right,0.307987,0.103018,0.432799,0.115683,0.533715,0.179846,0.603732,0.273846,0.663656,0.377341,0.504015,0.260506,0.564573,0.477882,0.598213,0.622586,0.619613,0.747011,0.431001,0.317711,0.473393,0.53888,0.502517,0.713489,0.518181,0.853244,0.362214,0.35574,0.365646,0.570595,0.379517,0.736825,0.386945,0.872488,0.303843,0.374464,0.280509,0.548557,0.26145,0.659032,0.247531,0.755161
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,7,583,Right,0.310786,0.106063,0.437847,0.126443,0.537045,0.183164,0.601293,0.275283,0.661262,0.377626,0.5011,0.257915,0.562015,0.480718,0.597645,0.626667,0.622498,0.751367,0.427283,0.31813,0.47009,0.533416,0.502344,0.707994,0.521609,0.849417,0.359021,0.359501,0.355429,0.572406,0.368362,0.745689,0.372888,0.884679,0.302361,0.387834,0.281318,0.554857,0.261301,0.662599,0.247449,0.756203
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,8,666,Right,0.304744,0.089115,0.428697,0.110125,0.530734,0.171327,0.598726,0.267912,0.658541,0.362831,0.493263,0.246651,0.555167,0.477689,0.589168,0.619395,0.615493,0.745277,0.421185,0.301092,0.470788,0.520445,0.502905,0.6921,0.52416,0.836639,0.351285,0.34157,0.347155,0.559658,0.355953,0.73499,0.361212,0.878033,0.295425,0.369481,0.277591,0.555134,0.257427,0.666517,0.243708,0.763373
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,9,750,Right,0.305118,0.08744,0.429196,0.109363,0.534455,0.170987,0.602612,0.264184,0.661696,0.359565,0.493137,0.234138,0.553016,0.475466,0.587831,0.621271,0.614594,0.748068,0.416968,0.295985,0.466031,0.525379,0.49858,0.702311,0.520896,0.852528,0.345384,0.344401,0.342149,0.54731,0.344426,0.696434,0.342583,0.820357,0.287683,0.380154,0.263697,0.547655,0.234278,0.646648,0.212802,0.734349
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,10,833,Right,0.302635,0.082168,0.42324,0.100561,0.53169,0.171241,0.60715,0.269513,0.664707,0.370194,0.492779,0.23333,0.555562,0.471077,0.588347,0.621604,0.611281,0.747575,0.416715,0.291023,0.467347,0.526237,0.499438,0.700394,0.520881,0.840947,0.344513,0.331682,0.348548,0.532732,0.354779,0.673442,0.358182,0.790287,0.284363,0.352578,0.244948,0.510304,0.20914,0.59619,0.18121,0.66991
