video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,0,0,4,0,333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,1,3,7,250,583,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,2,6,10,500,833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,3,9,13,750,1083,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,4,12,16,1000,1333,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,5,15,19,1250,1583,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,6,18,22,1500,1833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,7,21,25,1750,2083,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,8,24,28,2000,2333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,9,27,31,2250,2583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,10,30,34,2500,2833,5,2,1,0,0,0,0,1,0,1,0,0,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,11,33,37,2750,3083,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,12,36,40,3000,3333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,13,39,43,3250,3583,5,2,1,0,0,0,0,1,0,1,0,0,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,14,42,46,3500,3833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,15,45,49,3750,4083,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,16,48,52,4000,4333,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,17,51,55,4250,4583,5,2,1,0,0,0,0,1,0,0,0,0,1,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,18,54,58,4500,4833,5,2,1,0,0,0,0,1,0,1,0,0,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,19,57,61,4750,5083,5,2,1,0,0,0,0,1,0,0,0,1,1,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,20,60,64,5000,5333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,21,63,67,5250,5583,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,22,66,70,5500,5833,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,23,69,73,5750,6083,5,2,1,0,0,0,0,1,0,0,0,1,1,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,24,72,76,6000,6333,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1
v2.mp4,v2.raw_landmarks.ddecbd952aefa8c0.csv,ddecbd952aefa8c0e27daa5984be8c4fc1c2f66a336ad9e8bcb32cf26fc7c296,25,75,79,6250,6583,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1
