video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,0,0,4,0,333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1,3,7,250,583,5,2,1,0,0,0,1,1,0,0,0,1,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,2,6,10,500,833,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,3,9,13,750,1083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,4,12,16,1000,1333,5,2,1,0,0,0,1,1,0,0,0,1,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,5,15,19,1250,1583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,6,18,22,1500,1833,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,7,21,25,1750,2083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,8,24,28,2000,2333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,9,27,31,2250,2583,5,2,1,0,0,0,1,1,0,1,0,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,10,30,34,2500,2833,5,2,1,0,0,0,1,1,0,1,0,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,11,33,37,2750,3083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,12,36,40,3000,3333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,13,39,43,3250,3583,5,2,1,0,0,0,1,1,0,1,0,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,14,42,46,3500,3833,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,15,45,49,3750,4083,5,2,1,0,0,0,1,1,0,0,1,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,16,48,52,4000,4333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,17,51,55,4250,4583,5,2,1,0,0,0,1,1,0,0,0,1,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,18,54,58,4500,4833,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,19,57,61,4750,5083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,20,60,64,5000,5333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,21,63,67,5250,5583,5,2,1,0,0,0,1,1,0,0,1,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,22,66,70,5500,5833,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,23,69,73,5750,6083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,24,72,76,6000,6333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,25,75,79,6250,6583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,26,78,82,6500,6833,5,2,1,0,0,0,1,1,0,0,0,0,0,1,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,27,81,85,6750,7083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,28,84,88,7000,7333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,29,87,91,7250,7583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,30,90,94,7500,7833,5,2,1,0,0,0,1,1,0,0,1,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,31,93,97,7750,8083,5,2,1,0,0,0,1,1,0,0,1,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,32,96,100,8000,8333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,33,99,103,8250,8583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,34,102,106,8500,8833,5,2,1,0,0,0,1,1,0,0,1,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,35,105,109,8750,9083,5,2,1,0,0,0,1,1,0,0,1,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,36,108,112,9000,9333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,37,111,115,9250,9583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,38,114,118,9500,9833,5,2,1,0,0,0,1,1,0,0,0,1,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,39,117,121,9750,10083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,40,120,124,10000,10333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,41,123,127,10250,10583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,42,126,130,10500,10833,5,2,1,0,0,0,1,1,1,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,43,129,133,10750,11083,5,2,1,0,0,0,1,1,1,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,44,132,136,11000,11333,5,2,1,0,0,0,1,1,0,0,1,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,45,135,139,11250,11583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,46,138,142,11500,11833,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,47,141,145,11750,12083,5,2,1,0,0,0,1,1,0,1,0,0,0,0,1
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,48,144,148,12000,12333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
v6.mp4,v6.raw_landmarks.7c99d4d53a4894f3.csv,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,49,147,151,12250,12583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
