video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,0,0,4,0,333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1,3,7,250,583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,2,6,10,500,833,5,2,1,1,0,0,0,1,0,0,0,0,0,0,0
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,3,9,13,750,1083,5,2,1,1,0,0,0,1,0,0,0,0,0,0,0
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,4,12,16,1000,1333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,5,15,19,1250,1583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,6,18,22,1500,1833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,7,21,25,1750,2083,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,8,24,28,2000,2333,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1
record11.mp4,record11.raw_landmarks.473fcd6156128896.csv,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,9,27,31,2250,2583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
