video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,0,0,Right,0.473976,0.051198,0.554436,0.131788,0.613261,0.244725,0.647042,0.36739,0.677862,0.481968,0.49939,0.238714,0.495186,0.435011,0.491913,0.590651,0.48429,0.722009,0.426723,0.233362,0.406354,0.478095,0.392186,0.671025,0.377999,0.817025,0.365846,0.236883,0.326251,0.449107,0.298891,0.617943,0.278919,0.742222,0.323799,0.245432,0.259099,0.391878,0.219407,0.482633,0.187358,0.554859
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,1,83,Right,0.484006,0.031642,0.559812,0.140468,0.617305,0.262243,0.648205,0.378048,0.66793,0.484982,0.503812,0.266728,0.511791,0.499257,0.51713,0.660911,0.517147,0.794835,0.430301,0.25167,0.410304,0.498363,0.397383,0.684769,0.382653,0.835288,0.372008,0.243855,0.329576,0.45457,0.301664,0.613073,0.279668,0.736197,0.331936,0.240853,0.265386,0.38739,0.221406,0.478487,0.184748,0.557271
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,2,166,Right,0.477459,0.040421,0.553848,0.14519,0.614088,0.264632,0.648662,0.381699,0.668721,0.491205,0.506883,0.276473,0.514896,0.502512,0.518448,0.662545,0.515204,0.796102,0.4342,0.261222,0.415903,0.499199,0.40247,0.683777,0.387416,0.835753,0.37369,0.253058,0.332246,0.460317,0.302708,0.615739,0.27868,0.73758,0.329774,0.248318,0.264725,0.392173,0.219883,0.48009,0.181568,0.556994
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,3,250,Right,0.472126,0.052476,0.547912,0.137481,0.608788,0.256529,0.643396,0.372508,0.663507,0.485857,0.494839,0.255345,0.493523,0.455368,0.490255,0.60377,0.48111,0.733276,0.424462,0.252118,0.40882,0.47917,0.397747,0.663222,0.3842,0.816658,0.366009,0.255595,0.331739,0.450925,0.302608,0.609633,0.27877,0.735558,0.321795,0.255938,0.260142,0.39308,0.217732,0.481843,0.183829,0.56247
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,4,333,Right,0.482375,0.044654,0.557706,0.147187,0.613403,0.268995,0.647173,0.386996,0.668493,0.497657,0.506597,0.272749,0.519862,0.509251,0.525415,0.671353,0.524805,0.800133,0.433198,0.257989,0.418752,0.497794,0.407898,0.681325,0.395742,0.8295,0.372853,0.249479,0.333681,0.454869,0.304452,0.611889,0.282239,0.73383,0.330354,0.244642,0.264295,0.38929,0.219941,0.480001,0.183494,0.558031
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,5,416,Right,0.474848,0.036244,0.5514,0.134422,0.60856,0.254267,0.644086,0.373539,0.669149,0.484698,0.501958,0.278326,0.520345,0.518442,0.530724,0.681119,0.535432,0.810534,0.429084,0.269956,0.41367,0.50652,0.403185,0.688044,0.39242,0.836357,0.369598,0.262629,0.330776,0.464053,0.301266,0.618071,0.279185,0.74097,0.326972,0.254135,0.261778,0.395971,0.216854,0.483583,0.181022,0.560157
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,6,500,Right,0.481855,0.04601,0.558526,0.150499,0.614147,0.271083,0.647025,0.387813,0.675069,0.493595,0.506002,0.28918,0.528974,0.511451,0.541005,0.666402,0.547602,0.794822,0.433935,0.274953,0.416491,0.505618,0.403946,0.683523,0.391715,0.831487,0.373829,0.264346,0.333741,0.458894,0.302964,0.611612,0.279311,0.73679,0.328996,0.253074,0.261113,0.392549,0.216944,0.477943,0.181347,0.557275
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,7,583,Right,0.478954,0.038998,0.5547,0.142154,0.608842,0.264549,0.644392,0.382544,0.676711,0.48795,0.507293,0.284871,0.533769,0.512855,0.548039,0.673246,0.555924,0.804664,0.434666,0.272003,0.417461,0.50451,0.40377,0.684368,0.390847,0.833887,0.373445,0.261748,0.333185,0.459413,0.301081,0.613211,0.277108,0.740303,0.327599,0.249669,0.260233,0.390729,0.215481,0.477885,0.180126,0.557135
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,8,666,Right,0.475095,0.041743,0.551444,0.135141,0.608576,0.261834,0.647517,0.380554,0.681783,0.489375,0.51049,0.269229,0.538691,0.442398,0.562128,0.576424,0.580594,0.702261,0.435295,0.258348,0.415447,0.488608,0.401728,0.676205,0.386891,0.835932,0.371744,0.256273,0.331107,0.454298,0.299257,0.6158,0.273687,0.750605,0.324113,0.257566,0.260497,0.402042,0.218393,0.490577,0.184274,0.577595
record14_1.mp4,841e6605e930f4a276d1cbb51a0a6827ebe4f6e04148c2982154fd2fee4c483c,1280,720,12.13,93,7.667,9,750,Right,0.470904,0.041092,0.550101,0.145722,0.606377,0.265204,0.64453,0.382622,0.679289,0.493537,0.509592,0.302008,0.542665,0.521074,0.561297,0.676203,0.571975,0.804718,0.435616,0.285109,0.415821,0.518167,0.401553,0.700462,0.387687,0.854244,0.372957,0.27,0.332063,0.464187,0.302134,0.619969,0.279724,0.749584,0.324431,0.252979,0.257921,0.39891,0.213261,0.488579,0.177556,0.572259
