video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,0,0,Right,0.515445,-0.080863,0.582433,-0.018411,0.634229,0.069464,0.675915,0.158592,0.724537,0.224336,0.512748,0.190768,0.520856,0.389801,0.524112,0.523894,0.522077,0.637722,0.453463,0.193907,0.439444,0.39695,0.427349,0.539488,0.411878,0.656369,0.410501,0.178712,0.37314,0.346632,0.346127,0.467394,0.322899,0.564476,0.381861,0.160485,0.32711,0.282208,0.293742,0.35718,0.26454,0.421745
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,1,83,Right,0.506084,-0.021317,0.581944,0.045108,0.638346,0.145038,0.67212,0.255437,0.698757,0.361071,0.524623,0.215837,0.526558,0.401659,0.529374,0.531133,0.527828,0.643142,0.463673,0.21116,0.44407,0.405566,0.431383,0.544267,0.416288,0.661068,0.418127,0.195868,0.379477,0.356302,0.350582,0.473422,0.326686,0.568246,0.386703,0.171742,0.332101,0.287772,0.296238,0.358258,0.26567,0.421873
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,2,166,Left,0.51903,0.01665,0.590773,0.079274,0.645064,0.177667,0.677769,0.270078,0.701002,0.366062,0.538494,0.256979,0.536129,0.432434,0.534385,0.544981,0.530182,0.640491,0.477222,0.240134,0.451613,0.416682,0.43324,0.542001,0.414239,0.652739,0.430055,0.210506,0.389412,0.359972,0.35707,0.468878,0.330502,0.562835,0.394084,0.168971,0.338314,0.284344,0.2997,0.352825,0.267569,0.417899
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,3,250,Right,0.511405,0.02689,0.588827,0.083106,0.647201,0.175261,0.679769,0.266092,0.702653,0.36048,0.541562,0.236593,0.539188,0.397975,0.537526,0.511176,0.534171,0.603995,0.48034,0.225191,0.462202,0.399088,0.449601,0.528051,0.435534,0.638783,0.430426,0.201768,0.391911,0.353049,0.362013,0.465007,0.337099,0.56267,0.391537,0.164794,0.335764,0.276874,0.297591,0.342905,0.265189,0.408335
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,4,333,Right,0.517408,0.007259,0.59102,0.076967,0.646816,0.175521,0.683118,0.270914,0.707518,0.366361,0.54345,0.247202,0.548289,0.426702,0.548797,0.545928,0.546249,0.644096,0.480657,0.231705,0.462718,0.411979,0.448927,0.545336,0.43445,0.657093,0.430555,0.204677,0.392858,0.357383,0.362553,0.474992,0.337602,0.572495,0.393271,0.166879,0.333009,0.280033,0.290523,0.342757,0.254719,0.399948
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,5,416,Left,0.517258,0.029565,0.592263,0.085256,0.648709,0.177225,0.68086,0.265938,0.702937,0.360031,0.542446,0.254518,0.546811,0.428636,0.547517,0.545926,0.544036,0.643621,0.479039,0.244811,0.460584,0.419565,0.447409,0.547927,0.432228,0.658086,0.428653,0.219234,0.389279,0.365255,0.359985,0.474427,0.336367,0.565715,0.390906,0.176109,0.326847,0.281233,0.280943,0.335863,0.243317,0.385915
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,6,500,Right,0.518465,0.029685,0.596918,0.080589,0.653044,0.175827,0.688567,0.278159,0.727075,0.376736,0.542563,0.218996,0.534476,0.384474,0.528136,0.507983,0.518441,0.612522,0.47835,0.205331,0.449214,0.382947,0.42798,0.519866,0.405708,0.635167,0.428456,0.186534,0.382697,0.341367,0.35047,0.459295,0.322999,0.559316,0.392249,0.157453,0.325734,0.264674,0.280412,0.324683,0.242666,0.381439
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,7,583,Left,0.525585,0.030599,0.600642,0.092909,0.656535,0.193961,0.6904,0.29766,0.719838,0.401071,0.551698,0.243225,0.547319,0.426498,0.542141,0.556109,0.531621,0.667274,0.486906,0.228381,0.461774,0.412324,0.441501,0.550092,0.419093,0.669646,0.434811,0.204068,0.389923,0.355038,0.353351,0.469121,0.322071,0.563589,0.395542,0.169068,0.330247,0.277762,0.283233,0.334512,0.243558,0.387128
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,8,666,Right,0.523206,-0.001482,0.602871,0.086246,0.658614,0.201887,0.691899,0.306783,0.727149,0.417917,0.561278,0.221686,0.54887,0.429658,0.540574,0.569623,0.531074,0.676869,0.487868,0.179624,0.450728,0.327567,0.425566,0.455098,0.40139,0.555549,0.433164,0.140092,0.375249,0.261915,0.33114,0.374375,0.293908,0.461843,0.392228,0.106981,0.319086,0.188146,0.264309,0.229962,0.218323,0.266307
record19_1.mp4,0d603ec7f15f088df87f587e45eeb7814544221edcddf7f5c7888ba4c8b024a1,1280,720,12.12,100,8.25,9,750,Right,0.513187,-0.000781,0.591005,0.079958,0.645404,0.200605,0.675543,0.31652,0.706374,0.444168,0.53513,0.231349,0.504348,0.429868,0.4869,0.579947,0.466429,0.706909,0.465324,0.215293,0.419195,0.416356,0.391682,0.580284,0.365334,0.715336,0.412211,0.197017,0.357346,0.370547,0.322115,0.511413,0.291219,0.619379,0.372999,0.172074,0.308383,0.295419,0.26001,0.371393,0.219927,0.440169
