video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,0,0,Left,0.572903,0.10284,0.481233,0.180081,0.407547,0.288696,0.373782,0.394413,0.355598,0.505943,0.483188,0.317332,0.468944,0.515958,0.462329,0.673233,0.454431,0.80348,0.555929,0.292955,0.569942,0.523498,0.583659,0.704626,0.594465,0.844621,0.612811,0.279459,0.659966,0.462334,0.690487,0.612626,0.714673,0.72152,0.658277,0.27574,0.710273,0.393243,0.745666,0.471617,0.77667,0.546951
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,1,83,Left,0.569392,0.091452,0.481224,0.185396,0.41792,0.290707,0.383951,0.405095,0.357047,0.528457,0.4798,0.298703,0.46317,0.506166,0.460916,0.668425,0.458882,0.80738,0.556483,0.285585,0.574054,0.513377,0.590142,0.700861,0.60508,0.85369,0.617915,0.280924,0.666197,0.466402,0.700401,0.623594,0.728036,0.740986,0.664949,0.283266,0.733324,0.424099,0.780898,0.511026,0.823117,0.588303
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,2,166,Left,0.566385,0.077204,0.484995,0.169352,0.419431,0.280053,0.378141,0.398773,0.352635,0.514306,0.481155,0.275712,0.459391,0.491141,0.456245,0.636572,0.453725,0.768025,0.548006,0.262451,0.557169,0.441365,0.56705,0.607585,0.577428,0.751436,0.607391,0.247307,0.641709,0.382957,0.661581,0.516102,0.678149,0.634195,0.657181,0.239246,0.721877,0.341353,0.768654,0.40242,0.810808,0.466613
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,3,250,Left,0.56558,0.079939,0.478791,0.167876,0.414216,0.280863,0.379307,0.397947,0.356543,0.524316,0.475738,0.258854,0.446938,0.411299,0.435416,0.537667,0.422816,0.66078,0.550415,0.242037,0.562061,0.43347,0.573958,0.603903,0.583921,0.754802,0.612357,0.238804,0.644276,0.401096,0.66682,0.552388,0.683887,0.676216,0.661677,0.242167,0.717624,0.361682,0.759742,0.435332,0.797786,0.506872
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,4,333,Left,0.569092,0.086312,0.484369,0.162634,0.422405,0.247674,0.374523,0.336841,0.344164,0.443962,0.475704,0.240051,0.449351,0.408818,0.437268,0.545116,0.42409,0.667919,0.54924,0.232993,0.560569,0.43773,0.570247,0.612392,0.578339,0.760451,0.610999,0.231609,0.642587,0.397269,0.663501,0.552432,0.676564,0.681178,0.658692,0.233946,0.722607,0.342646,0.765214,0.413172,0.80011,0.4832
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,5,416,Left,0.574488,0.070988,0.495499,0.140766,0.434737,0.229354,0.381978,0.307892,0.329546,0.365537,0.476114,0.204968,0.449675,0.37415,0.439744,0.50669,0.430139,0.631185,0.547318,0.198455,0.56291,0.423651,0.57143,0.59871,0.578076,0.752158,0.611231,0.1988,0.644311,0.390463,0.662975,0.547069,0.67622,0.680087,0.663001,0.204658,0.726241,0.321059,0.76882,0.394469,0.803638,0.470631
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,6,500,Left,0.577303,0.075761,0.485164,0.162191,0.414062,0.272919,0.378867,0.398783,0.358534,0.509472,0.476199,0.215484,0.453352,0.376503,0.447195,0.507644,0.441047,0.62443,0.550331,0.195245,0.567407,0.401021,0.575868,0.571033,0.583499,0.706625,0.612653,0.192078,0.648545,0.374001,0.665992,0.523601,0.680188,0.644452,0.662172,0.198136,0.723908,0.316919,0.767078,0.396486,0.802875,0.46764
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,7,583,Left,0.577762,0.059287,0.485336,0.158591,0.412419,0.278143,0.381661,0.401489,0.359339,0.504781,0.46797,0.212162,0.44376,0.352092,0.435667,0.474261,0.428457,0.586624,0.542833,0.179103,0.552844,0.363408,0.557822,0.519588,0.56582,0.6503,0.606457,0.168477,0.637998,0.342454,0.652542,0.47917,0.667333,0.596826,0.655798,0.173611,0.713492,0.288927,0.756449,0.36625,0.79382,0.439473
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,8,666,Left,0.574076,0.068546,0.49005,0.175387,0.419307,0.293204,0.380715,0.407477,0.354861,0.497487,0.462011,0.219838,0.443334,0.354939,0.437348,0.480305,0.433425,0.596785,0.532316,0.176542,0.553579,0.334074,0.566391,0.477801,0.581686,0.597412,0.593916,0.159161,0.636223,0.30681,0.658981,0.434326,0.682926,0.543299,0.647325,0.160945,0.708352,0.259352,0.752774,0.3307,0.790661,0.400663
v1.mp4,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1920,1080,12.02,596,49.583,9,750,Left,0.574466,0.062959,0.491834,0.173063,0.423255,0.297442,0.385634,0.413265,0.360112,0.491467,0.45419,0.212385,0.442521,0.357236,0.434267,0.479382,0.428252,0.595275,0.520483,0.168303,0.541419,0.32658,0.556924,0.467734,0.575992,0.589822,0.583557,0.148808,0.628222,0.289932,0.654343,0.403908,0.681772,0.510984,0.645418,0.15159,0.70423,0.2501,0.748068,0.319733,0.786915,0.390735
