video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,0,0,4,0,333,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,1,3,7,250,583,5,2,0,0,0,0,0,1,0,1,0,0,0,0,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,2,6,10,500,833,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,3,9,13,750,1083,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,4,12,16,1000,1333,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,5,15,19,1250,1583,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,6,18,22,1500,1833,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,7,21,25,1750,2083,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,8,24,28,2000,2333,5,2,0,0,0,0,0,1,0,0,1,1,1,0,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,9,27,31,2250,2583,5,2,0,0,0,0,0,1,0,0,0,0,0,1,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,10,30,34,2500,2833,5,2,0,0,0,0,0,1,0,0,1,0,0,0,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,11,33,37,2750,3083,5,2,0,0,0,0,0,1,0,0,0,1,1,0,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,12,36,40,3000,3333,5,2,0,0,0,0,0,1,0,0,0,0,0,1,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,13,39,43,3250,3583,5,2,0,0,0,0,0,1,0,0,0,0,0,1,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,14,42,46,3500,3833,5,2,0,0,0,0,0,1,0,1,0,0,0,0,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,15,45,49,3750,4083,5,2,0,0,0,0,0,1,0,0,1,1,1,1,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,16,48,52,4000,4333,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,17,51,55,4250,4583,5,2,0,0,0,0,0,1,0,0,1,0,0,0,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,18,54,58,4500,4833,5,2,0,0,0,0,0,1,0,0,1,1,1,1,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,19,57,61,4750,5083,5,2,0,0,0,0,0,1,0,1,0,0,0,0,1
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,20,60,64,5000,5333,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,21,63,67,5250,5583,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0
v1.mp4,v1.raw_landmarks.1219610e4175dfcf.csv,1219610e4175dfcfd945e2d4a5016440b91148cdbcc5449d7badf3789d2f4a86,22,66,70,5500,5833,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
