video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,0,0,Right,0.961215,0.276206,0.135461,1e-06,0.0,0.0,0.377656,0.127538,-0.000399,0.0,0.0,0.468333,0.203057,-0.022344,0.0,0.0,0.52439,0.313702,-0.036515,0.0,0.0,0.55273,0.408143,-0.053516,0.0,0.0,0.487992,0.221058,-0.143901,0.0,0.0,0.583381,0.352534,-0.199563,0.0,0.0,0.647006,0.449619,-0.222991,0.0,0.0,0.688145,0.527,-0.239349,0.0,0.0,0.435053,0.253986,-0.166415,0.0,0.0,0.520887,0.44957,-0.234224,0.0,0.0,0.570744,0.596026,-0.265309,0.0,0.0,0.604511,0.716285,-0.286132,0.0,0.0,0.368669,0.288098,-0.180188,0.0,0.0,0.428957,0.488165,-0.245002,0.0,0.0,0.470233,0.640358,-0.280186,0.0,0.0,0.496978,0.764863,-0.302517,0.0,0.0,0.304213,0.310998,-0.187188,0.0,0.0,0.318387,0.457881,-0.251604,0.0,0.0,0.336756,0.55747,-0.286872,0.0,0.0,0.351275,0.649305,-0.308783,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,1,83,Right,0.941649,0.261427,0.126895,1e-06,0.0,0.0,0.391689,0.099421,-0.012164,0.0,0.0,0.490977,0.099047,-0.058256,0.0,0.0,0.56389,0.109389,-0.093153,0.0,0.0,0.643978,0.10476,-0.133569,0.0,0.0,0.494489,0.207529,-0.226642,0.0,0.0,0.586573,0.330862,-0.328346,0.0,0.0,0.653426,0.417036,-0.387321,0.0,0.0,0.702475,0.495512,-0.426051,0.0,0.0,0.428924,0.283477,-0.249567,0.0,0.0,0.50787,0.479946,-0.373138,0.0,0.0,0.560989,0.631064,-0.441288,0.0,0.0,0.600056,0.761121,-0.489415,0.0,0.0,0.361164,0.344373,-0.25795,0.0,0.0,0.412106,0.542438,-0.374333,0.0,0.0,0.457782,0.679603,-0.435106,0.0,0.0,0.492473,0.801533,-0.472835,0.0,0.0,0.30077,0.392158,-0.256113,0.0,0.0,0.302057,0.547196,-0.35426,0.0,0.0,0.300068,0.64647,-0.401159,0.0,0.0,0.30393,0.737356,-0.432572,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,2,166,Right,0.894822,0.25951,0.111903,1e-06,0.0,0.0,0.378984,0.087837,-0.02543,0.0,0.0,0.485884,0.088331,-0.065236,0.0,0.0,0.568633,0.097671,-0.095757,0.0,0.0,0.646758,0.090067,-0.129759,0.0,0.0,0.483799,0.193838,-0.177497,0.0,0.0,0.587594,0.309125,-0.261631,0.0,0.0,0.656761,0.389757,-0.313792,0.0,0.0,0.713397,0.466771,-0.349483,0.0,0.0,0.426713,0.271948,-0.19314,0.0,0.0,0.502864,0.480874,-0.290319,0.0,0.0,0.557881,0.63626,-0.347274,0.0,0.0,0.597769,0.76502,-0.387859,0.0,0.0,0.363173,0.334865,-0.200111,0.0,0.0,0.407638,0.543219,-0.288819,0.0,0.0,0.45039,0.678775,-0.334183,0.0,0.0,0.483417,0.793097,-0.362785,0.0,0.0,0.303599,0.380694,-0.202371,0.0,0.0,0.30122,0.562201,-0.281157,0.0,0.0,0.295196,0.667856,-0.315477,0.0,0.0,0.294508,0.759358,-0.336512,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,3,250,Right,0.86887,0.256578,0.106153,1e-06,0.0,0.0,0.378929,0.081927,-0.034217,0.0,0.0,0.49197,0.097135,-0.074371,0.0,0.0,0.578288,0.135779,-0.104907,0.0,0.0,0.658533,0.178859,-0.13791,0.0,0.0,0.480993,0.201636,-0.168175,0.0,0.0,0.585899,0.302569,-0.248475,0.0,0.0,0.655514,0.377227,-0.297578,0.0,0.0,0.71269,0.450801,-0.331789,0.0,0.0,0.427647,0.284303,-0.181129,0.0,0.0,0.506534,0.47847,-0.274856,0.0,0.0,0.562984,0.628879,-0.332604,0.0,0.0,0.603503,0.756468,-0.37443,0.0,0.0,0.366953,0.346687,-0.187393,0.0,0.0,0.411111,0.544272,-0.274693,0.0,0.0,0.452846,0.678918,-0.323662,0.0,0.0,0.485378,0.794614,-0.35516,0.0,0.0,0.306934,0.390277,-0.190208,0.0,0.0,0.301623,0.573526,-0.270415,0.0,0.0,0.29471,0.68421,-0.309611,0.0,0.0,0.294467,0.778446,-0.334381,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,4,333,Right,0.928632,0.258608,0.117077,1e-06,0.0,0.0,0.382951,0.088103,-0.024189,0.0,0.0,0.495023,0.107778,-0.061929,0.0,0.0,0.574234,0.147302,-0.091245,0.0,0.0,0.648098,0.175718,-0.124046,0.0,0.0,0.484475,0.203346,-0.171707,0.0,0.0,0.585768,0.301064,-0.250526,0.0,0.0,0.651802,0.365188,-0.296069,0.0,0.0,0.705446,0.422587,-0.327118,0.0,0.0,0.423727,0.277356,-0.189435,0.0,0.0,0.504115,0.482905,-0.287443,0.0,0.0,0.55899,0.635523,-0.345766,0.0,0.0,0.59952,0.762018,-0.385558,0.0,0.0,0.359811,0.341689,-0.198388,0.0,0.0,0.411937,0.5373,-0.292861,0.0,0.0,0.454586,0.670047,-0.344671,0.0,0.0,0.489347,0.782011,-0.375542,0.0,0.0,0.300811,0.392962,-0.201769,0.0,0.0,0.296401,0.571803,-0.285417,0.0,0.0,0.289039,0.677382,-0.324631,0.0,0.0,0.288496,0.768797,-0.34827,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,5,416,Right,0.888984,0.256802,0.107333,1e-06,0.0,0.0,0.371275,0.082657,-0.03293,0.0,0.0,0.48782,0.102983,-0.068529,0.0,0.0,0.578096,0.14425,-0.09506,0.0,0.0,0.657081,0.175223,-0.12406,0.0,0.0,0.468695,0.183009,-0.149505,0.0,0.0,0.573928,0.268895,-0.221694,0.0,0.0,0.646808,0.329762,-0.264667,0.0,0.0,0.70824,0.387599,-0.294534,0.0,0.0,0.417225,0.271684,-0.16199,0.0,0.0,0.492484,0.493417,-0.238256,0.0,0.0,0.545975,0.654839,-0.279714,0.0,0.0,0.586592,0.788576,-0.309392,0.0,0.0,0.360956,0.335969,-0.170671,0.0,0.0,0.402914,0.550363,-0.249116,0.0,0.0,0.443793,0.685029,-0.290329,0.0,0.0,0.478916,0.79969,-0.315407,0.0,0.0,0.303508,0.38119,-0.176386,0.0,0.0,0.296793,0.573258,-0.251853,0.0,0.0,0.289528,0.681033,-0.285841,0.0,0.0,0.287796,0.775069,-0.305825,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,6,500,Right,0.895029,0.253452,0.105444,1e-06,0.0,0.0,0.366728,0.078143,-0.039343,0.0,0.0,0.487347,0.102643,-0.072556,0.0,0.0,0.582222,0.153234,-0.096171,0.0,0.0,0.664597,0.182878,-0.121392,0.0,0.0,0.459631,0.167921,-0.14163,0.0,0.0,0.560118,0.243593,-0.21223,0.0,0.0,0.634119,0.297917,-0.25544,0.0,0.0,0.697173,0.350499,-0.285507,0.0,0.0,0.407668,0.259336,-0.149359,0.0,0.0,0.47252,0.453919,-0.225788,0.0,0.0,0.525825,0.599448,-0.269762,0.0,0.0,0.566505,0.720744,-0.301697,0.0,0.0,0.354404,0.325778,-0.154469,0.0,0.0,0.395585,0.528689,-0.236221,0.0,0.0,0.437508,0.668615,-0.280845,0.0,0.0,0.473709,0.78777,-0.307094,0.0,0.0,0.301967,0.371754,-0.157057,0.0,0.0,0.298649,0.569538,-0.234034,0.0,0.0,0.290495,0.681355,-0.270315,0.0,0.0,0.287718,0.777474,-0.29179,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,7,583,Right,0.926758,0.257881,0.108563,1e-06,0.0,0.0,0.372541,0.077515,-0.04712,0.0,0.0,0.493433,0.100789,-0.086244,0.0,0.0,0.585993,0.153199,-0.114622,0.0,0.0,0.667741,0.182669,-0.144543,0.0,0.0,0.463664,0.167535,-0.161221,0.0,0.0,0.565273,0.241255,-0.238345,0.0,0.0,0.640495,0.289576,-0.286227,0.0,0.0,0.703807,0.338684,-0.31992,0.0,0.0,0.407012,0.252554,-0.167862,0.0,0.0,0.465521,0.420813,-0.258593,0.0,0.0,0.516288,0.558059,-0.313904,0.0,0.0,0.556853,0.677386,-0.353608,0.0,0.0,0.351373,0.321095,-0.170795,0.0,0.0,0.391876,0.513778,-0.264762,0.0,0.0,0.430425,0.657428,-0.317493,0.0,0.0,0.464033,0.779564,-0.34862,0.0,0.0,0.299855,0.372607,-0.170882,0.0,0.0,0.299433,0.565571,-0.254897,0.0,0.0,0.289834,0.6748,-0.295043,0.0,0.0,0.286622,0.768596,-0.319578,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,8,666,Right,0.951433,0.252962,0.108939,1e-06,0.0,0.0,0.372393,0.076346,-0.041067,0.0,0.0,0.497026,0.105551,-0.080345,0.0,0.0,0.591161,0.158866,-0.109331,0.0,0.0,0.67299,0.185075,-0.139838,0.0,0.0,0.461808,0.165185,-0.167577,0.0,0.0,0.560805,0.232363,-0.244882,0.0,0.0,0.634179,0.273983,-0.29042,0.0,0.0,0.696412,0.317165,-0.322237,0.0,0.0,0.40618,0.244579,-0.177345,0.0,0.0,0.460694,0.398496,-0.273928,0.0,0.0,0.5088,0.526006,-0.329771,0.0,0.0,0.544796,0.634854,-0.368732,0.0,0.0,0.35048,0.315677,-0.181627,0.0,0.0,0.392646,0.508238,-0.281289,0.0,0.0,0.4327,0.655074,-0.335079,0.0,0.0,0.468145,0.777197,-0.36575,0.0,0.0,0.299024,0.378146,-0.181627,0.0,0.0,0.301279,0.573218,-0.26743,0.0,0.0,0.290561,0.683864,-0.307178,0.0,0.0,0.287454,0.775995,-0.331109,0.0,0.0
v10.mp4,fd7f9a1e1b51b17061c22a49ad498f104fc8435ec18b4e6b79a2f4f9833f6cc1,1920,1080,12.04,292,24.25,9,750,Right,0.982347,0.253208,0.113904,1e-06,0.0,0.0,0.375926,0.083573,-0.047828,0.0,0.0,0.501854,0.117239,-0.085858,0.0,0.0,0.594512,0.171078,-0.110634,0.0,0.0,0.671087,0.192018,-0.13472,0.0,0.0,0.462235,0.166578,-0.18229,0.0,0.0,0.563877,0.22757,-0.260031,0.0,0.0,0.633967,0.261068,-0.304954,0.0,0.0,0.697447,0.290622,-0.33603,0.0,0.0,0.402885,0.228712,-0.188334,0.0,0.0,0.453017,0.362092,-0.285855,0.0,0.0,0.498297,0.464245,-0.34139,0.0,0.0,0.536064,0.547078,-0.380472,0.0,0.0,0.345545,0.302489,-0.188983,0.0,0.0,0.378297,0.497355,-0.289582,0.0,0.0,0.42114,0.648024,-0.346613,0.0,0.0,0.461059,0.770464,-0.379649,0.0,0.0,0.296192,0.376107,-0.185823,0.0,0.0,0.300961,0.575986,-0.267718,0.0,0.0,0.290752,0.688569,-0.307042,0.0,0.0,0.286078,0.77876,-0.33204,0.0,0.0
