video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,0,0,Right,0.84021,0.322681,0.110568,1e-06,0.0,0.0,0.432909,0.118904,-0.048349,0.0,0.0,0.534792,0.197684,-0.090404,0.0,0.0,0.609863,0.290507,-0.119012,0.0,0.0,0.670432,0.376185,-0.149393,0.0,0.0,0.500928,0.282181,-0.168462,0.0,0.0,0.559053,0.485553,-0.231089,0.0,0.0,0.59429,0.624702,-0.259371,0.0,0.0,0.615175,0.742311,-0.276925,0.0,0.0,0.430615,0.327326,-0.170249,0.0,0.0,0.46941,0.544208,-0.238431,0.0,0.0,0.496602,0.713891,-0.272309,0.0,0.0,0.513661,0.856178,-0.29673,0.0,0.0,0.361383,0.353169,-0.168351,0.0,0.0,0.361501,0.551176,-0.234831,0.0,0.0,0.3729,0.714901,-0.272606,0.0,0.0,0.378431,0.847482,-0.296257,0.0,0.0,0.30126,0.363624,-0.164833,0.0,0.0,0.273241,0.528637,-0.226448,0.0,0.0,0.25436,0.64006,-0.259752,0.0,0.0,0.238126,0.735188,-0.28136,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,1,83,Right,0.880166,0.307352,0.093645,1e-06,0.0,0.0,0.428439,0.10714,-0.046854,0.0,0.0,0.530663,0.175603,-0.086728,0.0,0.0,0.603486,0.269066,-0.114511,0.0,0.0,0.658341,0.371208,-0.143005,0.0,0.0,0.499494,0.266987,-0.156348,0.0,0.0,0.561892,0.475699,-0.222788,0.0,0.0,0.596356,0.616812,-0.259857,0.0,0.0,0.619799,0.739438,-0.284006,0.0,0.0,0.428987,0.326159,-0.157499,0.0,0.0,0.47028,0.548063,-0.230234,0.0,0.0,0.497972,0.719444,-0.270679,0.0,0.0,0.514166,0.857335,-0.300341,0.0,0.0,0.36092,0.361623,-0.154913,0.0,0.0,0.364041,0.576186,-0.222304,0.0,0.0,0.376328,0.737044,-0.256254,0.0,0.0,0.384685,0.870309,-0.278,0.0,0.0,0.303084,0.372611,-0.151882,0.0,0.0,0.276938,0.549485,-0.216231,0.0,0.0,0.25854,0.657232,-0.246415,0.0,0.0,0.243865,0.754154,-0.264555,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,2,166,Right,0.893568,0.308002,0.093155,1e-06,0.0,0.0,0.427953,0.108578,-0.045519,0.0,0.0,0.532112,0.18017,-0.083784,0.0,0.0,0.607598,0.273357,-0.110209,0.0,0.0,0.665189,0.376626,-0.13736,0.0,0.0,0.501064,0.262805,-0.150474,0.0,0.0,0.562617,0.477175,-0.213755,0.0,0.0,0.596174,0.621256,-0.248374,0.0,0.0,0.617551,0.746587,-0.270705,0.0,0.0,0.429106,0.320051,-0.151567,0.0,0.0,0.469181,0.546879,-0.220602,0.0,0.0,0.496435,0.719365,-0.259418,0.0,0.0,0.512009,0.857533,-0.288504,0.0,0.0,0.360023,0.35492,-0.148996,0.0,0.0,0.364157,0.575067,-0.213793,0.0,0.0,0.376132,0.73843,-0.247175,0.0,0.0,0.384354,0.873161,-0.268879,0.0,0.0,0.301496,0.366366,-0.145792,0.0,0.0,0.27846,0.546709,-0.207735,0.0,0.0,0.259445,0.657812,-0.236954,0.0,0.0,0.243886,0.755799,-0.254818,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,3,250,Right,0.887011,0.307714,0.091055,1e-06,0.0,0.0,0.425803,0.107797,-0.044584,0.0,0.0,0.53008,0.17881,-0.080919,0.0,0.0,0.60686,0.272761,-0.106373,0.0,0.0,0.662836,0.3775,-0.132539,0.0,0.0,0.501083,0.262107,-0.140381,0.0,0.0,0.562774,0.477539,-0.202117,0.0,0.0,0.596547,0.621454,-0.236511,0.0,0.0,0.617564,0.746343,-0.258548,0.0,0.0,0.430647,0.318824,-0.142205,0.0,0.0,0.470526,0.545308,-0.207931,0.0,0.0,0.497366,0.718304,-0.244545,0.0,0.0,0.512133,0.85682,-0.271585,0.0,0.0,0.361872,0.351689,-0.141487,0.0,0.0,0.365845,0.573621,-0.205552,0.0,0.0,0.377154,0.736438,-0.23872,0.0,0.0,0.38553,0.8704,-0.25963,0.0,0.0,0.302614,0.359914,-0.140274,0.0,0.0,0.278246,0.540354,-0.202291,0.0,0.0,0.259861,0.652255,-0.231387,0.0,0.0,0.24452,0.750878,-0.248581,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,4,333,Right,0.891776,0.308263,0.094016,1e-06,0.0,0.0,0.428349,0.109439,-0.046629,0.0,0.0,0.531406,0.179806,-0.086197,0.0,0.0,0.607071,0.27475,-0.114088,0.0,0.0,0.664155,0.379033,-0.142969,0.0,0.0,0.502023,0.264824,-0.154088,0.0,0.0,0.564117,0.477674,-0.22108,0.0,0.0,0.597875,0.621445,-0.259033,0.0,0.0,0.618618,0.746624,-0.283423,0.0,0.0,0.431179,0.320629,-0.15596,0.0,0.0,0.471089,0.543954,-0.228684,0.0,0.0,0.499114,0.717082,-0.269755,0.0,0.0,0.514093,0.8554,-0.300088,0.0,0.0,0.362612,0.353618,-0.154436,0.0,0.0,0.365652,0.573722,-0.223132,0.0,0.0,0.378476,0.736413,-0.259121,0.0,0.0,0.386993,0.87016,-0.282234,0.0,0.0,0.303603,0.362747,-0.152272,0.0,0.0,0.278335,0.54179,-0.218047,0.0,0.0,0.259943,0.65284,-0.249617,0.0,0.0,0.244639,0.750753,-0.268786,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,5,416,Right,0.901042,0.307044,0.09237,1e-06,0.0,0.0,0.42725,0.106259,-0.045648,0.0,0.0,0.531242,0.177566,-0.08404,0.0,0.0,0.606286,0.274731,-0.11082,0.0,0.0,0.663472,0.37867,-0.138467,0.0,0.0,0.502333,0.261819,-0.150507,0.0,0.0,0.564302,0.477356,-0.215662,0.0,0.0,0.59738,0.621658,-0.25211,0.0,0.0,0.6181,0.745911,-0.275308,0.0,0.0,0.431078,0.317674,-0.152518,0.0,0.0,0.472884,0.54194,-0.223157,0.0,0.0,0.500392,0.71583,-0.262605,0.0,0.0,0.515369,0.854416,-0.291566,0.0,0.0,0.362151,0.351214,-0.151309,0.0,0.0,0.366698,0.572048,-0.218838,0.0,0.0,0.378922,0.736347,-0.254191,0.0,0.0,0.387517,0.870988,-0.276599,0.0,0.0,0.30315,0.361398,-0.149396,0.0,0.0,0.279708,0.542107,-0.214142,0.0,0.0,0.260911,0.652653,-0.244776,0.0,0.0,0.245383,0.749353,-0.263075,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,6,500,Right,0.921788,0.307987,0.103018,2e-06,0.0,0.0,0.432799,0.115683,-0.051021,0.0,0.0,0.533715,0.179846,-0.101112,0.0,0.0,0.603732,0.273846,-0.136996,0.0,0.0,0.663656,0.377341,-0.174788,0.0,0.0,0.504015,0.260506,-0.196659,0.0,0.0,0.564573,0.477882,-0.276591,0.0,0.0,0.598213,0.622586,-0.320853,0.0,0.0,0.619613,0.747011,-0.34932,0.0,0.0,0.431001,0.317711,-0.198655,0.0,0.0,0.473393,0.53888,-0.291693,0.0,0.0,0.502517,0.713489,-0.344498,0.0,0.0,0.518181,0.853244,-0.383488,0.0,0.0,0.362214,0.35574,-0.193854,0.0,0.0,0.365646,0.570595,-0.277411,0.0,0.0,0.379517,0.736825,-0.321319,0.0,0.0,0.386945,0.872488,-0.350208,0.0,0.0,0.303843,0.374464,-0.187072,0.0,0.0,0.280509,0.548557,-0.261408,0.0,0.0,0.26145,0.659032,-0.297751,0.0,0.0,0.247531,0.755161,-0.321715,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,7,583,Right,0.936452,0.310786,0.106063,2e-06,0.0,0.0,0.437847,0.126443,-0.052495,0.0,0.0,0.537045,0.183164,-0.112903,0.0,0.0,0.601293,0.275283,-0.155685,0.0,0.0,0.661262,0.377626,-0.199855,0.0,0.0,0.5011,0.257915,-0.242863,0.0,0.0,0.562015,0.480718,-0.336216,0.0,0.0,0.597645,0.626667,-0.387433,0.0,0.0,0.622498,0.751367,-0.419976,0.0,0.0,0.427283,0.31813,-0.242334,0.0,0.0,0.47009,0.533416,-0.354689,0.0,0.0,0.502344,0.707994,-0.416659,0.0,0.0,0.521609,0.849417,-0.462765,0.0,0.0,0.359021,0.359501,-0.230322,0.0,0.0,0.355429,0.572406,-0.3285,0.0,0.0,0.368362,0.745689,-0.378869,0.0,0.0,0.372888,0.884679,-0.411492,0.0,0.0,0.302361,0.387834,-0.21383,0.0,0.0,0.281318,0.554857,-0.292627,0.0,0.0,0.261301,0.662599,-0.329824,0.0,0.0,0.247449,0.756203,-0.355852,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,8,666,Right,0.934369,0.304744,0.089115,1e-06,0.0,0.0,0.428697,0.110125,-0.052449,0.0,0.0,0.530734,0.171327,-0.099357,0.0,0.0,0.598726,0.267912,-0.131687,0.0,0.0,0.658541,0.362831,-0.163144,0.0,0.0,0.493263,0.246651,-0.184433,0.0,0.0,0.555167,0.477689,-0.255604,0.0,0.0,0.589168,0.619395,-0.292307,0.0,0.0,0.615493,0.745277,-0.31634,0.0,0.0,0.421185,0.301092,-0.183758,0.0,0.0,0.470788,0.520445,-0.28014,0.0,0.0,0.502905,0.6921,-0.335141,0.0,0.0,0.52416,0.836639,-0.37324,0.0,0.0,0.351285,0.34157,-0.175571,0.0,0.0,0.347155,0.559658,-0.259346,0.0,0.0,0.355953,0.73499,-0.299787,0.0,0.0,0.361212,0.878033,-0.323467,0.0,0.0,0.295425,0.369481,-0.165879,0.0,0.0,0.277591,0.555134,-0.235399,0.0,0.0,0.257427,0.666517,-0.266309,0.0,0.0,0.243708,0.763373,-0.285145,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,9,750,Right,0.874572,0.305118,0.08744,2e-06,0.0,0.0,0.429196,0.109363,-0.05476,0.0,0.0,0.534455,0.170987,-0.105903,0.0,0.0,0.602612,0.264184,-0.140531,0.0,0.0,0.661696,0.359565,-0.174061,0.0,0.0,0.493137,0.234138,-0.204671,0.0,0.0,0.553016,0.475466,-0.280231,0.0,0.0,0.587831,0.621271,-0.317218,0.0,0.0,0.614594,0.748068,-0.341411,0.0,0.0,0.416968,0.295985,-0.203077,0.0,0.0,0.466031,0.525379,-0.306965,0.0,0.0,0.49858,0.702311,-0.36534,0.0,0.0,0.520896,0.852528,-0.404844,0.0,0.0,0.345384,0.344401,-0.191983,0.0,0.0,0.342149,0.54731,-0.282735,0.0,0.0,0.344426,0.696434,-0.32503,0.0,0.0,0.342583,0.820357,-0.348639,0.0,0.0,0.287683,0.380154,-0.178626,0.0,0.0,0.263697,0.547655,-0.255682,0.0,0.0,0.234278,0.646648,-0.289485,0.0,0.0,0.212802,0.734349,-0.308729,0.0,0.0
v11.mp4,2ae369260536b39c63e3a26fe9ee6b6ac7a30e8ae1a396cfe1bd259b3a62ab24,1920,1080,12.08,159,13.167,10,833,Right,0.885966,0.302635,0.082168,2e-06,0.0,0.0,0.42324,0.100561,-0.051158,0.0,0.0,0.53169,0.171241,-0.092483,0.0,0.0,0.60715,0.269513,-0.120472,0.0,0.0,0.664707,0.370194,-0.14759,0.0,0.0,0.492779,0.23333,-0.166397,0.0,0.0,0.555562,0.471077,-0.2347,0.0,0.0,0.588347,0.621604,-0.270862,0.0,0.0,0.611281,0.747575,-0.29343,0.0,0.0,0.416715,0.291023,-0.166521,0.0,0.0,0.467347,0.526237,-0.246635,0.0,0.0,0.499438,0.700394,-0.29217,0.0,0.0,0.520881,0.840947,-0.32331,0.0,0.0,0.344513,0.331682,-0.161543,0.0,0.0,0.348548,0.532732,-0.238407,0.0,0.0,0.354779,0.673442,-0.27792,0.0,0.0,0.358182,0.790287,-0.300631,0.0,0.0,0.284363,0.352578,-0.15541,0.0,0.0,0.244948,0.510304,-0.226812,0.0,0.0,0.20914,0.59619,-0.258231,0.0,0.0,0.18121,0.66991,-0.274978,0.0,0.0
