video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,0,0,Right,0.940842,0.397564,0.097284,0.0,0.0,0.0,0.485395,0.138655,-0.057621,0.0,0.0,0.558024,0.248951,-0.104559,0.0,0.0,0.621158,0.353173,-0.137951,0.0,0.0,0.695524,0.416136,-0.17294,0.0,0.0,0.503696,0.20982,-0.17729,0.0,0.0,0.542837,0.339378,-0.239299,0.0,0.0,0.566999,0.447554,-0.270525,0.0,0.0,0.582867,0.561503,-0.292417,0.0,0.0,0.418864,0.219635,-0.171948,0.0,0.0,0.404619,0.384229,-0.238456,0.0,0.0,0.396375,0.521555,-0.268892,0.0,0.0,0.387387,0.641855,-0.29285,0.0,0.0,0.349138,0.239439,-0.162776,0.0,0.0,0.335474,0.406786,-0.226473,0.0,0.0,0.327039,0.560241,-0.259432,0.0,0.0,0.321916,0.690775,-0.280133,0.0,0.0,0.296819,0.262407,-0.153032,0.0,0.0,0.257398,0.396363,-0.203024,0.0,0.0,0.234246,0.491638,-0.229049,0.0,0.0,0.217283,0.583179,-0.248526,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,1,83,Right,0.848687,0.375018,0.03712,1e-06,0.0,0.0,0.462807,0.111252,-0.052913,0.0,0.0,0.555696,0.232957,-0.090633,0.0,0.0,0.620088,0.335265,-0.11646,0.0,0.0,0.69019,0.393209,-0.140967,0.0,0.0,0.526178,0.208313,-0.14599,0.0,0.0,0.559173,0.351718,-0.212457,0.0,0.0,0.580796,0.480873,-0.249485,0.0,0.0,0.595276,0.607546,-0.27445,0.0,0.0,0.447204,0.216063,-0.147353,0.0,0.0,0.438021,0.411999,-0.217309,0.0,0.0,0.422442,0.591728,-0.251222,0.0,0.0,0.404275,0.741665,-0.275576,0.0,0.0,0.370252,0.220215,-0.147676,0.0,0.0,0.348563,0.391957,-0.217912,0.0,0.0,0.334054,0.554397,-0.246451,0.0,0.0,0.324251,0.694815,-0.261019,0.0,0.0,0.300128,0.226289,-0.148582,0.0,0.0,0.265342,0.374403,-0.206688,0.0,0.0,0.23994,0.471863,-0.228885,0.0,0.0,0.221216,0.566237,-0.242099,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,2,166,Right,0.893614,0.364455,0.077333,1e-06,0.0,0.0,0.456645,0.148262,-0.069175,0.0,0.0,0.548859,0.240529,-0.122734,0.0,0.0,0.612698,0.3278,-0.159508,0.0,0.0,0.682442,0.380169,-0.196082,0.0,0.0,0.521063,0.220513,-0.198867,0.0,0.0,0.553405,0.363921,-0.287192,0.0,0.0,0.575376,0.492379,-0.339993,0.0,0.0,0.58986,0.611971,-0.374288,0.0,0.0,0.444511,0.22683,-0.19525,0.0,0.0,0.435059,0.412403,-0.283444,0.0,0.0,0.415357,0.593039,-0.324388,0.0,0.0,0.391289,0.744641,-0.354004,0.0,0.0,0.367606,0.237771,-0.189935,0.0,0.0,0.350114,0.404877,-0.273755,0.0,0.0,0.33833,0.564758,-0.307154,0.0,0.0,0.324027,0.700215,-0.326803,0.0,0.0,0.299346,0.247566,-0.185574,0.0,0.0,0.258994,0.374914,-0.254725,0.0,0.0,0.236794,0.473351,-0.282666,0.0,0.0,0.216611,0.570505,-0.300912,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,3,250,Right,0.948165,0.361171,0.112863,2e-06,0.0,0.0,0.463125,0.168013,-0.073406,0.0,0.0,0.547785,0.259918,-0.12917,0.0,0.0,0.60389,0.343138,-0.16805,0.0,0.0,0.670256,0.39005,-0.207686,0.0,0.0,0.52381,0.222137,-0.213272,0.0,0.0,0.55574,0.374864,-0.3049,0.0,0.0,0.576994,0.493214,-0.358271,0.0,0.0,0.591691,0.599478,-0.392206,0.0,0.0,0.449008,0.217894,-0.211729,0.0,0.0,0.438547,0.395173,-0.311124,0.0,0.0,0.422108,0.578777,-0.357764,0.0,0.0,0.398811,0.736097,-0.388766,0.0,0.0,0.372143,0.230294,-0.207893,0.0,0.0,0.354336,0.387954,-0.301366,0.0,0.0,0.347497,0.55489,-0.341481,0.0,0.0,0.337458,0.705094,-0.364274,0.0,0.0,0.300502,0.248152,-0.205237,0.0,0.0,0.255115,0.371687,-0.280329,0.0,0.0,0.232203,0.476953,-0.311539,0.0,0.0,0.207545,0.581027,-0.331197,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,4,333,Right,0.93289,0.365703,0.11607,2e-06,0.0,0.0,0.472855,0.179221,-0.074184,0.0,0.0,0.551408,0.26995,-0.149661,0.0,0.0,0.598864,0.352868,-0.205088,0.0,0.0,0.666001,0.413406,-0.26326,0.0,0.0,0.528732,0.249101,-0.286219,0.0,0.0,0.558897,0.413571,-0.407886,0.0,0.0,0.577801,0.552468,-0.480595,0.0,0.0,0.584226,0.688198,-0.526525,0.0,0.0,0.45771,0.23949,-0.290801,0.0,0.0,0.444125,0.399508,-0.427409,0.0,0.0,0.431777,0.578353,-0.490981,0.0,0.0,0.412053,0.74078,-0.536196,0.0,0.0,0.383821,0.247221,-0.288017,0.0,0.0,0.35115,0.398525,-0.41226,0.0,0.0,0.34224,0.561421,-0.464399,0.0,0.0,0.329686,0.708789,-0.496037,0.0,0.0,0.308551,0.267225,-0.283591,0.0,0.0,0.260518,0.368509,-0.377394,0.0,0.0,0.232584,0.465628,-0.415724,0.0,0.0,0.213864,0.565777,-0.442843,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,5,416,Right,0.977806,0.36641,0.119379,2e-06,0.0,0.0,0.478138,0.208041,-0.074049,0.0,0.0,0.548076,0.308056,-0.158646,0.0,0.0,0.579081,0.404168,-0.220626,0.0,0.0,0.626217,0.466285,-0.285493,0.0,0.0,0.544555,0.26212,-0.314987,0.0,0.0,0.580245,0.39218,-0.45144,0.0,0.0,0.6089,0.515265,-0.537538,0.0,0.0,0.625567,0.628312,-0.592247,0.0,0.0,0.474124,0.243714,-0.321866,0.0,0.0,0.467692,0.382397,-0.478689,0.0,0.0,0.455942,0.565598,-0.556572,0.0,0.0,0.432655,0.724542,-0.61089,0.0,0.0,0.395721,0.249273,-0.318649,0.0,0.0,0.36448,0.388487,-0.455713,0.0,0.0,0.355104,0.555657,-0.515697,0.0,0.0,0.338698,0.700043,-0.551751,0.0,0.0,0.314048,0.273851,-0.312787,0.0,0.0,0.263585,0.371863,-0.411373,0.0,0.0,0.235299,0.470766,-0.45326,0.0,0.0,0.216168,0.566118,-0.483471,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,6,500,Right,0.93016,0.372409,0.113735,2e-06,0.0,0.0,0.476561,0.173221,-0.079022,0.0,0.0,0.554943,0.265191,-0.153993,0.0,0.0,0.602047,0.351964,-0.206399,0.0,0.0,0.66735,0.412888,-0.260921,0.0,0.0,0.53196,0.251414,-0.288719,0.0,0.0,0.558943,0.420345,-0.40876,0.0,0.0,0.571517,0.563594,-0.481123,0.0,0.0,0.572032,0.698974,-0.52593,0.0,0.0,0.459885,0.243099,-0.28712,0.0,0.0,0.440683,0.4026,-0.416474,0.0,0.0,0.427354,0.579023,-0.472839,0.0,0.0,0.407996,0.731757,-0.513201,0.0,0.0,0.385888,0.250185,-0.278804,0.0,0.0,0.34933,0.402987,-0.395499,0.0,0.0,0.340342,0.562019,-0.439984,0.0,0.0,0.328211,0.701267,-0.466768,0.0,0.0,0.312706,0.270426,-0.269653,0.0,0.0,0.26093,0.379262,-0.35688,0.0,0.0,0.231728,0.475134,-0.388732,0.0,0.0,0.211524,0.569503,-0.410977,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,7,583,Right,0.958695,0.369144,0.11506,2e-06,0.0,0.0,0.479084,0.188338,-0.074638,0.0,0.0,0.556085,0.280883,-0.153955,0.0,0.0,0.59822,0.363037,-0.211258,0.0,0.0,0.659456,0.41593,-0.271234,0.0,0.0,0.537561,0.257582,-0.296812,0.0,0.0,0.564103,0.420253,-0.422356,0.0,0.0,0.580255,0.560185,-0.498627,0.0,0.0,0.584767,0.684686,-0.546278,0.0,0.0,0.467338,0.242814,-0.300293,0.0,0.0,0.45385,0.39569,-0.440968,0.0,0.0,0.439487,0.577226,-0.507384,0.0,0.0,0.416566,0.729699,-0.554032,0.0,0.0,0.391322,0.246442,-0.295393,0.0,0.0,0.361198,0.392179,-0.421243,0.0,0.0,0.349985,0.560458,-0.475361,0.0,0.0,0.333052,0.702599,-0.508154,0.0,0.0,0.312946,0.263453,-0.288343,0.0,0.0,0.262781,0.367859,-0.383285,0.0,0.0,0.233061,0.468442,-0.42355,0.0,0.0,0.211995,0.564995,-0.451978,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,8,666,Right,0.927663,0.365362,0.113851,2e-06,0.0,0.0,0.477248,0.181839,-0.07726,0.0,0.0,0.552591,0.273823,-0.15839,0.0,0.0,0.595441,0.361547,-0.21741,0.0,0.0,0.660936,0.411476,-0.279238,0.0,0.0,0.535448,0.26387,-0.303431,0.0,0.0,0.562847,0.423541,-0.432696,0.0,0.0,0.580258,0.55737,-0.511207,0.0,0.0,0.585404,0.681856,-0.560358,0.0,0.0,0.464496,0.253016,-0.306652,0.0,0.0,0.452921,0.398339,-0.455735,0.0,0.0,0.443401,0.575163,-0.528705,0.0,0.0,0.423869,0.731382,-0.579853,0.0,0.0,0.388511,0.257049,-0.300716,0.0,0.0,0.354708,0.398184,-0.432577,0.0,0.0,0.346794,0.559873,-0.489026,0.0,0.0,0.33389,0.701942,-0.522849,0.0,0.0,0.311527,0.273469,-0.292652,0.0,0.0,0.261573,0.375136,-0.389755,0.0,0.0,0.23378,0.472839,-0.430083,0.0,0.0,0.21611,0.56883,-0.45862,0.0,0.0
v15.mp4,5239f79215d2b91df5766b4a5286bcdca785813e9671cda0a655095777e7c82c,1920,1080,12.08,157,13.0,9,750,Right,0.953145,0.356255,0.111289,2e-06,0.0,0.0,0.465635,0.174257,-0.074181,0.0,0.0,0.547782,0.264709,-0.148812,0.0,0.0,0.595537,0.35622,-0.20221,0.0,0.0,0.661181,0.414433,-0.257335,0.0,0.0,0.528305,0.242892,-0.29018,0.0,0.0,0.568446,0.398407,-0.413243,0.0,0.0,0.59192,0.530556,-0.488885,0.0,0.0,0.605906,0.657964,-0.538298,0.0,0.0,0.461063,0.231126,-0.295771,0.0,0.0,0.465044,0.332019,-0.44291,0.0,0.0,0.471194,0.467563,-0.519835,0.0,0.0,0.469094,0.598163,-0.574475,0.0,0.0,0.386953,0.236987,-0.292441,0.0,0.0,0.358018,0.362321,-0.424693,0.0,0.0,0.351069,0.517637,-0.485042,0.0,0.0,0.340271,0.664554,-0.521874,0.0,0.0,0.310613,0.258672,-0.286719,0.0,0.0,0.260581,0.366189,-0.38594,0.0,0.0,0.230054,0.458955,-0.428646,0.0,0.0,0.214378,0.554268,-0.458794,0.0,0.0
