video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,0,0,Right,0.793663,0.409149,0.04784,1e-06,0.0,0.0,0.501266,0.091881,-0.032481,0.0,0.0,0.589992,0.192684,-0.0663,0.0,0.0,0.657115,0.274975,-0.092805,0.0,0.0,0.726269,0.331908,-0.122171,0.0,0.0,0.554634,0.235701,-0.139057,0.0,0.0,0.619299,0.384273,-0.199055,0.0,0.0,0.662691,0.505434,-0.229766,0.0,0.0,0.695027,0.609955,-0.250698,0.0,0.0,0.489256,0.246084,-0.14909,0.0,0.0,0.510188,0.422635,-0.221084,0.0,0.0,0.521007,0.573075,-0.261864,0.0,0.0,0.523957,0.703149,-0.29103,0.0,0.0,0.424775,0.247692,-0.155256,0.0,0.0,0.42074,0.405711,-0.228863,0.0,0.0,0.417546,0.552301,-0.273507,0.0,0.0,0.413368,0.675542,-0.300191,0.0,0.0,0.36796,0.243304,-0.158431,0.0,0.0,0.326176,0.369815,-0.222833,0.0,0.0,0.294598,0.455365,-0.258758,0.0,0.0,0.268356,0.536585,-0.282541,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,1,83,Right,0.914693,0.389493,0.050742,1e-06,0.0,0.0,0.485365,0.092768,-0.040148,0.0,0.0,0.582074,0.173155,-0.078419,0.0,0.0,0.645653,0.257869,-0.107343,0.0,0.0,0.713909,0.313977,-0.137549,0.0,0.0,0.54689,0.207852,-0.154154,0.0,0.0,0.60131,0.310924,-0.229508,0.0,0.0,0.649402,0.371498,-0.278576,0.0,0.0,0.698687,0.428314,-0.314302,0.0,0.0,0.485937,0.235459,-0.16625,0.0,0.0,0.503448,0.418772,-0.258339,0.0,0.0,0.520712,0.564014,-0.32194,0.0,0.0,0.535088,0.696574,-0.368603,0.0,0.0,0.424266,0.252206,-0.172761,0.0,0.0,0.413311,0.426716,-0.258935,0.0,0.0,0.413468,0.563048,-0.309827,0.0,0.0,0.415184,0.686057,-0.343021,0.0,0.0,0.365369,0.258876,-0.177067,0.0,0.0,0.320257,0.392238,-0.252877,0.0,0.0,0.284177,0.463243,-0.289455,0.0,0.0,0.260515,0.530419,-0.313933,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,2,166,Right,0.974055,0.375124,0.048986,1e-06,0.0,0.0,0.475927,0.088896,-0.03211,0.0,0.0,0.561459,0.159136,-0.0772,0.0,0.0,0.607744,0.233823,-0.114489,0.0,0.0,0.645882,0.295996,-0.155181,0.0,0.0,0.54134,0.215217,-0.180445,0.0,0.0,0.614146,0.271931,-0.268799,0.0,0.0,0.665584,0.301079,-0.329002,0.0,0.0,0.719828,0.324023,-0.371589,0.0,0.0,0.483413,0.225543,-0.200417,0.0,0.0,0.502379,0.419417,-0.3116,0.0,0.0,0.520951,0.565497,-0.390573,0.0,0.0,0.538607,0.684354,-0.446185,0.0,0.0,0.420952,0.23856,-0.211249,0.0,0.0,0.408147,0.425345,-0.309414,0.0,0.0,0.410839,0.564727,-0.37038,0.0,0.0,0.41881,0.677144,-0.409467,0.0,0.0,0.366224,0.254248,-0.218081,0.0,0.0,0.319542,0.394641,-0.296239,0.0,0.0,0.284691,0.473496,-0.334233,0.0,0.0,0.261882,0.538368,-0.360058,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,3,250,Right,0.979117,0.386055,0.068975,1e-06,0.0,0.0,0.490047,0.105494,-0.039105,0.0,0.0,0.567503,0.173134,-0.090158,0.0,0.0,0.605238,0.251043,-0.12997,0.0,0.0,0.635844,0.316789,-0.173029,0.0,0.0,0.545609,0.238796,-0.202353,0.0,0.0,0.622063,0.291378,-0.291782,0.0,0.0,0.677627,0.321582,-0.350745,0.0,0.0,0.731869,0.348427,-0.39282,0.0,0.0,0.485357,0.244671,-0.219016,0.0,0.0,0.50266,0.420301,-0.330007,0.0,0.0,0.521925,0.557477,-0.400358,0.0,0.0,0.536906,0.667291,-0.450044,0.0,0.0,0.421562,0.247545,-0.226633,0.0,0.0,0.40572,0.424486,-0.328782,0.0,0.0,0.409674,0.564055,-0.385826,0.0,0.0,0.415921,0.674462,-0.421785,0.0,0.0,0.365224,0.255537,-0.230075,0.0,0.0,0.3168,0.386677,-0.312439,0.0,0.0,0.281984,0.467899,-0.348396,0.0,0.0,0.256342,0.531843,-0.372421,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,4,333,Right,0.854583,0.39567,0.058734,1e-06,0.0,0.0,0.492698,0.094848,-0.043216,0.0,0.0,0.582132,0.180077,-0.079887,0.0,0.0,0.646508,0.267141,-0.106188,0.0,0.0,0.712423,0.319923,-0.134694,0.0,0.0,0.560485,0.219212,-0.147732,0.0,0.0,0.607672,0.384296,-0.213265,0.0,0.0,0.639701,0.501873,-0.253888,0.0,0.0,0.665342,0.605201,-0.282216,0.0,0.0,0.498688,0.23553,-0.154985,0.0,0.0,0.509467,0.429348,-0.228586,0.0,0.0,0.522229,0.579869,-0.270266,0.0,0.0,0.530397,0.702683,-0.29884,0.0,0.0,0.428735,0.239686,-0.158156,0.0,0.0,0.416166,0.424196,-0.232205,0.0,0.0,0.419148,0.567301,-0.266727,0.0,0.0,0.423711,0.688307,-0.287878,0.0,0.0,0.361457,0.236983,-0.160117,0.0,0.0,0.317265,0.368245,-0.231334,0.0,0.0,0.285423,0.449839,-0.257364,0.0,0.0,0.257122,0.523335,-0.270994,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,5,416,Right,0.935849,0.388297,0.060935,1e-06,0.0,0.0,0.496355,0.111892,-0.045949,0.0,0.0,0.58551,0.18408,-0.101958,0.0,0.0,0.644083,0.264243,-0.14393,0.0,0.0,0.714871,0.310923,-0.188112,0.0,0.0,0.560083,0.220622,-0.218102,0.0,0.0,0.611519,0.384259,-0.315139,0.0,0.0,0.646463,0.501147,-0.37575,0.0,0.0,0.673133,0.603775,-0.415969,0.0,0.0,0.495677,0.232847,-0.227328,0.0,0.0,0.506104,0.422324,-0.340988,0.0,0.0,0.525265,0.57213,-0.405742,0.0,0.0,0.536698,0.693681,-0.45209,0.0,0.0,0.428509,0.238226,-0.227436,0.0,0.0,0.411067,0.42367,-0.334077,0.0,0.0,0.417365,0.571772,-0.385882,0.0,0.0,0.422516,0.695219,-0.418056,0.0,0.0,0.365679,0.24598,-0.223064,0.0,0.0,0.323495,0.37823,-0.311357,0.0,0.0,0.289442,0.464631,-0.347466,0.0,0.0,0.264387,0.54268,-0.370917,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,6,500,Right,0.92524,0.383165,0.057272,1e-06,0.0,0.0,0.487553,0.098704,-0.042792,0.0,0.0,0.581804,0.179233,-0.082393,0.0,0.0,0.649509,0.264223,-0.110997,0.0,0.0,0.719521,0.312914,-0.14057,0.0,0.0,0.554638,0.212456,-0.16198,0.0,0.0,0.609805,0.387664,-0.23598,0.0,0.0,0.645331,0.505735,-0.281129,0.0,0.0,0.674542,0.60619,-0.310876,0.0,0.0,0.489907,0.224664,-0.168805,0.0,0.0,0.505323,0.4247,-0.252801,0.0,0.0,0.520826,0.57809,-0.29817,0.0,0.0,0.529576,0.700093,-0.329361,0.0,0.0,0.421601,0.231748,-0.170793,0.0,0.0,0.41035,0.425236,-0.252386,0.0,0.0,0.413937,0.575717,-0.288163,0.0,0.0,0.42051,0.700513,-0.309068,0.0,0.0,0.359308,0.236785,-0.171046,0.0,0.0,0.322723,0.378315,-0.244533,0.0,0.0,0.291144,0.466849,-0.270819,0.0,0.0,0.264368,0.545586,-0.284754,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,7,583,Right,0.865415,0.384072,0.051137,1e-06,0.0,0.0,0.486643,0.091151,-0.041954,0.0,0.0,0.582897,0.178444,-0.07759,0.0,0.0,0.65309,0.266695,-0.103011,0.0,0.0,0.723935,0.317425,-0.12958,0.0,0.0,0.552342,0.213067,-0.148355,0.0,0.0,0.607632,0.386813,-0.217735,0.0,0.0,0.644482,0.504371,-0.260439,0.0,0.0,0.675039,0.606245,-0.288991,0.0,0.0,0.487747,0.230958,-0.15531,0.0,0.0,0.503708,0.427562,-0.230865,0.0,0.0,0.519146,0.578838,-0.271629,0.0,0.0,0.529242,0.702979,-0.300413,0.0,0.0,0.421472,0.237926,-0.158783,0.0,0.0,0.410907,0.42929,-0.235154,0.0,0.0,0.413913,0.574111,-0.26933,0.0,0.0,0.420288,0.698582,-0.289756,0.0,0.0,0.359786,0.23646,-0.160933,0.0,0.0,0.323784,0.379205,-0.232295,0.0,0.0,0.29142,0.467181,-0.258106,0.0,0.0,0.262627,0.547384,-0.271814,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,8,666,Right,0.912189,0.387325,0.049472,1e-06,0.0,0.0,0.487827,0.088018,-0.041782,0.0,0.0,0.586205,0.180052,-0.075694,0.0,0.0,0.652541,0.266622,-0.100824,0.0,0.0,0.718822,0.314437,-0.127112,0.0,0.0,0.558358,0.194816,-0.143404,0.0,0.0,0.609596,0.386985,-0.208412,0.0,0.0,0.639442,0.518671,-0.247512,0.0,0.0,0.664205,0.631764,-0.275176,0.0,0.0,0.496269,0.208026,-0.153015,0.0,0.0,0.517038,0.358603,-0.234322,0.0,0.0,0.534887,0.47229,-0.279772,0.0,0.0,0.551154,0.565449,-0.310206,0.0,0.0,0.42601,0.225155,-0.158856,0.0,0.0,0.425739,0.393185,-0.243601,0.0,0.0,0.432703,0.532844,-0.284384,0.0,0.0,0.447768,0.656534,-0.308286,0.0,0.0,0.356582,0.244389,-0.16311,0.0,0.0,0.318796,0.386445,-0.244457,0.0,0.0,0.282722,0.463114,-0.277259,0.0,0.0,0.254162,0.53251,-0.29463,0.0,0.0
v16.mp4,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1920,1080,12.07,177,14.667,9,750,Right,0.815422,0.384359,0.06254,1e-06,0.0,0.0,0.486664,0.080477,-0.037003,0.0,0.0,0.585043,0.174402,-0.068217,0.0,0.0,0.651958,0.267231,-0.089554,0.0,0.0,0.720515,0.312012,-0.112119,0.0,0.0,0.54788,0.202883,-0.147192,0.0,0.0,0.611587,0.385879,-0.208385,0.0,0.0,0.648024,0.504049,-0.242084,0.0,0.0,0.68039,0.607683,-0.26544,0.0,0.0,0.488306,0.217455,-0.155428,0.0,0.0,0.499055,0.360169,-0.229833,0.0,0.0,0.507674,0.442082,-0.261971,0.0,0.0,0.514592,0.505679,-0.283197,0.0,0.0,0.422678,0.230203,-0.160132,0.0,0.0,0.415584,0.414308,-0.244941,0.0,0.0,0.421105,0.563572,-0.284812,0.0,0.0,0.435896,0.697564,-0.307673,0.0,0.0,0.356297,0.245243,-0.161146,0.0,0.0,0.324183,0.383758,-0.238711,0.0,0.0,0.289642,0.465204,-0.267629,0.0,0.0,0.26208,0.540728,-0.283426,0.0,0.0
