video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,0,0,4,0,333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,1,3,7,250,583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,2,6,10,500,833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,3,9,13,750,1083,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,4,12,16,1000,1333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,5,15,19,1250,1583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,6,18,22,1500,1833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,7,21,25,1750,2083,5,2,1,0,0,0,0,1,0,1,1,0,0,0,1
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,8,24,28,2000,2333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,9,27,31,2250,2583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,10,30,34,2500,2833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,11,33,37,2750,3083,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,12,36,40,3000,3333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,13,39,43,3250,3583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v16.mp4,v16.raw_landmarks.2372472fb6d4dfec.csv,2372472fb6d4dfec31814c6adb7e62a0c5b1126f950014eb1ed6a4fc1123d1b7,14,42,46,3500,3833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
