video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,0,0,4,0,333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,1,3,7,250,583,5,2,1,0,0,0,0,1,0,1,0,0,0,0,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,2,6,10,500,833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,3,9,13,750,1083,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,4,12,16,1000,1333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,5,15,19,1250,1583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,6,18,22,1500,1833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,7,21,25,1750,2083,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,8,24,28,2000,2333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,9,27,31,2250,2583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,10,30,34,2500,2833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,11,33,37,2750,3083,5,2,1,0,0,0,0,1,0,0,0,0,0,1,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,12,36,40,3000,3333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,13,39,43,3250,3583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,14,42,46,3500,3833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,15,45,49,3750,4083,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,16,48,52,4000,4333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,17,51,55,4250,4583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,18,54,58,4500,4833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,19,57,61,4750,5083,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,20,60,64,5000,5333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,21,63,67,5250,5583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,22,66,70,5500,5833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,23,69,73,5750,6083,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,24,72,76,6000,6333,5,2,1,0,0,0,0,1,0,0,0,1,1,1,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,25,75,79,6250,6583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,26,78,82,6500,6833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,27,81,85,6750,7083,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,28,84,88,7000,7333,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,29,87,91,7250,7583,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,30,90,94,7500,7833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,31,93,97,7750,8083,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,32,96,100,8000,8333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,33,99,103,8250,8583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,34,102,106,8500,8833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,35,105,109,8750,9083,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,36,108,112,9000,9333,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,37,111,115,9250,9583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,38,114,118,9500,9833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,39,117,121,9750,10083,5,2,1,0,0,0,0,1,1,0,1,0,0,0,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,40,120,124,10000,10333,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,41,123,127,10250,10583,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,42,126,130,10500,10833,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,43,129,133,10750,11083,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,44,132,136,11000,11333,5,2,1,0,0,0,0,1,0,0,0,1,0,0,1
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,45,135,139,11250,11583,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,46,138,142,11500,11833,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
v17.mp4,v17.raw_landmarks.8a314606994808b0.csv,8a314606994808b08bd981ac76fd8cc488f3e5b78e4a5d2de777d020c8c077d3,47,141,145,11750,12083,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0
