video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,0,0,Right,0.884167,0.221999,0.051631,1e-06,0.0,0.0,0.322425,0.091915,-0.062846,0.0,0.0,0.40248,0.168778,-0.127267,0.0,0.0,0.447638,0.246576,-0.174386,0.0,0.0,0.488889,0.365739,-0.225014,0.0,0.0,0.355642,0.17232,-0.257054,0.0,0.0,0.402645,0.326919,-0.356124,0.0,0.0,0.4334,0.473856,-0.408807,0.0,0.0,0.451557,0.600573,-0.444728,0.0,0.0,0.277152,0.189585,-0.257683,0.0,0.0,0.299879,0.370363,-0.368778,0.0,0.0,0.31213,0.536658,-0.430321,0.0,0.0,0.316335,0.6861,-0.479481,0.0,0.0,0.205121,0.212939,-0.250717,0.0,0.0,0.204336,0.353946,-0.352415,0.0,0.0,0.205464,0.516142,-0.418962,0.0,0.0,0.205966,0.644893,-0.465152,0.0,0.0,0.142655,0.232657,-0.239986,0.0,0.0,0.105335,0.347102,-0.326002,0.0,0.0,0.089667,0.449378,-0.384927,0.0,0.0,0.08373,0.546646,-0.431124,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,1,83,Right,0.868188,0.199298,-0.001688,1e-06,0.0,0.0,0.299976,0.042884,-0.044181,0.0,0.0,0.384465,0.136398,-0.078761,0.0,0.0,0.438875,0.239612,-0.102348,0.0,0.0,0.48441,0.345002,-0.124625,0.0,0.0,0.345603,0.149526,-0.140558,0.0,0.0,0.39635,0.332755,-0.201454,0.0,0.0,0.427633,0.468986,-0.235805,0.0,0.0,0.452967,0.586091,-0.258942,0.0,0.0,0.267166,0.177626,-0.142509,0.0,0.0,0.289459,0.373031,-0.202641,0.0,0.0,0.303419,0.541792,-0.231637,0.0,0.0,0.315761,0.681867,-0.253573,0.0,0.0,0.196058,0.194135,-0.143035,0.0,0.0,0.197002,0.360292,-0.204311,0.0,0.0,0.204943,0.51478,-0.234842,0.0,0.0,0.214807,0.644415,-0.253527,0.0,0.0,0.13674,0.20632,-0.143235,0.0,0.0,0.102352,0.350509,-0.203812,0.0,0.0,0.084079,0.453672,-0.233104,0.0,0.0,0.071967,0.550705,-0.250789,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,2,166,Right,0.834588,0.205339,0.014627,1e-06,0.0,0.0,0.306366,0.051016,-0.046141,0.0,0.0,0.390528,0.138271,-0.083131,0.0,0.0,0.442721,0.242433,-0.108503,0.0,0.0,0.488491,0.345011,-0.133097,0.0,0.0,0.34583,0.159414,-0.144279,0.0,0.0,0.395052,0.340722,-0.206301,0.0,0.0,0.425795,0.474772,-0.242665,0.0,0.0,0.450408,0.59249,-0.267506,0.0,0.0,0.268434,0.1892,-0.14556,0.0,0.0,0.289759,0.384542,-0.207855,0.0,0.0,0.304085,0.546384,-0.239387,0.0,0.0,0.314999,0.679688,-0.263523,0.0,0.0,0.198361,0.206941,-0.145192,0.0,0.0,0.195646,0.372975,-0.206358,0.0,0.0,0.201298,0.522444,-0.236674,0.0,0.0,0.208838,0.64889,-0.255863,0.0,0.0,0.138796,0.216898,-0.144721,0.0,0.0,0.105514,0.362075,-0.203799,0.0,0.0,0.086847,0.465579,-0.232016,0.0,0.0,0.073745,0.56224,-0.249745,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,3,250,Right,0.833063,0.207108,0.000286,1e-06,0.0,0.0,0.306943,0.042778,-0.043549,0.0,0.0,0.389614,0.138218,-0.076776,0.0,0.0,0.440671,0.245729,-0.098973,0.0,0.0,0.486144,0.348799,-0.120117,0.0,0.0,0.346993,0.160511,-0.134602,0.0,0.0,0.395968,0.335162,-0.194854,0.0,0.0,0.425722,0.466278,-0.231202,0.0,0.0,0.449933,0.58194,-0.255922,0.0,0.0,0.268941,0.189632,-0.136218,0.0,0.0,0.290773,0.382024,-0.195,0.0,0.0,0.302702,0.542174,-0.225861,0.0,0.0,0.313248,0.675764,-0.249615,0.0,0.0,0.198596,0.206547,-0.136633,0.0,0.0,0.195817,0.371212,-0.196116,0.0,0.0,0.199611,0.520197,-0.227464,0.0,0.0,0.206793,0.646146,-0.246986,0.0,0.0,0.139467,0.21623,-0.136782,0.0,0.0,0.105418,0.362733,-0.194098,0.0,0.0,0.085715,0.464221,-0.222284,0.0,0.0,0.072906,0.558797,-0.239942,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,4,333,Right,0.791153,0.206406,0.003314,1e-06,0.0,0.0,0.304283,0.049316,-0.045675,0.0,0.0,0.389556,0.140676,-0.07913,0.0,0.0,0.44182,0.244269,-0.101899,0.0,0.0,0.484503,0.348477,-0.123398,0.0,0.0,0.344207,0.160101,-0.133737,0.0,0.0,0.394182,0.333502,-0.194176,0.0,0.0,0.423321,0.46452,-0.229124,0.0,0.0,0.446103,0.581689,-0.252516,0.0,0.0,0.267616,0.188986,-0.134467,0.0,0.0,0.287926,0.376577,-0.194997,0.0,0.0,0.297997,0.538141,-0.225451,0.0,0.0,0.305326,0.672927,-0.247997,0.0,0.0,0.198099,0.204877,-0.134425,0.0,0.0,0.195885,0.362607,-0.195767,0.0,0.0,0.201909,0.511148,-0.226297,0.0,0.0,0.210259,0.639095,-0.244306,0.0,0.0,0.139184,0.214974,-0.134337,0.0,0.0,0.106935,0.356544,-0.191077,0.0,0.0,0.089815,0.459953,-0.218293,0.0,0.0,0.078988,0.558046,-0.235173,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,5,416,Right,0.816872,0.207013,0.006781,1e-06,0.0,0.0,0.302125,0.053272,-0.046274,0.0,0.0,0.388266,0.144595,-0.07874,0.0,0.0,0.441901,0.247708,-0.100479,0.0,0.0,0.486204,0.352402,-0.120463,0.0,0.0,0.342161,0.162846,-0.129419,0.0,0.0,0.39157,0.332798,-0.187757,0.0,0.0,0.420263,0.463625,-0.221568,0.0,0.0,0.442426,0.581959,-0.244123,0.0,0.0,0.266222,0.189644,-0.128857,0.0,0.0,0.283802,0.37323,-0.186711,0.0,0.0,0.292994,0.534477,-0.215299,0.0,0.0,0.299574,0.669793,-0.236603,0.0,0.0,0.197139,0.205739,-0.12786,0.0,0.0,0.193392,0.360371,-0.186523,0.0,0.0,0.200317,0.505279,-0.214692,0.0,0.0,0.208932,0.629876,-0.23102,0.0,0.0,0.138849,0.217126,-0.127194,0.0,0.0,0.106998,0.358989,-0.181053,0.0,0.0,0.090725,0.460922,-0.206242,0.0,0.0,0.080241,0.558151,-0.221687,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,6,500,Right,0.828486,0.206526,0.01618,1e-06,0.0,0.0,0.302927,0.056814,-0.047607,0.0,0.0,0.391276,0.147558,-0.080556,0.0,0.0,0.444871,0.248808,-0.102561,0.0,0.0,0.487139,0.353293,-0.122667,0.0,0.0,0.343757,0.166212,-0.128611,0.0,0.0,0.391774,0.329482,-0.18584,0.0,0.0,0.420295,0.458912,-0.218914,0.0,0.0,0.442387,0.576785,-0.241341,0.0,0.0,0.267082,0.192993,-0.126929,0.0,0.0,0.280526,0.374306,-0.18256,0.0,0.0,0.285713,0.534973,-0.208122,0.0,0.0,0.28941,0.669092,-0.22749,0.0,0.0,0.197848,0.208928,-0.125282,0.0,0.0,0.189673,0.361953,-0.181357,0.0,0.0,0.194179,0.505047,-0.205858,0.0,0.0,0.202329,0.62754,-0.220169,0.0,0.0,0.14,0.219665,-0.124399,0.0,0.0,0.104546,0.35825,-0.176024,0.0,0.0,0.089683,0.458918,-0.199491,0.0,0.0,0.081462,0.55635,-0.214089,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,7,583,Right,0.91384,0.199598,-0.001167,1e-06,0.0,0.0,0.2984,0.045596,-0.053047,0.0,0.0,0.390204,0.147353,-0.087028,0.0,0.0,0.443446,0.252647,-0.108039,0.0,0.0,0.48883,0.35071,-0.125783,0.0,0.0,0.343536,0.160144,-0.132279,0.0,0.0,0.382517,0.308892,-0.187528,0.0,0.0,0.409336,0.429325,-0.21975,0.0,0.0,0.431938,0.540668,-0.242267,0.0,0.0,0.261231,0.180935,-0.126983,0.0,0.0,0.252525,0.346689,-0.179555,0.0,0.0,0.24606,0.499264,-0.201358,0.0,0.0,0.241429,0.63009,-0.219069,0.0,0.0,0.186422,0.192435,-0.121839,0.0,0.0,0.163961,0.34079,-0.175132,0.0,0.0,0.155925,0.482476,-0.193823,0.0,0.0,0.152852,0.60213,-0.204355,0.0,0.0,0.124493,0.204023,-0.118287,0.0,0.0,0.088331,0.344426,-0.166433,0.0,0.0,0.072265,0.439433,-0.184789,0.0,0.0,0.061894,0.529247,-0.195731,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,8,666,Right,0.900666,0.193993,-0.021389,1e-06,0.0,0.0,0.289301,0.037921,-0.055553,0.0,0.0,0.383753,0.145362,-0.087637,0.0,0.0,0.439704,0.250881,-0.107037,0.0,0.0,0.490919,0.347563,-0.122935,0.0,0.0,0.335336,0.160336,-0.121274,0.0,0.0,0.372295,0.308182,-0.173102,0.0,0.0,0.399781,0.427813,-0.205362,0.0,0.0,0.421995,0.542389,-0.228678,0.0,0.0,0.251492,0.170094,-0.114535,0.0,0.0,0.236057,0.331664,-0.163556,0.0,0.0,0.225787,0.479539,-0.186574,0.0,0.0,0.217523,0.615202,-0.205582,0.0,0.0,0.175479,0.168545,-0.108701,0.0,0.0,0.14922,0.310785,-0.159984,0.0,0.0,0.134093,0.446464,-0.177773,0.0,0.0,0.122343,0.564906,-0.187339,0.0,0.0,0.112904,0.168409,-0.10502,0.0,0.0,0.079364,0.299446,-0.152309,0.0,0.0,0.060273,0.392763,-0.168877,0.0,0.0,0.044122,0.485642,-0.177942,0.0,0.0
v19.mp4,a612a67e79dede6bc2a0c8fe2455bdaeb9a191cc15c012073e207d11738b0d3c,1920,1080,12.06,196,16.25,9,750,Right,0.83995,0.18603,0.005335,1e-06,0.0,0.0,0.280618,0.055577,-0.065899,0.0,0.0,0.378652,0.157721,-0.10215,0.0,0.0,0.440459,0.252236,-0.124752,0.0,0.0,0.492052,0.345491,-0.144191,0.0,0.0,0.329277,0.158278,-0.134693,0.0,0.0,0.365823,0.303542,-0.187574,0.0,0.0,0.392416,0.424332,-0.218281,0.0,0.0,0.412428,0.54022,-0.240501,0.0,0.0,0.242439,0.16355,-0.124274,0.0,0.0,0.228069,0.303101,-0.179496,0.0,0.0,0.21812,0.4426,-0.204185,0.0,0.0,0.209419,0.569507,-0.223571,0.0,0.0,0.162855,0.163981,-0.115038,0.0,0.0,0.132748,0.298117,-0.172292,0.0,0.0,0.114617,0.428977,-0.189331,0.0,0.0,0.100677,0.542208,-0.197239,0.0,0.0,0.099459,0.166214,-0.108652,0.0,0.0,0.064616,0.298996,-0.157169,0.0,0.0,0.047497,0.397166,-0.173132,0.0,0.0,0.032408,0.49368,-0.181992,0.0,0.0
