video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,0,0,4,0,333,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,1,3,7,250,583,5,2,0,0,0,0,1,1,0,0,0,1,0,0,1
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,2,6,10,500,833,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,3,9,13,750,1083,5,2,0,0,0,0,1,1,0,0,1,0,0,0,1
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,4,12,16,1000,1333,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,5,15,19,1250,1583,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,6,18,22,1500,1833,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,7,21,25,1750,2083,5,2,0,0,0,0,1,1,0,0,0,1,0,0,1
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,8,24,28,2000,2333,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,9,27,31,2250,2583,5,2,0,0,0,0,1,1,1,0,0,0,0,0,0
v20.mp4,v20.raw_landmarks.bb8c03ffbf6eed4d.csv,bb8c03ffbf6eed4dea69a58cb3139244a5213ebe449000dd7838a4efe3c30def,10,30,34,2500,2833,5,2,0,0,0,0,1,1,0,0,1,1,0,0,1
