video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,0,0,Left,0.877071,0.465016,0.111295,1e-06,0.0,0.0,0.365383,0.126059,-0.045489,0.0,0.0,0.276284,0.229466,-0.07826,0.0,0.0,0.210941,0.34031,-0.099874,0.0,0.0,0.157605,0.431073,-0.126819,0.0,0.0,0.288464,0.222292,-0.139584,0.0,0.0,0.233421,0.339803,-0.190256,0.0,0.0,0.199898,0.424379,-0.219733,0.0,0.0,0.165975,0.501882,-0.242352,0.0,0.0,0.344851,0.214484,-0.141418,0.0,0.0,0.328751,0.397527,-0.206205,0.0,0.0,0.315713,0.541107,-0.247068,0.0,0.0,0.300347,0.663411,-0.278657,0.0,0.0,0.410837,0.211103,-0.138294,0.0,0.0,0.441363,0.406682,-0.200666,0.0,0.0,0.462712,0.550545,-0.225141,0.0,0.0,0.472757,0.665205,-0.239845,0.0,0.0,0.475067,0.21731,-0.134425,0.0,0.0,0.514974,0.365607,-0.186072,0.0,0.0,0.53474,0.458975,-0.20127,0.0,0.0,0.542837,0.543646,-0.209701,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,1,83,Left,0.912213,0.467599,0.118705,-0.0,0.0,0.0,0.358726,0.140351,-0.045115,0.0,0.0,0.263345,0.234399,-0.073753,0.0,0.0,0.201985,0.340964,-0.093606,0.0,0.0,0.152574,0.424751,-0.118699,0.0,0.0,0.313204,0.250893,-0.117822,0.0,0.0,0.315364,0.439988,-0.169292,0.0,0.0,0.30948,0.561794,-0.203851,0.0,0.0,0.303489,0.673171,-0.22806,0.0,0.0,0.383166,0.234895,-0.120413,0.0,0.0,0.407161,0.447078,-0.174117,0.0,0.0,0.412404,0.596256,-0.21032,0.0,0.0,0.41916,0.727125,-0.240481,0.0,0.0,0.446673,0.225819,-0.121198,0.0,0.0,0.492578,0.408656,-0.175086,0.0,0.0,0.506252,0.551113,-0.200705,0.0,0.0,0.514548,0.674429,-0.218194,0.0,0.0,0.501523,0.226395,-0.123178,0.0,0.0,0.545852,0.339069,-0.167731,0.0,0.0,0.565093,0.423781,-0.182132,0.0,0.0,0.578711,0.501607,-0.191578,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,2,166,Left,0.92754,0.464532,0.113326,0.0,0.0,0.0,0.357107,0.144581,-0.055224,0.0,0.0,0.260209,0.253515,-0.094257,0.0,0.0,0.203499,0.355193,-0.121311,0.0,0.0,0.156486,0.435233,-0.154312,0.0,0.0,0.328758,0.26316,-0.15867,0.0,0.0,0.320722,0.443033,-0.214217,0.0,0.0,0.313369,0.558004,-0.247688,0.0,0.0,0.305796,0.671365,-0.272744,0.0,0.0,0.402334,0.239221,-0.158438,0.0,0.0,0.423054,0.41645,-0.224367,0.0,0.0,0.432122,0.537829,-0.264361,0.0,0.0,0.443724,0.661733,-0.296743,0.0,0.0,0.465553,0.223876,-0.153779,0.0,0.0,0.515637,0.365808,-0.216385,0.0,0.0,0.5382,0.484184,-0.242217,0.0,0.0,0.555417,0.599655,-0.259528,0.0,0.0,0.517807,0.219583,-0.150062,0.0,0.0,0.560451,0.321368,-0.199001,0.0,0.0,0.587376,0.389776,-0.212707,0.0,0.0,0.610798,0.453439,-0.222265,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,3,250,Left,0.979186,0.451709,0.08634,0.0,0.0,0.0,0.354329,0.137241,-0.044382,0.0,0.0,0.263082,0.253787,-0.077123,0.0,0.0,0.203099,0.359015,-0.101392,0.0,0.0,0.152717,0.438935,-0.130151,0.0,0.0,0.315301,0.249147,-0.133838,0.0,0.0,0.298256,0.423315,-0.185911,0.0,0.0,0.290622,0.538353,-0.215619,0.0,0.0,0.283856,0.645903,-0.237216,0.0,0.0,0.384487,0.22473,-0.13823,0.0,0.0,0.380556,0.375703,-0.201094,0.0,0.0,0.373926,0.499521,-0.239438,0.0,0.0,0.373298,0.624366,-0.268958,0.0,0.0,0.450056,0.199928,-0.138691,0.0,0.0,0.494109,0.317547,-0.200155,0.0,0.0,0.520528,0.412411,-0.223886,0.0,0.0,0.540434,0.508015,-0.237758,0.0,0.0,0.508335,0.183731,-0.139235,0.0,0.0,0.55749,0.258959,-0.187138,0.0,0.0,0.590896,0.30971,-0.19979,0.0,0.0,0.618525,0.365079,-0.207263,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,4,333,Left,0.895877,0.453678,0.078751,1e-06,0.0,0.0,0.351291,0.131555,-0.040367,0.0,0.0,0.261725,0.245177,-0.072062,0.0,0.0,0.201722,0.34514,-0.09682,0.0,0.0,0.149821,0.427388,-0.126323,0.0,0.0,0.316513,0.254397,-0.127012,0.0,0.0,0.300428,0.422099,-0.179661,0.0,0.0,0.290428,0.540859,-0.209911,0.0,0.0,0.280843,0.647254,-0.231983,0.0,0.0,0.383853,0.228214,-0.13631,0.0,0.0,0.374611,0.402451,-0.198159,0.0,0.0,0.363153,0.544871,-0.240935,0.0,0.0,0.35843,0.680217,-0.274349,0.0,0.0,0.449432,0.190961,-0.141397,0.0,0.0,0.489364,0.312652,-0.207496,0.0,0.0,0.51614,0.411588,-0.238812,0.0,0.0,0.537379,0.509947,-0.257474,0.0,0.0,0.508474,0.158632,-0.145578,0.0,0.0,0.555857,0.2035,-0.19924,0.0,0.0,0.587799,0.239126,-0.215904,0.0,0.0,0.615063,0.28593,-0.226307,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,5,416,Left,0.847685,0.463874,0.082612,1e-06,0.0,0.0,0.355686,0.137447,-0.038142,0.0,0.0,0.263455,0.244335,-0.071574,0.0,0.0,0.203441,0.349946,-0.097281,0.0,0.0,0.1503,0.439394,-0.127427,0.0,0.0,0.31712,0.244269,-0.133369,0.0,0.0,0.290207,0.409875,-0.185927,0.0,0.0,0.276065,0.513901,-0.21302,0.0,0.0,0.26418,0.607242,-0.233145,0.0,0.0,0.384854,0.21918,-0.144474,0.0,0.0,0.373104,0.407474,-0.210453,0.0,0.0,0.360952,0.545415,-0.254573,0.0,0.0,0.355661,0.677579,-0.288529,0.0,0.0,0.451207,0.18656,-0.150643,0.0,0.0,0.491616,0.331166,-0.225502,0.0,0.0,0.516957,0.43403,-0.262918,0.0,0.0,0.535806,0.535176,-0.284805,0.0,0.0,0.509106,0.155687,-0.154123,0.0,0.0,0.557693,0.197335,-0.217161,0.0,0.0,0.591711,0.217246,-0.239094,0.0,0.0,0.619134,0.252907,-0.252567,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,6,500,Left,0.689356,0.482818,0.070135,0.0,0.0,0.0,0.370162,0.112541,-0.034325,0.0,0.0,0.271057,0.230087,-0.061171,0.0,0.0,0.206428,0.340318,-0.079484,0.0,0.0,0.150953,0.425738,-0.104359,0.0,0.0,0.319824,0.237027,-0.124331,0.0,0.0,0.30529,0.426579,-0.165209,0.0,0.0,0.29832,0.543591,-0.188179,0.0,0.0,0.290007,0.652021,-0.207604,0.0,0.0,0.389749,0.217702,-0.132559,0.0,0.0,0.410816,0.436625,-0.179815,0.0,0.0,0.418043,0.577731,-0.213954,0.0,0.0,0.425112,0.704953,-0.244295,0.0,0.0,0.456543,0.195526,-0.135763,0.0,0.0,0.50159,0.374327,-0.198812,0.0,0.0,0.521331,0.50369,-0.236496,0.0,0.0,0.534678,0.620004,-0.263091,0.0,0.0,0.510935,0.174558,-0.136156,0.0,0.0,0.564115,0.220498,-0.198235,0.0,0.0,0.603828,0.222909,-0.221742,0.0,0.0,0.634518,0.231611,-0.237208,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,7,583,Left,0.829,0.486345,0.089268,0.0,0.0,0.0,0.379704,0.131545,-0.026544,0.0,0.0,0.277743,0.242435,-0.046478,0.0,0.0,0.208923,0.355598,-0.059092,0.0,0.0,0.153889,0.443568,-0.076607,0.0,0.0,0.295234,0.223684,-0.109424,0.0,0.0,0.236276,0.340491,-0.145742,0.0,0.0,0.204163,0.407592,-0.160966,0.0,0.0,0.176975,0.471379,-0.172128,0.0,0.0,0.352318,0.209889,-0.117901,0.0,0.0,0.330679,0.401978,-0.161581,0.0,0.0,0.314157,0.5426,-0.190085,0.0,0.0,0.307854,0.672001,-0.213509,0.0,0.0,0.41871,0.201414,-0.121682,0.0,0.0,0.450046,0.402292,-0.179928,0.0,0.0,0.471598,0.545721,-0.213756,0.0,0.0,0.487657,0.67917,-0.235297,0.0,0.0,0.481069,0.19427,-0.121825,0.0,0.0,0.53028,0.282003,-0.181168,0.0,0.0,0.578562,0.335502,-0.205027,0.0,0.0,0.616694,0.398548,-0.218597,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,8,666,Left,0.506988,0.474859,0.100418,0.0,0.0,0.0,0.36218,0.128576,-0.042489,0.0,0.0,0.262546,0.237348,-0.06998,0.0,0.0,0.200891,0.347977,-0.087624,0.0,0.0,0.147854,0.442468,-0.110466,0.0,0.0,0.309109,0.249533,-0.130793,0.0,0.0,0.291243,0.392637,-0.178953,0.0,0.0,0.276694,0.485114,-0.206026,0.0,0.0,0.261883,0.583631,-0.22639,0.0,0.0,0.373598,0.230844,-0.136524,0.0,0.0,0.362581,0.407581,-0.190602,0.0,0.0,0.34358,0.538549,-0.22952,0.0,0.0,0.331399,0.672991,-0.262962,0.0,0.0,0.438998,0.218716,-0.138052,0.0,0.0,0.470295,0.388399,-0.205522,0.0,0.0,0.486208,0.539492,-0.244453,0.0,0.0,0.494451,0.685108,-0.270407,0.0,0.0,0.500302,0.209857,-0.137541,0.0,0.0,0.556849,0.28064,-0.19959,0.0,0.0,0.594503,0.343127,-0.224313,0.0,0.0,0.623204,0.415178,-0.240741,0.0,0.0
v21.mp4,c414793092cbd3f6b2a0783f0a0eb93ea5fe3e9c0a97cfa5c0c72a011ea9d9d6,1920,1080,12.08,151,12.5,9,750,Left,0.853966,0.46579,0.095874,-0.0,0.0,0.0,0.355498,0.13305,-0.048061,0.0,0.0,0.261198,0.247673,-0.079508,0.0,0.0,0.203005,0.354819,-0.100776,0.0,0.0,0.150408,0.431478,-0.128292,0.0,0.0,0.321937,0.240597,-0.13047,0.0,0.0,0.323393,0.408218,-0.180925,0.0,0.0,0.314617,0.520736,-0.21514,0.0,0.0,0.306102,0.630369,-0.241106,0.0,0.0,0.395513,0.226146,-0.131985,0.0,0.0,0.420704,0.434447,-0.184944,0.0,0.0,0.428118,0.582364,-0.22346,0.0,0.0,0.440572,0.714158,-0.257242,0.0,0.0,0.458751,0.215333,-0.130561,0.0,0.0,0.495084,0.393719,-0.185624,0.0,0.0,0.508745,0.537305,-0.216987,0.0,0.0,0.521957,0.668625,-0.240842,0.0,0.0,0.509311,0.209303,-0.129616,0.0,0.0,0.557124,0.315618,-0.17791,0.0,0.0,0.586407,0.393118,-0.197427,0.0,0.0,0.611236,0.470988,-0.212422,0.0,0.0
