video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,0,0,Right,0.9032,0.227608,0.083345,0.0,0.0,0.0,0.34777,0.050172,-0.02139,0.0,0.0,0.465594,0.110481,-0.045513,0.0,0.0,0.54548,0.191778,-0.064141,0.0,0.0,0.612278,0.261593,-0.083979,0.0,0.0,0.464912,0.227402,-0.097661,0.0,0.0,0.565412,0.379884,-0.138622,0.0,0.0,0.620065,0.478982,-0.156529,0.0,0.0,0.661698,0.570303,-0.168922,0.0,0.0,0.399692,0.287609,-0.11143,0.0,0.0,0.466837,0.465661,-0.157467,0.0,0.0,0.513594,0.591535,-0.182957,0.0,0.0,0.551108,0.701752,-0.201758,0.0,0.0,0.325212,0.330339,-0.123183,0.0,0.0,0.35271,0.557025,-0.176145,0.0,0.0,0.384444,0.719133,-0.210284,0.0,0.0,0.412355,0.852723,-0.230962,0.0,0.0,0.252152,0.362233,-0.131522,0.0,0.0,0.254,0.561286,-0.181423,0.0,0.0,0.257241,0.685083,-0.207268,0.0,0.0,0.265405,0.798073,-0.223173,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,1,83,Right,0.848413,0.207679,0.071668,1e-06,0.0,0.0,0.333327,0.04145,-0.02253,0.0,0.0,0.451947,0.091485,-0.050347,0.0,0.0,0.536768,0.186934,-0.069003,0.0,0.0,0.604528,0.264941,-0.086842,0.0,0.0,0.444622,0.199476,-0.133422,0.0,0.0,0.550906,0.354653,-0.191152,0.0,0.0,0.613753,0.462544,-0.224628,0.0,0.0,0.664945,0.561163,-0.24816,0.0,0.0,0.383368,0.269238,-0.145058,0.0,0.0,0.448933,0.429383,-0.214584,0.0,0.0,0.501657,0.537599,-0.252992,0.0,0.0,0.541911,0.632818,-0.281493,0.0,0.0,0.314783,0.329656,-0.150517,0.0,0.0,0.349132,0.558595,-0.218604,0.0,0.0,0.385756,0.719813,-0.252687,0.0,0.0,0.412802,0.855082,-0.273617,0.0,0.0,0.248588,0.374199,-0.152332,0.0,0.0,0.259461,0.579628,-0.213975,0.0,0.0,0.261174,0.696497,-0.240761,0.0,0.0,0.266732,0.803653,-0.256311,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,2,166,Right,0.870242,0.208471,0.073,1e-06,0.0,0.0,0.340922,0.038552,-0.015647,0.0,0.0,0.456505,0.093318,-0.051482,0.0,0.0,0.538498,0.186689,-0.078404,0.0,0.0,0.60785,0.265719,-0.1077,0.0,0.0,0.450901,0.201625,-0.170741,0.0,0.0,0.555537,0.360341,-0.238913,0.0,0.0,0.617199,0.468672,-0.27577,0.0,0.0,0.667397,0.564682,-0.301249,0.0,0.0,0.386347,0.270002,-0.18769,0.0,0.0,0.448458,0.43624,-0.272973,0.0,0.0,0.499358,0.537388,-0.316138,0.0,0.0,0.539329,0.620652,-0.348395,0.0,0.0,0.314348,0.325747,-0.194756,0.0,0.0,0.347968,0.552876,-0.280578,0.0,0.0,0.385106,0.71474,-0.323313,0.0,0.0,0.411898,0.845872,-0.349236,0.0,0.0,0.2448,0.370827,-0.194525,0.0,0.0,0.261193,0.571693,-0.266552,0.0,0.0,0.263099,0.693541,-0.297554,0.0,0.0,0.266321,0.800197,-0.317255,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,3,250,Right,0.854402,0.203512,0.069011,1e-06,0.0,0.0,0.3376,0.040488,-0.014618,0.0,0.0,0.453271,0.096658,-0.049033,0.0,0.0,0.535939,0.193035,-0.074452,0.0,0.0,0.605705,0.271286,-0.101086,0.0,0.0,0.446969,0.199614,-0.166287,0.0,0.0,0.554477,0.356892,-0.234007,0.0,0.0,0.616779,0.466748,-0.270888,0.0,0.0,0.667576,0.563879,-0.296135,0.0,0.0,0.384313,0.263856,-0.183292,0.0,0.0,0.448574,0.429547,-0.270913,0.0,0.0,0.501196,0.530859,-0.316021,0.0,0.0,0.540487,0.613344,-0.348753,0.0,0.0,0.314114,0.320433,-0.190169,0.0,0.0,0.346711,0.553678,-0.274668,0.0,0.0,0.385863,0.718668,-0.315983,0.0,0.0,0.413379,0.852037,-0.340495,0.0,0.0,0.245833,0.368508,-0.190138,0.0,0.0,0.262235,0.572834,-0.258841,0.0,0.0,0.265395,0.694966,-0.287794,0.0,0.0,0.270481,0.801682,-0.305829,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,4,333,Right,0.859895,0.20126,0.06281,1e-06,0.0,0.0,0.327897,0.032157,-0.019058,0.0,0.0,0.447546,0.088151,-0.045941,0.0,0.0,0.534182,0.183684,-0.064633,0.0,0.0,0.600505,0.263001,-0.082766,0.0,0.0,0.441183,0.195166,-0.126941,0.0,0.0,0.55211,0.355686,-0.17812,0.0,0.0,0.614881,0.46559,-0.205045,0.0,0.0,0.665455,0.564464,-0.224438,0.0,0.0,0.380695,0.261404,-0.14028,0.0,0.0,0.446597,0.432168,-0.206447,0.0,0.0,0.495548,0.533582,-0.240254,0.0,0.0,0.533567,0.617337,-0.264421,0.0,0.0,0.311794,0.320256,-0.147225,0.0,0.0,0.348671,0.558836,-0.213324,0.0,0.0,0.385886,0.722082,-0.245046,0.0,0.0,0.414625,0.854523,-0.263863,0.0,0.0,0.243811,0.362888,-0.149989,0.0,0.0,0.259232,0.57151,-0.208389,0.0,0.0,0.263353,0.693807,-0.232084,0.0,0.0,0.269342,0.802948,-0.245323,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,5,416,Right,0.923055,0.206112,0.082115,1e-06,0.0,0.0,0.335535,0.049426,-0.023399,0.0,0.0,0.452573,0.095915,-0.062969,0.0,0.0,0.539076,0.176092,-0.09006,0.0,0.0,0.60949,0.261843,-0.119086,0.0,0.0,0.448502,0.190815,-0.183059,0.0,0.0,0.555708,0.359652,-0.248459,0.0,0.0,0.616358,0.480191,-0.277261,0.0,0.0,0.659709,0.58329,-0.295887,0.0,0.0,0.381532,0.275968,-0.193221,0.0,0.0,0.478431,0.48977,-0.276022,0.0,0.0,0.53407,0.646285,-0.313961,0.0,0.0,0.568463,0.771601,-0.340912,0.0,0.0,0.309594,0.34421,-0.19231,0.0,0.0,0.360685,0.580844,-0.263125,0.0,0.0,0.397144,0.742229,-0.289782,0.0,0.0,0.422142,0.875007,-0.306294,0.0,0.0,0.241455,0.387044,-0.18654,0.0,0.0,0.259427,0.576885,-0.247929,0.0,0.0,0.26555,0.697344,-0.270793,0.0,0.0,0.273719,0.80426,-0.28443,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,6,500,Right,0.919418,0.206102,0.082109,1e-06,0.0,0.0,0.334839,0.050021,-0.020125,0.0,0.0,0.450827,0.097492,-0.05749,0.0,0.0,0.536872,0.179323,-0.082788,0.0,0.0,0.606599,0.26673,-0.109512,0.0,0.0,0.446022,0.186288,-0.179232,0.0,0.0,0.554273,0.358033,-0.244975,0.0,0.0,0.615841,0.479327,-0.27469,0.0,0.0,0.659951,0.583187,-0.293666,0.0,0.0,0.378503,0.266293,-0.189434,0.0,0.0,0.476606,0.484792,-0.271434,0.0,0.0,0.532007,0.647921,-0.308827,0.0,0.0,0.565268,0.779124,-0.335209,0.0,0.0,0.308006,0.333521,-0.188528,0.0,0.0,0.360451,0.575975,-0.257986,0.0,0.0,0.397971,0.74308,-0.284567,0.0,0.0,0.423698,0.881383,-0.300861,0.0,0.0,0.242415,0.377919,-0.182535,0.0,0.0,0.258893,0.579177,-0.242197,0.0,0.0,0.263253,0.701802,-0.264677,0.0,0.0,0.269803,0.810362,-0.278013,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,7,583,Right,0.919328,0.202694,0.088737,1e-06,0.0,0.0,0.337303,0.058641,-0.012947,0.0,0.0,0.450502,0.100041,-0.053796,0.0,0.0,0.53231,0.179764,-0.081225,0.0,0.0,0.60554,0.26367,-0.110301,0.0,0.0,0.446292,0.183551,-0.206206,0.0,0.0,0.553111,0.355016,-0.278676,0.0,0.0,0.615403,0.477696,-0.310317,0.0,0.0,0.660432,0.580691,-0.33024,0.0,0.0,0.377663,0.26452,-0.217868,0.0,0.0,0.473577,0.484751,-0.313177,0.0,0.0,0.529736,0.649155,-0.355346,0.0,0.0,0.565235,0.780179,-0.385176,0.0,0.0,0.307524,0.335014,-0.214359,0.0,0.0,0.359388,0.574497,-0.292768,0.0,0.0,0.398399,0.743003,-0.32153,0.0,0.0,0.423709,0.881276,-0.338893,0.0,0.0,0.243003,0.386458,-0.203473,0.0,0.0,0.260891,0.581931,-0.266645,0.0,0.0,0.266389,0.704252,-0.290019,0.0,0.0,0.274492,0.812207,-0.304726,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,8,666,Right,0.922066,0.204392,0.09183,1e-06,0.0,0.0,0.337894,0.061309,-0.01712,0.0,0.0,0.451906,0.100187,-0.06011,0.0,0.0,0.533656,0.177359,-0.089147,0.0,0.0,0.606506,0.262136,-0.119712,0.0,0.0,0.446183,0.185626,-0.208107,0.0,0.0,0.551212,0.358625,-0.27868,0.0,0.0,0.613697,0.479095,-0.309253,0.0,0.0,0.659114,0.580781,-0.329308,0.0,0.0,0.377471,0.270787,-0.218349,0.0,0.0,0.471632,0.487716,-0.314336,0.0,0.0,0.5299,0.650981,-0.359225,0.0,0.0,0.56761,0.78252,-0.391558,0.0,0.0,0.307088,0.343362,-0.213182,0.0,0.0,0.359006,0.581683,-0.290575,0.0,0.0,0.398692,0.74758,-0.319469,0.0,0.0,0.425352,0.88364,-0.337803,0.0,0.0,0.243024,0.394782,-0.201148,0.0,0.0,0.261274,0.586816,-0.264027,0.0,0.0,0.267621,0.70877,-0.287675,0.0,0.0,0.276649,0.816695,-0.30294,0.0,0.0
v6.mp4,7c99d4d53a4894f3458813770693367ec44e61fa708e6d502318c6a45f04ff2d,1920,1080,12.07,178,14.75,9,750,Right,0.919778,0.2056,0.094715,1e-06,0.0,0.0,0.340899,0.062786,-0.016462,0.0,0.0,0.452134,0.101001,-0.061695,0.0,0.0,0.53267,0.178181,-0.092526,0.0,0.0,0.606961,0.264371,-0.12526,0.0,0.0,0.447854,0.189259,-0.218713,0.0,0.0,0.551861,0.358723,-0.292169,0.0,0.0,0.614003,0.480286,-0.322839,0.0,0.0,0.658878,0.582018,-0.342459,0.0,0.0,0.379433,0.275307,-0.229496,0.0,0.0,0.471901,0.49475,-0.328815,0.0,0.0,0.529315,0.656787,-0.373262,0.0,0.0,0.565698,0.78575,-0.405164,0.0,0.0,0.309407,0.346077,-0.224239,0.0,0.0,0.359414,0.582293,-0.30588,0.0,0.0,0.398838,0.74765,-0.336331,0.0,0.0,0.424287,0.883668,-0.355384,0.0,0.0,0.245171,0.396537,-0.211356,0.0,0.0,0.260561,0.584549,-0.276643,0.0,0.0,0.266527,0.70571,-0.30149,0.0,0.0,0.275462,0.812864,-0.317869,0.0,0.0
