video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,0,0,Right,0.841394,0.311458,0.185882,1e-06,0.0,0.0,0.425204,0.177531,-0.051516,0.0,0.0,0.531781,0.238829,-0.103784,0.0,0.0,0.605975,0.322015,-0.141556,0.0,0.0,0.684803,0.381016,-0.181485,0.0,0.0,0.508347,0.326551,-0.20317,0.0,0.0,0.591862,0.481717,-0.284218,0.0,0.0,0.649657,0.592746,-0.329093,0.0,0.0,0.693303,0.696044,-0.360617,0.0,0.0,0.44311,0.380519,-0.207456,0.0,0.0,0.492351,0.544486,-0.305048,0.0,0.0,0.533198,0.686819,-0.361752,0.0,0.0,0.562499,0.817018,-0.404335,0.0,0.0,0.376552,0.41783,-0.204692,0.0,0.0,0.380648,0.585921,-0.292148,0.0,0.0,0.398873,0.734208,-0.341002,0.0,0.0,0.408818,0.85396,-0.373109,0.0,0.0,0.317604,0.445617,-0.199068,0.0,0.0,0.302058,0.605746,-0.271187,0.0,0.0,0.297488,0.712423,-0.309789,0.0,0.0,0.299459,0.811121,-0.338072,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,1,83,Right,0.908736,0.304544,0.192504,1e-06,0.0,0.0,0.433757,0.194153,-0.032063,0.0,0.0,0.530308,0.24684,-0.081854,0.0,0.0,0.599643,0.32189,-0.118884,0.0,0.0,0.678873,0.395903,-0.15908,0.0,0.0,0.51321,0.348597,-0.214048,0.0,0.0,0.599897,0.518603,-0.302513,0.0,0.0,0.652939,0.645642,-0.348556,0.0,0.0,0.688298,0.761043,-0.378758,0.0,0.0,0.44792,0.406707,-0.228947,0.0,0.0,0.509545,0.60829,-0.339269,0.0,0.0,0.55471,0.769365,-0.400549,0.0,0.0,0.584689,0.911468,-0.445282,0.0,0.0,0.378574,0.442506,-0.232882,0.0,0.0,0.399881,0.639317,-0.335205,0.0,0.0,0.431625,0.799776,-0.39303,0.0,0.0,0.451171,0.939235,-0.430624,0.0,0.0,0.312871,0.463987,-0.230083,0.0,0.0,0.298926,0.62272,-0.319083,0.0,0.0,0.295783,0.738202,-0.366517,0.0,0.0,0.301229,0.840942,-0.399852,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,2,166,Right,0.923197,0.298944,0.188889,1e-06,0.0,0.0,0.432485,0.192078,-0.027224,0.0,0.0,0.53164,0.24416,-0.078488,0.0,0.0,0.600147,0.319819,-0.117834,0.0,0.0,0.682282,0.391082,-0.160411,0.0,0.0,0.513644,0.341959,-0.223371,0.0,0.0,0.598782,0.52157,-0.316709,0.0,0.0,0.655993,0.647913,-0.365608,0.0,0.0,0.694818,0.762354,-0.397441,0.0,0.0,0.448622,0.399941,-0.239886,0.0,0.0,0.507045,0.604164,-0.357687,0.0,0.0,0.550739,0.767905,-0.421766,0.0,0.0,0.577903,0.911744,-0.468721,0.0,0.0,0.380302,0.43714,-0.243671,0.0,0.0,0.402743,0.638784,-0.352048,0.0,0.0,0.433033,0.794537,-0.410487,0.0,0.0,0.451124,0.927561,-0.447925,0.0,0.0,0.315683,0.463077,-0.239633,0.0,0.0,0.302056,0.624857,-0.329188,0.0,0.0,0.298414,0.737814,-0.375539,0.0,0.0,0.303703,0.837494,-0.408683,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,3,250,Right,0.922973,0.299793,0.197155,1e-06,0.0,0.0,0.437309,0.202017,-0.024644,0.0,0.0,0.536676,0.251724,-0.079233,0.0,0.0,0.602974,0.326052,-0.120684,0.0,0.0,0.685768,0.397607,-0.165817,0.0,0.0,0.516856,0.344814,-0.245844,0.0,0.0,0.599344,0.517925,-0.345767,0.0,0.0,0.656015,0.642901,-0.398498,0.0,0.0,0.694963,0.755262,-0.432939,0.0,0.0,0.450147,0.403006,-0.262382,0.0,0.0,0.507226,0.602993,-0.388776,0.0,0.0,0.551962,0.767827,-0.457772,0.0,0.0,0.580365,0.914519,-0.509647,0.0,0.0,0.381969,0.440256,-0.263733,0.0,0.0,0.401472,0.639684,-0.379814,0.0,0.0,0.433404,0.795612,-0.443726,0.0,0.0,0.451447,0.929629,-0.485541,0.0,0.0,0.31869,0.469891,-0.255571,0.0,0.0,0.303237,0.628165,-0.3493,0.0,0.0,0.298998,0.741436,-0.399455,0.0,0.0,0.303546,0.841845,-0.436879,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,4,333,Right,0.904501,0.303619,0.204829,1e-06,0.0,0.0,0.441272,0.208725,-0.019891,0.0,0.0,0.536727,0.254763,-0.0753,0.0,0.0,0.600791,0.326281,-0.116389,0.0,0.0,0.684287,0.398898,-0.161044,0.0,0.0,0.520902,0.352648,-0.262206,0.0,0.0,0.599661,0.517663,-0.365576,0.0,0.0,0.655185,0.642396,-0.417944,0.0,0.0,0.692866,0.752522,-0.451856,0.0,0.0,0.452183,0.411087,-0.278837,0.0,0.0,0.508893,0.603281,-0.414626,0.0,0.0,0.553172,0.76672,-0.486093,0.0,0.0,0.583222,0.91471,-0.539033,0.0,0.0,0.383878,0.44852,-0.277825,0.0,0.0,0.40188,0.639549,-0.402354,0.0,0.0,0.433871,0.794866,-0.46866,0.0,0.0,0.452483,0.931389,-0.510818,0.0,0.0,0.321201,0.480256,-0.265378,0.0,0.0,0.305582,0.629755,-0.362914,0.0,0.0,0.300923,0.739678,-0.414451,0.0,0.0,0.305392,0.838512,-0.453053,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,5,416,Right,0.904311,0.304938,0.20368,1e-06,0.0,0.0,0.441436,0.206756,-0.01904,0.0,0.0,0.53674,0.2521,-0.073077,0.0,0.0,0.601283,0.322696,-0.114014,0.0,0.0,0.683992,0.394543,-0.158864,0.0,0.0,0.520931,0.356199,-0.251398,0.0,0.0,0.600808,0.520525,-0.353528,0.0,0.0,0.657144,0.642999,-0.405608,0.0,0.0,0.695107,0.754594,-0.439303,0.0,0.0,0.45437,0.414135,-0.270217,0.0,0.0,0.50809,0.607282,-0.403369,0.0,0.0,0.552454,0.766918,-0.473557,0.0,0.0,0.582217,0.913171,-0.525199,0.0,0.0,0.386104,0.450331,-0.272614,0.0,0.0,0.401085,0.64023,-0.397299,0.0,0.0,0.432539,0.79372,-0.464388,0.0,0.0,0.450989,0.930812,-0.506594,0.0,0.0,0.322888,0.479896,-0.263823,0.0,0.0,0.306037,0.625535,-0.363526,0.0,0.0,0.301182,0.734587,-0.416236,0.0,0.0,0.305931,0.834048,-0.454957,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,6,500,Right,0.92689,0.302472,0.175278,1e-06,0.0,0.0,0.420846,0.177384,-0.042701,0.0,0.0,0.526248,0.236258,-0.087337,0.0,0.0,0.602379,0.316328,-0.121092,0.0,0.0,0.681636,0.387116,-0.156652,0.0,0.0,0.507049,0.332517,-0.175607,0.0,0.0,0.590929,0.504058,-0.255064,0.0,0.0,0.648342,0.618551,-0.302218,0.0,0.0,0.690941,0.728913,-0.335066,0.0,0.0,0.444384,0.391805,-0.185257,0.0,0.0,0.483875,0.60206,-0.279386,0.0,0.0,0.521364,0.761657,-0.335687,0.0,0.0,0.548718,0.903887,-0.377524,0.0,0.0,0.378358,0.428832,-0.189047,0.0,0.0,0.391271,0.628759,-0.277153,0.0,0.0,0.415732,0.783435,-0.325871,0.0,0.0,0.434259,0.918893,-0.357691,0.0,0.0,0.317337,0.449106,-0.190126,0.0,0.0,0.299086,0.616832,-0.267739,0.0,0.0,0.294688,0.729075,-0.307801,0.0,0.0,0.298637,0.832797,-0.335248,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,7,583,Right,0.93664,0.298048,0.1652,1e-06,0.0,0.0,0.41403,0.160914,-0.043751,0.0,0.0,0.523941,0.22774,-0.080464,0.0,0.0,0.603657,0.314766,-0.107032,0.0,0.0,0.679394,0.388734,-0.13373,0.0,0.0,0.504213,0.304426,-0.1525,0.0,0.0,0.590762,0.465194,-0.221881,0.0,0.0,0.644408,0.579181,-0.261337,0.0,0.0,0.68675,0.686949,-0.288815,0.0,0.0,0.442624,0.361196,-0.159628,0.0,0.0,0.494226,0.546729,-0.238441,0.0,0.0,0.533234,0.689678,-0.282872,0.0,0.0,0.563501,0.815164,-0.315985,0.0,0.0,0.375255,0.402351,-0.163717,0.0,0.0,0.389821,0.584743,-0.239266,0.0,0.0,0.411052,0.725809,-0.278911,0.0,0.0,0.428301,0.850979,-0.304231,0.0,0.0,0.310555,0.428609,-0.166917,0.0,0.0,0.295596,0.602315,-0.237595,0.0,0.0,0.289104,0.715179,-0.274288,0.0,0.0,0.289309,0.82258,-0.29827,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,8,666,Right,0.925746,0.298408,0.172381,1e-06,0.0,0.0,0.420673,0.174634,-0.049615,0.0,0.0,0.527167,0.22906,-0.101018,0.0,0.0,0.59896,0.309559,-0.139835,0.0,0.0,0.678249,0.380639,-0.179781,0.0,0.0,0.51103,0.284751,-0.202527,0.0,0.0,0.59463,0.44487,-0.293498,0.0,0.0,0.65062,0.554322,-0.348638,0.0,0.0,0.695728,0.660272,-0.388148,0.0,0.0,0.445787,0.342122,-0.213031,0.0,0.0,0.494466,0.523132,-0.326548,0.0,0.0,0.536806,0.667304,-0.397071,0.0,0.0,0.572905,0.797342,-0.449528,0.0,0.0,0.375255,0.389317,-0.215981,0.0,0.0,0.387644,0.563246,-0.317362,0.0,0.0,0.408212,0.703253,-0.371633,0.0,0.0,0.425745,0.829197,-0.407753,0.0,0.0,0.308243,0.426522,-0.216565,0.0,0.0,0.291292,0.579357,-0.30617,0.0,0.0,0.283053,0.686028,-0.353062,0.0,0.0,0.286268,0.788532,-0.385659,0.0,0.0
v7.mp4,0af255b8ccdee19cd0d5d57bb1a66a20c76cda3b7b202279dc4ef1f5a21baf05,1920,1080,12.04,273,22.667,9,750,Right,0.93839,0.297938,0.176107,1e-06,0.0,0.0,0.422218,0.178926,-0.045753,0.0,0.0,0.525651,0.233195,-0.099096,0.0,0.0,0.596737,0.316504,-0.139391,0.0,0.0,0.676057,0.379191,-0.180674,0.0,0.0,0.511464,0.281537,-0.212425,0.0,0.0,0.592249,0.45083,-0.305652,0.0,0.0,0.648971,0.564939,-0.362498,0.0,0.0,0.695483,0.671032,-0.40257,0.0,0.0,0.446073,0.335834,-0.223396,0.0,0.0,0.494991,0.520376,-0.337932,0.0,0.0,0.538673,0.663578,-0.406632,0.0,0.0,0.575623,0.791005,-0.458238,0.0,0.0,0.375791,0.383849,-0.22529,0.0,0.0,0.387343,0.56187,-0.326558,0.0,0.0,0.409318,0.704969,-0.378736,0.0,0.0,0.427353,0.831762,-0.413973,0.0,0.0,0.30911,0.425598,-0.224124,0.0,0.0,0.294643,0.576492,-0.31148,0.0,0.0,0.286088,0.682444,-0.3553,0.0,0.0,0.288547,0.785166,-0.386205,0.0,0.0
