video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,0,0,Right,0.292441,0.115225,0.410497,0.117023,0.513477,0.175813,0.581361,0.228638,0.646606,0.277123,0.499064,0.244415,0.575982,0.34111,0.630247,0.424964,0.665596,0.511039,0.429065,0.299199,0.501893,0.495546,0.544273,0.648373,0.573989,0.796912,0.357448,0.339577,0.388716,0.533148,0.415596,0.701688,0.435596,0.832384,0.294791,0.364878,0.303768,0.516896,0.316721,0.622859,0.332155,0.714716
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,1,83,Right,0.290104,0.114921,0.425544,0.112947,0.52524,0.152814,0.593008,0.201271,0.66812,0.240458,0.503263,0.218097,0.591948,0.278965,0.647086,0.334084,0.688582,0.395122,0.437305,0.290209,0.499574,0.481272,0.552838,0.635028,0.591029,0.768544,0.368622,0.341688,0.38221,0.556215,0.419391,0.722719,0.442214,0.86058,0.305295,0.384734,0.29071,0.548624,0.285298,0.664091,0.283735,0.76384
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,2,166,Right,0.285763,0.099402,0.420954,0.106742,0.527843,0.133354,0.605268,0.176216,0.690203,0.202816,0.497295,0.228903,0.577256,0.336657,0.636355,0.41409,0.688433,0.487116,0.427382,0.303135,0.487616,0.516805,0.539669,0.681318,0.576856,0.821925,0.358706,0.351578,0.373549,0.575648,0.410577,0.737305,0.434596,0.870988,0.299992,0.391144,0.285763,0.556799,0.281939,0.667404,0.286003,0.766119
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,3,250,Right,0.280199,0.080766,0.409597,0.07778,0.517668,0.114824,0.600124,0.158857,0.681798,0.179754,0.49195,0.226486,0.5767,0.383712,0.63391,0.48521,0.681916,0.578363,0.423831,0.294763,0.489075,0.517663,0.535941,0.687882,0.567782,0.831395,0.354162,0.33988,0.376325,0.569524,0.406683,0.735346,0.426942,0.87727,0.293383,0.360294,0.285979,0.544434,0.284792,0.661848,0.288081,0.768935
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,4,333,Right,0.282166,0.088513,0.404674,0.076333,0.514122,0.117391,0.605808,0.166522,0.688024,0.191536,0.490234,0.229221,0.576991,0.421425,0.631254,0.548002,0.670259,0.66179,0.423022,0.295877,0.491684,0.51694,0.538582,0.687195,0.565733,0.827437,0.353662,0.338119,0.379536,0.568917,0.40617,0.733057,0.425881,0.873817,0.29166,0.356225,0.284429,0.54385,0.281916,0.663323,0.282657,0.772039
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,5,416,Right,0.279574,0.082898,0.40511,0.071555,0.516346,0.115067,0.609763,0.162891,0.693301,0.184421,0.491445,0.22341,0.571889,0.437868,0.623275,0.572304,0.661817,0.688088,0.424394,0.288749,0.49205,0.517789,0.538226,0.693943,0.565297,0.837232,0.355064,0.332426,0.380717,0.565748,0.405775,0.734675,0.426155,0.876866,0.292777,0.351772,0.284749,0.540082,0.283414,0.66105,0.284751,0.772144
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,6,500,Right,0.283428,0.089276,0.409951,0.075469,0.519545,0.115055,0.611296,0.159849,0.695947,0.180963,0.490876,0.220849,0.570195,0.437775,0.621288,0.571751,0.659538,0.687746,0.4211,0.289864,0.489471,0.51958,0.537825,0.69417,0.566745,0.836909,0.35066,0.335975,0.378921,0.567714,0.406192,0.735919,0.427514,0.877427,0.288556,0.35815,0.282135,0.5432,0.282636,0.664634,0.285806,0.777311
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,7,583,Right,0.274988,0.076871,0.399738,0.067775,0.510714,0.114683,0.603076,0.168909,0.686211,0.200189,0.488436,0.219816,0.569304,0.436348,0.620427,0.569431,0.659685,0.683652,0.421268,0.287596,0.490661,0.5221,0.537849,0.696982,0.566806,0.839079,0.352489,0.331656,0.381101,0.569076,0.407128,0.737568,0.427546,0.87821,0.291023,0.351247,0.285562,0.542146,0.284201,0.662449,0.284707,0.772165
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,8,666,Right,0.281243,0.081416,0.410351,0.078083,0.519632,0.128723,0.602267,0.202527,0.673815,0.272154,0.494429,0.224235,0.572332,0.435348,0.622611,0.570123,0.660816,0.683931,0.424235,0.288342,0.49371,0.518177,0.539318,0.695872,0.567657,0.839957,0.35423,0.332475,0.381476,0.56595,0.407854,0.73654,0.42764,0.876624,0.292694,0.354341,0.28683,0.5443,0.285603,0.665425,0.285935,0.774012
v8.mp4,f074e4450aec1c1c5cb93b17c20fc5c9c6a348d10be735644c3bcb76445ea550,1920,1080,12.07,176,14.583,9,750,Right,0.286194,0.093692,0.41612,0.091634,0.521884,0.136016,0.601925,0.203215,0.678754,0.266714,0.49621,0.233898,0.574704,0.441574,0.62591,0.573146,0.664369,0.686111,0.427034,0.294099,0.491122,0.520021,0.537404,0.693878,0.566124,0.837225,0.356605,0.337861,0.378569,0.566385,0.406744,0.736684,0.426708,0.879562,0.292731,0.363458,0.284568,0.547098,0.282554,0.668468,0.285528,0.778256
