video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,0,0,4,0,333,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,1,3,7,250,583,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,2,6,10,500,833,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,3,9,13,750,1083,5,2,0,0,0,0,0,1,0,0,1,0,0,0,1
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,4,12,16,1000,1333,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,5,15,19,1250,1583,5,2,0,0,0,0,0,1,0,0,1,0,0,0,1
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,6,18,22,1500,1833,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,7,21,25,1750,2083,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,8,24,28,2000,2333,5,2,0,0,0,0,0,1,0,0,0,0,1,1,1
video17.mp4,video17.raw_landmarks.fb362e84bdb7502d.csv,fb362e84bdb7502d93b4e73fbe1e250104d5b5ca9473781dec838135e12196f1,9,27,31,2250,2583,5,2,0,0,0,0,0,1,0,0,0,0,1,0,1
