arch,config_id,conv_ch,fc_hid,dropout,lr,batch_size,best_test_acc,final_test_acc,precision_touch,recall_touch,f1_touch,train_time_s,weight_file
CNN1D,1,16,32,0.1,0.001,32,91.8675,91.2651,0.9255,0.8976,0.9113,10.6,CNN1D_cfg01.pth
CNN1D,2,32,32,0.2,0.001,32,91.8675,90.6627,0.9355,0.8735,0.9034,4.3,CNN1D_cfg02.pth
CNN1D,3,32,64,0.2,0.001,16,92.4699,91.5663,0.9423,0.8855,0.913,6.8,CNN1D_cfg03.pth
CNN1D,4,64,64,0.2,0.001,32,92.1687,91.2651,0.9308,0.8916,0.9108,4.8,CNN1D_cfg04.pth
CNN1D,5,64,128,0.3,0.001,32,91.8675,91.5663,0.9423,0.8855,0.913,5.1,CNN1D_cfg05.pth
CNN1D,6,128,64,0.3,0.001,32,91.2651,90.9639,0.9474,0.8675,0.9057,4.3,CNN1D_cfg06.pth
CNN1D,7,32,32,0.2,0.0005,64,91.2651,89.759,0.9459,0.8434,0.8917,4.6,CNN1D_cfg07.pth
CNN1D,8,64,64,0.2,0.0005,64,90.9639,90.6627,0.947,0.8614,0.9022,4.2,CNN1D_cfg08.pth
CNN1D,9,128,128,0.3,0.0005,32,91.5663,90.6627,0.953,0.8554,0.9016,7.5,CNN1D_cfg09.pth
CNN1D,10,128,256,0.4,0.0001,16,89.4578,88.253,0.9568,0.8012,0.8721,11.7,CNN1D_cfg10.pth
