script,arch_name,variant,sequence_len,feature_dim,weights_file,train_samples,test_samples,full_dataset_samples,train_acc_pct,test_acc_pct,full_acc_pct,full_f1_touch,full_precision_pct,full_recall_pct,full_specificity_pct,test_precision_pct,test_recall_pct,test_specificity_pct,test_f1_touch,tn_test,fp_test,fn_test,tp_test,tn_full,fp_full,fn_full,tp_full,fit_status,single_latency_ms,single_p95_ms,throughput_fps,batch_latency_ms,realtime_status
arch_lstm_combined_3d.py,LSTM_Combined_3D,combined_3d,4,24,LSTM_Combined_3D_cfg01.pth,3574,916,13500,89.93,91.27,88.5,0.7242,60.24,90.78,88.05,89.87,93.01,89.52,0.9142,410,48,32,426,9910,1345,207,2038,GOOD FIT (Gap: -1.34%),0.328,0.511,3051.2,2.178,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_combined.py,LSTM_Combined,combined_2d,4,16,LSTM_Combined_cfg01.pth,3574,916,13500,89.59,90.83,89.33,0.7349,62.63,88.91,89.42,90.65,91.05,90.61,0.9085,415,43,41,417,10064,1191,249,1996,GOOD FIT (Gap: -1.24%),0.388,0.884,2579.2,2.237,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_vel_3d.py,LSTM_Vel_3D,vel_3d,4,12,LSTM_Vel_3D_cfg01.pth,3574,916,13500,87.66,90.83,87.39,0.7002,57.91,88.55,87.16,89.29,92.79,88.86,0.9101,407,51,33,425,9810,1445,257,1988,GOOD FIT (Gap: -3.17%),0.339,0.502,2946.3,2.486,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_all_combined.py,LSTM_All_Combined,all_joints_coords_vel,4,36,LSTM_All_Combined_cfg01.pth,3574,916,13500,94.4,90.61,90.59,0.7688,65.0,94.08,89.9,90.61,90.61,90.61,0.9061,415,43,43,415,10118,1137,133,2112,GOOD FIT (Gap: +3.79%),0.33,0.427,3025.8,2.532,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_vel_speed_3d.py,LSTM_Vel_Speed_3D,vel_speed_3d,4,16,LSTM_Vel_Speed_3D_cfg01.pth,3574,916,13500,88.47,90.39,87.22,0.7008,57.39,89.98,86.67,87.6,94.1,86.68,0.9074,397,61,27,431,9755,1500,225,2020,GOOD FIT (Gap: -1.92%),0.304,0.424,3288.8,2.095,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_all_joints_vel.py,LSTM_All_Joints_Vel,all_joints_vel,4,18,LSTM_All_Joints_Vel_cfg01.pth,3574,916,13500,90.82,90.28,89.56,0.7402,63.15,89.4,89.6,90.55,89.96,90.61,0.9025,415,43,46,412,10084,1171,238,2007,GOOD FIT (Gap: +0.54%),0.315,0.443,3173.7,2.526,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_vel_speed.py,LSTM_Vel_Speed,vel_speed_2d,4,12,LSTM_Vel_Speed_cfg01.pth,3574,916,13500,87.66,89.96,87.46,0.7005,58.1,88.2,87.31,88.45,91.92,87.99,0.9015,403,55,37,421,9827,1428,265,1980,GOOD FIT (Gap: -2.30%),0.326,0.493,3072.2,2.479,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_velocities.py,LSTM_Velocities,vel_2d,4,8,LSTM_Velocities_cfg01.pth,3574,916,13500,86.51,88.76,86.56,0.682,56.23,86.64,86.55,88.01,89.74,87.77,0.8886,402,56,47,411,9741,1514,300,1945,GOOD FIT (Gap: -2.24%),0.334,0.734,2992.5,2.023,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_coords.py,LSTM_Coords,coords_2d,5,8,LSTM_Coords_cfg01.pth,3574,916,13500,85.87,87.34,87.95,0.6957,59.96,82.85,88.96,88.51,85.81,88.86,0.8714,407,51,65,393,10013,1242,385,1860,GOOD FIT (Gap: -1.47%),0.313,0.394,3191.7,2.806,⚡ ULTRA REAL-TIME (<1.5 ms)
arch_lstm_coords_3d.py,LSTM_Coords_3D,coords_3d,5,12,LSTM_Coords_3D_cfg01.pth,3574,916,13500,84.83,85.7,88.85,0.7013,63.24,78.71,90.88,89.4,81.0,90.39,0.8499,414,44,87,371,10228,1027,478,1767,GOOD FIT (Gap: -0.86%),0.327,0.444,3058.4,2.883,⚡ ULTRA REAL-TIME (<1.5 ms)
