arch,config_id,hidden_dim,dropout,lr,batch_size,best_test_acc,final_test_acc,precision_touch,recall_touch,f1_touch,train_time_s,weight_file
ResNet1D,1,16,0.1,0.001,32,93.0723,92.1687,0.9321,0.9096,0.9207,13.0,ResNet1D_cfg01.pth
ResNet1D,2,32,0.2,0.001,32,91.5663,90.3614,0.9527,0.8494,0.8981,4.1,ResNet1D_cfg02.pth
ResNet1D,3,32,0.2,0.001,16,91.5663,90.6627,0.9299,0.8795,0.904,9.3,ResNet1D_cfg03.pth
ResNet1D,4,64,0.2,0.001,32,92.4699,90.0602,0.929,0.8675,0.8972,5.5,ResNet1D_cfg04.pth
ResNet1D,5,64,0.3,0.001,32,91.5663,89.759,0.9231,0.8675,0.8944,5.2,ResNet1D_cfg05.pth
ResNet1D,6,64,0.2,0.0005,64,91.2651,88.5542,0.9444,0.8193,0.8774,6.9,ResNet1D_cfg06.pth
ResNet1D,7,128,0.2,0.001,32,92.1687,90.0602,0.9346,0.8614,0.8966,6.9,ResNet1D_cfg07.pth
ResNet1D,8,128,0.3,0.0005,64,91.8675,89.759,0.9125,0.8795,0.8957,2.6,ResNet1D_cfg08.pth
ResNet1D,9,128,0.3,0.0001,32,91.5663,91.2651,0.9419,0.8795,0.9097,10.5,ResNet1D_cfg09.pth
ResNet1D,10,256,0.4,0.0001,16,91.8675,91.8675,0.9484,0.8855,0.9159,15.8,ResNet1D_cfg10.pth
