arch,config_id,hidden,layers,dropout,lr,batch_size,best_test_acc,final_test_acc,optimal_threshold,optimal_test_acc,precision_touch,recall_touch,f1_touch,tn,fp,fn,tp,fit_status,onset_epoch,max_gap_pct,train_time_s,weight_file
LSTM_All_Combined,1,48,2,0.25,0.001,32,94.3396,93.3962,0.5,94.34,0.9379,0.9497,0.9437,298,20,16,302,GOOD FIT (OPTIMAL),7,0.48,6.2,LSTM_All_Combined_cfg01.pth
Attention_All_Combined,1,48,2,0.25,0.001,32,93.239,92.2956,0.52,93.71,0.9104,0.9591,0.9342,288,30,13,305,GOOD FIT (OPTIMAL),6,0.46,10.1,Attention_All_Combined_cfg01.pth
TCN_All_Combined,1,64,2,0.25,0.001,32,93.239,92.2956,0.51,93.71,0.9257,0.9403,0.9329,294,24,19,299,GOOD FIT (OPTIMAL),6,0.35,6.7,TCN_All_Combined_cfg01.pth
BiLSTM_All_Combined,1,48,2,0.28,0.001,32,93.239,92.2956,0.6,93.71,0.9231,0.9434,0.9331,293,25,18,300,GOOD FIT (OPTIMAL),4,1.86,5.7,BiLSTM_All_Combined_cfg01.pth
Attention_Finger_Wrist,1,32,2,0.2,0.001,32,93.0818,92.1384,0.45,93.4,0.9419,0.9182,0.9299,300,18,26,292,GOOD FIT (OPTIMAL),17,-1.08,13.4,Attention_Finger_Wrist_cfg01.pth
LSTM_Finger_Only,1,32,2,0.25,0.001,32,92.7673,91.6667,0.44,92.92,0.9359,0.9182,0.927,298,20,26,292,GOOD FIT (OPTIMAL),16,-0.01,7.2,LSTM_Finger_Only_cfg01.pth
TCN_Finger_Wrist,1,32,2,0.2,0.0015,32,92.6101,90.7233,0.53,92.77,0.9221,0.9308,0.9264,293,25,22,296,GOOD FIT (OPTIMAL),13,0.98,12.8,TCN_Finger_Wrist_cfg01.pth
BiLSTM,1,32,2,0.25,0.0015,32,92.6101,90.2516,0.51,92.77,0.9144,0.9403,0.9271,290,28,19,299,GOOD FIT (OPTIMAL),9,-0.24,8.5,BiLSTM_cfg01.pth
LSTM_All_Joints_Vel,1,32,2,0.3,0.001,32,92.6101,92.2956,0.45,92.77,0.9357,0.9151,0.9253,298,20,27,291,GOOD FIT (OPTIMAL),16,1.36,10.2,LSTM_All_Joints_Vel_cfg01.pth
BiLSTM_Finger_Only,1,32,2,0.25,0.001,32,92.6101,91.0377,0.56,92.77,0.9221,0.9308,0.9264,293,25,22,296,GOOD FIT (OPTIMAL),20,0.89,11.8,BiLSTM_Finger_Only_cfg01.pth
CNN1D_All_Combined,1,32,2,0.28,0.001,32,92.4528,91.8239,0.43,92.61,0.9066,0.9465,0.9262,287,31,17,301,GOOD FIT (OPTIMAL),12,1.42,6.1,CNN1D_All_Combined_cfg01.pth
LSTM_Finger_Wrist,1,32,2,0.25,0.001,32,92.4528,91.195,0.59,92.92,0.9141,0.9371,0.9255,290,28,20,298,GOOD FIT (OPTIMAL),22,1.18,13.1,LSTM_Finger_Wrist_cfg01.pth
BiLSTM_Finger_Wrist,1,32,2,0.25,0.001,32,92.4528,91.8239,0.54,92.61,0.9193,0.9308,0.925,292,26,22,296,GOOD FIT (OPTIMAL),20,0.23,9.3,BiLSTM_Finger_Wrist_cfg01.pth
TCN_Finger_Only,1,32,2,0.2,0.0015,32,92.4528,92.1384,0.43,92.92,0.9066,0.9465,0.9262,287,31,17,301,GOOD FIT (OPTIMAL),17,1.07,15.4,TCN_Finger_Only_cfg01.pth
Attention,1,32,2,0.25,0.001,32,92.2956,90.566,0.58,92.77,0.9164,0.9308,0.9236,291,27,22,296,GOOD FIT (OPTIMAL),12,-1.85,8.1,Attention_cfg01.pth
CNN1D_Finger_Only,1,32,2,0.25,0.0015,32,92.2956,90.7233,0.51,92.45,0.919,0.9277,0.9233,292,26,23,295,GOOD FIT (OPTIMAL),10,0.5,5.6,CNN1D_Finger_Only_cfg01.pth
Attention_Finger_Only,1,32,2,0.2,0.001,32,91.9811,90.566,0.55,92.14,0.9265,0.9119,0.9192,295,23,28,290,GOOD FIT (OPTIMAL),14,-0.19,11.0,Attention_Finger_Only_cfg01.pth
LSTM_Combined,1,32,2,0.25,0.001,32,91.9811,91.6667,0.6,92.45,0.9108,0.9308,0.9207,289,29,22,296,GOOD FIT (OPTIMAL),10,-1.23,7.5,LSTM_Combined_cfg01.pth
CNN1D,1,48,2,0.25,0.001,32,91.9811,91.3522,0.5,91.98,0.9133,0.9277,0.9204,290,28,23,295,GOOD FIT (OPTIMAL),10,-0.27,5.0,CNN1D_cfg01.pth
TCN,1,32,2,0.15,0.0015,32,91.9811,90.566,0.54,92.3,0.9133,0.9277,0.9204,290,28,23,295,GOOD FIT (OPTIMAL),11,-0.3,9.6,TCN_cfg01.pth
LSTM_Tip_Vel_Ratios,1,32,2,0.25,0.001,32,91.8239,89.7799,0.53,92.14,0.9105,0.9277,0.919,289,29,23,295,GOOD FIT (OPTIMAL),16,0.06,7.1,LSTM_Tip_Vel_Ratios_cfg01.pth
CNN1D_Finger_Wrist,1,32,2,0.2,0.0015,32,91.8239,90.8805,0.47,91.98,0.9156,0.9214,0.9185,291,27,25,293,GOOD FIT (OPTIMAL),7,0.7,6.0,CNN1D_Finger_Wrist_cfg01.pth
LSTM_Vel_Speed,1,32,2,0.25,0.0015,32,91.8239,88.8365,0.64,91.98,0.9105,0.9277,0.919,289,29,23,295,GOOD FIT (OPTIMAL),9,1.07,5.4,LSTM_Vel_Speed_cfg01.pth
ResNet1D_Finger_Wrist,1,32,2,0.25,0.0015,32,91.6667,90.0943,0.47,91.82,0.9128,0.9214,0.9171,290,28,25,293,GOOD FIT (OPTIMAL),12,0.71,8.0,ResNet1D_Finger_Wrist_cfg01.pth
BiLSTM_Tip_Vel_Ratios,1,32,2,0.25,0.001,32,91.6667,89.3082,0.57,91.98,0.9102,0.9245,0.9173,289,29,24,294,GOOD FIT (OPTIMAL),15,0.27,8.9,BiLSTM_Tip_Vel_Ratios_cfg01.pth
CNN1D_Tip_Vel_Ratios,1,32,2,0.25,0.0015,32,91.6667,87.5786,0.6,92.14,0.918,0.9151,0.9165,292,26,27,291,GOOD FIT (OPTIMAL),3,2.15,4.7,CNN1D_Tip_Vel_Ratios_cfg01.pth
ResNet1D_All_Combined,1,32,2,0.28,0.001,32,91.6667,91.3522,0.55,92.14,0.9344,0.8962,0.9149,298,20,33,285,GOOD FIT (OPTIMAL),6,2.18,5.7,ResNet1D_All_Combined_cfg01.pth
ResNet1D,1,32,2,0.25,0.001,32,91.5094,91.3522,0.61,91.98,0.9024,0.9308,0.9164,286,32,22,296,GOOD FIT (OPTIMAL),12,0.66,10.8,ResNet1D_cfg01.pth
ResNet1D_Finger_Only,1,32,2,0.25,0.0015,32,91.5094,90.566,0.57,92.3,0.8929,0.9434,0.9174,282,36,18,300,GOOD FIT (OPTIMAL),11,1.81,9.8,ResNet1D_Finger_Only_cfg01.pth
