video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,0,0,4,0,333,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,1,3,7,250,583,5,2,0,0,0,0,0,1,0,0,1,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,2,6,10,500,833,5,2,0,0,0,0,0,1,0,0,1,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,3,9,13,750,1083,5,2,0,0,0,0,0,1,0,0,1,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,4,12,16,1000,1333,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,5,15,19,1250,1583,5,2,0,0,0,0,0,1,0,0,0,0,1,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,6,18,22,1500,1833,5,2,0,0,0,0,0,1,0,0,0,1,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,7,21,25,1750,2083,5,2,0,0,0,0,0,1,0,0,1,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,8,24,28,2000,2333,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,9,27,31,2250,2583,5,2,0,0,0,0,0,1,0,1,0,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,10,30,34,2500,2833,5,2,0,0,0,0,0,1,0,1,0,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,11,33,37,2750,3083,5,2,0,0,0,0,0,1,0,1,0,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,12,36,40,3000,3333,5,2,0,0,0,0,0,1,0,0,0,0,0,1,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,13,39,43,3250,3583,5,2,0,0,0,0,0,0,1,0,0,0,1,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,14,42,46,3500,3833,5,2,0,0,0,0,0,0,0,1,1,1,1,1,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,15,45,49,3750,4083,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,16,48,52,4000,4333,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,17,51,55,4250,4583,5,2,0,0,0,0,0,0,0,0,1,1,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,18,54,58,4500,4833,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,19,57,61,4750,5083,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,20,60,64,5000,5333,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,21,63,67,5250,5583,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,22,66,70,5500,5833,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,23,69,73,5750,6083,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,24,72,76,6000,6333,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,25,75,79,6250,6583,5,2,0,0,0,0,0,0,0,0,0,1,1,1,1
video19.mp4,video19.raw_landmarks.c394e6472a5abf1a.csv,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,26,78,82,6500,6833,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1
