video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,0,0,Right,0.49319,0.07568,0.576017,0.148281,0.63165,0.23821,0.675763,0.328687,0.714577,0.409965,0.57684,0.235182,0.62658,0.427143,0.658649,0.574264,0.679394,0.690801,0.507068,0.23136,0.524113,0.453832,0.529939,0.628309,0.535649,0.764534,0.447736,0.243705,0.437607,0.443288,0.422966,0.599489,0.415722,0.711558,0.401521,0.268776,0.358082,0.417317,0.328275,0.514572,0.307562,0.590825
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,1,83,Right,0.497199,0.079848,0.57992,0.152311,0.6493,0.253821,0.695731,0.352815,0.73359,0.448335,0.575788,0.263194,0.61607,0.446207,0.648414,0.583961,0.673975,0.698689,0.503712,0.259083,0.518708,0.457013,0.530695,0.622659,0.539448,0.751538,0.441363,0.259641,0.433767,0.435607,0.429882,0.589488,0.425928,0.70867,0.394128,0.260923,0.352592,0.399173,0.324351,0.493898,0.301315,0.578237
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,2,166,Right,0.500331,0.072123,0.586013,0.147443,0.655157,0.251683,0.700032,0.354527,0.734727,0.460116,0.581726,0.266351,0.622621,0.45776,0.655529,0.598817,0.680318,0.717888,0.509633,0.26367,0.522237,0.468426,0.534821,0.638156,0.543735,0.775448,0.445458,0.259889,0.436806,0.442427,0.432975,0.593282,0.431232,0.714545,0.395319,0.253954,0.353457,0.399968,0.324414,0.492936,0.303392,0.579142
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,3,250,Right,0.497018,0.070443,0.58495,0.147168,0.656618,0.250519,0.702967,0.354508,0.737598,0.461358,0.583565,0.274138,0.624597,0.461062,0.657047,0.60002,0.679923,0.713452,0.511029,0.272758,0.52272,0.475624,0.533998,0.642819,0.540421,0.773235,0.445636,0.269792,0.435973,0.447676,0.433219,0.59539,0.431845,0.709992,0.393567,0.262547,0.350836,0.404216,0.322851,0.495124,0.303317,0.578251
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,4,333,Right,0.495457,0.071239,0.581821,0.139674,0.652676,0.242874,0.69624,0.347649,0.728437,0.458114,0.578027,0.271817,0.613396,0.458019,0.646102,0.595837,0.670411,0.708052,0.505879,0.270258,0.515433,0.466515,0.529578,0.635236,0.539632,0.769361,0.441218,0.268079,0.429527,0.442331,0.427087,0.597964,0.426782,0.723821,0.389708,0.260975,0.348125,0.404185,0.321055,0.499869,0.30131,0.586824
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,5,416,Right,0.491533,0.079468,0.579666,0.147954,0.64944,0.251547,0.693016,0.353543,0.725267,0.461481,0.571074,0.284222,0.610592,0.467644,0.644273,0.603055,0.669508,0.713604,0.500322,0.2821,0.511044,0.47502,0.526031,0.638086,0.537185,0.768293,0.437539,0.277379,0.425056,0.447028,0.423859,0.595328,0.425235,0.713722,0.387642,0.266667,0.344033,0.405629,0.318513,0.500276,0.301323,0.587212
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,6,500,Right,0.488101,0.076064,0.578556,0.147158,0.648839,0.249486,0.693194,0.35362,0.724915,0.468555,0.567258,0.285881,0.610458,0.470527,0.647667,0.607075,0.674302,0.723211,0.496493,0.289152,0.508509,0.486556,0.525562,0.649422,0.538419,0.782444,0.434505,0.287441,0.42357,0.458187,0.424081,0.604172,0.426034,0.718919,0.385877,0.277391,0.342459,0.415429,0.316582,0.506414,0.299947,0.59128
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,7,583,Right,0.4813,0.070886,0.573398,0.139424,0.64358,0.243337,0.687602,0.351069,0.720948,0.46528,0.563394,0.281949,0.606977,0.468025,0.645123,0.604634,0.673761,0.721832,0.493595,0.286462,0.507057,0.484228,0.52501,0.647733,0.539102,0.783755,0.432243,0.28643,0.422616,0.458831,0.423077,0.605174,0.425061,0.722628,0.383919,0.279084,0.341268,0.419263,0.314572,0.509987,0.296841,0.595739
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,8,666,Right,0.479622,0.034455,0.567089,0.110148,0.640634,0.226427,0.692957,0.335238,0.729568,0.443465,0.564566,0.25355,0.610187,0.455157,0.646777,0.600631,0.673407,0.721932,0.493923,0.252318,0.505866,0.465296,0.519713,0.638214,0.530547,0.777172,0.432295,0.248324,0.423044,0.439795,0.421015,0.596125,0.421483,0.72234,0.384466,0.238891,0.344115,0.393328,0.317539,0.495718,0.297472,0.588043
record11.mp4,473fcd6156128896f252ce92461c8a606bdb62c3eba56bb4b38e6d4da3eab335,1280,720,12.12,100,8.25,9,750,Right,0.483866,0.013891,0.56404,0.055804,0.641842,0.158316,0.693867,0.264524,0.742233,0.378011,0.570325,0.182911,0.605601,0.366616,0.63382,0.495952,0.655221,0.614538,0.500841,0.181865,0.498294,0.373124,0.500823,0.535581,0.500719,0.675456,0.439526,0.178833,0.418148,0.346719,0.406966,0.497215,0.398588,0.627564,0.387776,0.174995,0.345304,0.320418,0.314275,0.4256,0.2927,0.526309
