video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,0,0,Right,0.378655,0.064918,0.452925,0.133076,0.499264,0.237255,0.523071,0.344907,0.547016,0.432092,0.482427,0.224609,0.533937,0.360793,0.560449,0.449562,0.579925,0.54226,0.432664,0.238034,0.471331,0.431899,0.489894,0.577667,0.500522,0.696206,0.380031,0.25783,0.392174,0.458451,0.397814,0.61381,0.398944,0.731529,0.330106,0.283765,0.320593,0.447964,0.315329,0.558973,0.307984,0.654674
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,1,83,Right,0.375563,0.087516,0.443671,0.150009,0.483298,0.260595,0.491118,0.371376,0.496041,0.43923,0.49069,0.249207,0.55738,0.370936,0.593922,0.467516,0.622579,0.54474,0.435087,0.26096,0.476522,0.438174,0.501601,0.567707,0.522655,0.67234,0.375226,0.262801,0.382695,0.439147,0.392472,0.56469,0.401241,0.662849,0.320289,0.259096,0.285154,0.394662,0.262191,0.474844,0.241382,0.539493
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,2,166,Right,0.38183,0.067988,0.458032,0.135442,0.503372,0.260021,0.515606,0.387102,0.522542,0.45914,0.496982,0.24314,0.554938,0.400216,0.58816,0.508531,0.614265,0.601055,0.435547,0.244429,0.467226,0.398025,0.490786,0.523202,0.50666,0.626459,0.372581,0.241701,0.382688,0.389039,0.395765,0.505171,0.407247,0.597895,0.316356,0.244326,0.280654,0.379044,0.253668,0.459649,0.232465,0.522655
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,3,250,Right,0.381672,0.059443,0.452693,0.142495,0.49323,0.284316,0.498428,0.42503,0.496787,0.51254,0.498934,0.253179,0.548798,0.405752,0.577916,0.51245,0.599248,0.605353,0.440974,0.244152,0.46826,0.399107,0.486584,0.529155,0.497448,0.639638,0.376388,0.239662,0.380427,0.386512,0.386364,0.513962,0.391466,0.617894,0.317585,0.24487,0.280557,0.384999,0.25274,0.469177,0.228524,0.538372
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,4,333,Right,0.378604,0.063433,0.455809,0.144012,0.500873,0.263396,0.51349,0.383622,0.517639,0.463351,0.499912,0.247125,0.553736,0.393492,0.585682,0.513213,0.608369,0.61212,0.439184,0.247663,0.47555,0.437091,0.499029,0.594429,0.512528,0.71857,0.374056,0.250025,0.384845,0.427882,0.394747,0.570879,0.397751,0.675617,0.314978,0.256683,0.282746,0.404442,0.259067,0.488656,0.236116,0.552053
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,5,416,Right,0.377371,0.071863,0.456732,0.143424,0.500145,0.258329,0.507648,0.378203,0.508753,0.459964,0.501143,0.252968,0.554322,0.409548,0.582915,0.53239,0.603533,0.632882,0.439773,0.252589,0.475617,0.448118,0.498953,0.60626,0.513611,0.728996,0.375143,0.249285,0.384742,0.430434,0.395606,0.572728,0.401185,0.676669,0.316287,0.250422,0.286621,0.405277,0.261375,0.49093,0.239423,0.551076
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,6,500,Right,0.381042,0.061954,0.462254,0.131858,0.510296,0.243307,0.523548,0.36433,0.53037,0.443738,0.502893,0.251343,0.556623,0.418377,0.588127,0.542163,0.611215,0.642701,0.440444,0.253034,0.477431,0.447313,0.503472,0.604271,0.518546,0.726812,0.375683,0.250932,0.388934,0.4313,0.40092,0.574708,0.40587,0.678935,0.318306,0.251521,0.287725,0.404462,0.261923,0.490932,0.238592,0.552133
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,7,583,Right,0.387535,0.054035,0.467762,0.121642,0.534311,0.209999,0.5852,0.295057,0.637348,0.343553,0.504354,0.262619,0.55666,0.420332,0.587224,0.536415,0.61057,0.633785,0.443035,0.271315,0.474961,0.445908,0.497721,0.588938,0.510713,0.702743,0.380436,0.26589,0.388577,0.425971,0.398753,0.564462,0.401676,0.668554,0.32405,0.257052,0.289606,0.39667,0.261533,0.479627,0.235659,0.539354
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,8,666,Right,0.37988,0.046955,0.466065,0.08533,0.553153,0.155333,0.616055,0.233954,0.663497,0.322444,0.493276,0.237739,0.550697,0.375855,0.587327,0.489014,0.614038,0.586703,0.432965,0.270169,0.469299,0.446648,0.498837,0.594066,0.518439,0.713658,0.372922,0.279388,0.384539,0.440026,0.395313,0.581974,0.401247,0.696372,0.316639,0.271562,0.283395,0.409169,0.255231,0.498044,0.229946,0.570514
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,9,750,Right,0.389228,0.03184,0.475581,0.075403,0.560855,0.148318,0.622404,0.226729,0.668232,0.318798,0.498081,0.229396,0.552912,0.400275,0.587214,0.525204,0.611639,0.635334,0.437247,0.253981,0.474825,0.441253,0.501434,0.59738,0.518829,0.726656,0.377381,0.262693,0.38653,0.435826,0.394426,0.589061,0.398211,0.713892,0.321783,0.256646,0.285772,0.395144,0.257409,0.486037,0.232917,0.565354
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,10,833,Right,0.392113,0.036212,0.480054,0.071385,0.563099,0.14082,0.622725,0.218171,0.668551,0.313344,0.498347,0.22844,0.553808,0.412884,0.588827,0.543299,0.613674,0.656679,0.435532,0.252814,0.473121,0.44264,0.499959,0.602101,0.51881,0.735381,0.374892,0.260056,0.383141,0.436369,0.390635,0.593794,0.395962,0.720291,0.320441,0.250912,0.283286,0.39605,0.25466,0.492544,0.231166,0.574719
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,11,916,Right,0.387549,0.036463,0.478228,0.073847,0.562958,0.144526,0.620734,0.220758,0.667219,0.316588,0.501459,0.2379,0.556274,0.422754,0.590137,0.550369,0.614623,0.659275,0.438982,0.258635,0.475026,0.449465,0.501171,0.605463,0.520268,0.733896,0.378096,0.263155,0.386455,0.436034,0.392742,0.589729,0.397177,0.711962,0.322668,0.252063,0.286936,0.399085,0.255762,0.495009,0.23053,0.575601
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,12,1000,Right,0.383223,0.040152,0.471107,0.077608,0.557838,0.150211,0.620275,0.226542,0.669634,0.314874,0.502238,0.237573,0.556701,0.415175,0.589173,0.541815,0.611126,0.650975,0.441778,0.262279,0.47862,0.449316,0.504119,0.604964,0.519897,0.731833,0.381669,0.266707,0.390135,0.440844,0.397522,0.594439,0.401933,0.719123,0.325802,0.254628,0.290627,0.401957,0.259868,0.498083,0.234283,0.579649
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,13,1083,Right,0.383827,0.026944,0.472606,0.073249,0.560085,0.150099,0.621583,0.227507,0.664938,0.315586,0.504491,0.230947,0.56164,0.418859,0.594526,0.546156,0.618247,0.653238,0.443252,0.257578,0.480437,0.44847,0.505441,0.6041,0.520412,0.730115,0.38176,0.263912,0.391732,0.434196,0.399077,0.585395,0.402462,0.70812,0.32509,0.255208,0.290298,0.400984,0.259561,0.494397,0.232479,0.572923
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,14,1166,Right,0.388602,0.006909,0.478798,0.063145,0.564912,0.146366,0.626326,0.226676,0.66757,0.31825,0.512702,0.235155,0.567631,0.424682,0.598667,0.552443,0.619678,0.657574,0.452274,0.259846,0.487962,0.45527,0.512331,0.61057,0.526987,0.733143,0.390653,0.262542,0.399137,0.441973,0.404725,0.59311,0.40723,0.714135,0.332633,0.248673,0.295816,0.396936,0.264393,0.487937,0.238006,0.563945
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,15,1250,Right,0.39105,-0.012905,0.481595,0.050598,0.569059,0.139609,0.628883,0.225239,0.668869,0.317349,0.519172,0.241372,0.579996,0.420938,0.612517,0.543172,0.6358,0.645507,0.460683,0.260613,0.497734,0.45554,0.524129,0.607823,0.540014,0.727597,0.398346,0.254332,0.405449,0.436273,0.408808,0.587054,0.40853,0.708558,0.336813,0.229205,0.300041,0.377582,0.266393,0.465223,0.238224,0.538196
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,16,1333,Left,0.461235,-0.130738,0.427037,0.003823,0.410322,0.196215,0.407472,0.362153,0.397937,0.486271,0.450421,0.167118,0.44802,0.342875,0.452909,0.449953,0.456815,0.549774,0.499264,0.122133,0.527249,0.31868,0.545954,0.446148,0.559345,0.54549,0.540368,0.075121,0.573951,0.239454,0.596312,0.368239,0.610991,0.472882,0.574019,0.021434,0.60567,0.130773,0.620594,0.210699,0.627981,0.279371
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,17,1416,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,18,1500,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,19,1583,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,20,1666,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,21,1750,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,22,1833,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
record17_1.mp4,8356acdd5f9ee726ecee6ae3336e598bbb7ef96d1afdd957924d67db29c1acf3,1280,720,12.12,99,8.167,23,1916,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
