video_file,raw_landmarks_csv,video_hash,window_idx,start_frame,end_frame,start_ms,end_ms,window_size,window_overlap,right_hand,hand_move,hand_closer,hovering,daylight,hand_visible,out_of_sync,thumb_touch,index_touch,middle_touch,ring_touch,pinky_touch,any_touch
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,0,0,4,0,333,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,1,3,7,250,583,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,2,6,10,500,833,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,3,9,13,750,1083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,4,12,16,1000,1333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,5,15,19,1250,1583,5,2,1,0,0,0,1,1,0,1,1,1,1,0,1
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,6,18,22,1500,1833,5,2,1,0,0,0,1,1,0,1,1,1,1,1,1
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,7,21,25,1750,2083,5,2,1,0,0,0,1,1,0,0,1,1,0,0,1
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,8,24,28,2000,2333,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,9,27,31,2250,2583,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,10,30,34,2500,2833,5,2,1,0,0,0,1,1,1,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,11,33,37,2750,3083,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,12,36,40,3000,3333,5,2,1,0,0,0,1,1,0,0,1,1,1,1,1
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,13,39,43,3250,3583,5,2,1,0,0,0,1,1,0,0,1,1,0,0,1
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,14,42,46,3500,3833,5,2,1,0,0,0,1,1,0,0,1,1,0,0,1
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,15,45,49,3750,4083,5,2,1,0,0,0,1,1,1,0,0,0,0,0,0
record20_1.mp4,record20_1.raw_landmarks.85626416a14bea7d.csv,85626416a14bea7da5461882e5e36086712cd4e718a63e13742aed13380bd6b0,16,48,52,4000,4333,5,2,1,0,0,0,1,1,0,0,1,1,1,0,1
