video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,hand_score,wrist_x,wrist_y,wrist_z,wrist_visibility,wrist_presence,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_cmc_visibility,thumb_cmc_presence,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_mcp_visibility,thumb_mcp_presence,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_ip_visibility,thumb_ip_presence,thumb_tip_x,thumb_tip_y,thumb_tip_z,thumb_tip_visibility,thumb_tip_presence,index_mcp_x,index_mcp_y,index_mcp_z,index_mcp_visibility,index_mcp_presence,index_pip_x,index_pip_y,index_pip_z,index_pip_visibility,index_pip_presence,index_dip_x,index_dip_y,index_dip_z,index_dip_visibility,index_dip_presence,index_tip_x,index_tip_y,index_tip_z,index_tip_visibility,index_tip_presence,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_mcp_visibility,middle_mcp_presence,middle_pip_x,middle_pip_y,middle_pip_z,middle_pip_visibility,middle_pip_presence,middle_dip_x,middle_dip_y,middle_dip_z,middle_dip_visibility,middle_dip_presence,middle_tip_x,middle_tip_y,middle_tip_z,middle_tip_visibility,middle_tip_presence,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_mcp_visibility,ring_mcp_presence,ring_pip_x,ring_pip_y,ring_pip_z,ring_pip_visibility,ring_pip_presence,ring_dip_x,ring_dip_y,ring_dip_z,ring_dip_visibility,ring_dip_presence,ring_tip_x,ring_tip_y,ring_tip_z,ring_tip_visibility,ring_tip_presence,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_mcp_visibility,pinky_mcp_presence,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_pip_visibility,pinky_pip_presence,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_dip_visibility,pinky_dip_presence,pinky_tip_x,pinky_tip_y,pinky_tip_z,pinky_tip_visibility,pinky_tip_presence
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,0,0,Left,0.985068,0.601945,0.087653,0.0,0.0,0.0,0.517491,0.140974,-0.02726,0.0,0.0,0.446317,0.241209,-0.050139,0.0,0.0,0.396891,0.349461,-0.065929,0.0,0.0,0.362149,0.416466,-0.086123,0.0,0.0,0.472745,0.238207,-0.098801,0.0,0.0,0.426398,0.414702,-0.137974,0.0,0.0,0.401659,0.545782,-0.160887,0.0,0.0,0.382575,0.649269,-0.176565,0.0,0.0,0.533981,0.234458,-0.101986,0.0,0.0,0.525288,0.444439,-0.145647,0.0,0.0,0.518833,0.585704,-0.173339,0.0,0.0,0.511818,0.688753,-0.19462,0.0,0.0,0.591946,0.236062,-0.100534,0.0,0.0,0.606189,0.423968,-0.139972,0.0,0.0,0.611883,0.555574,-0.158503,0.0,0.0,0.612864,0.655099,-0.170382,0.0,0.0,0.644686,0.250012,-0.098194,0.0,0.0,0.668014,0.378823,-0.130245,0.0,0.0,0.68287,0.461204,-0.138923,0.0,0.0,0.689184,0.532466,-0.142703,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,1,83,Left,0.978541,0.601143,0.106224,1e-06,0.0,0.0,0.512141,0.148911,-0.033786,0.0,0.0,0.438577,0.226119,-0.064209,0.0,0.0,0.395595,0.328871,-0.085635,0.0,0.0,0.368548,0.425173,-0.109374,0.0,0.0,0.487493,0.269113,-0.133623,0.0,0.0,0.437868,0.446359,-0.180946,0.0,0.0,0.412423,0.576335,-0.203106,0.0,0.0,0.391108,0.6777,-0.217475,0.0,0.0,0.555339,0.283943,-0.135091,0.0,0.0,0.539463,0.453588,-0.191748,0.0,0.0,0.524036,0.594018,-0.219748,0.0,0.0,0.509811,0.698826,-0.240848,0.0,0.0,0.611754,0.287266,-0.131393,0.0,0.0,0.620753,0.435909,-0.178559,0.0,0.0,0.612417,0.558404,-0.200571,0.0,0.0,0.603418,0.654179,-0.215604,0.0,0.0,0.658156,0.288084,-0.127128,0.0,0.0,0.687873,0.420664,-0.169795,0.0,0.0,0.705946,0.514075,-0.190127,0.0,0.0,0.718387,0.598637,-0.202418,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,2,166,Left,0.958466,0.599676,0.08907,1e-06,0.0,0.0,0.513672,0.148176,-0.035042,0.0,0.0,0.440593,0.22701,-0.067356,0.0,0.0,0.402155,0.328219,-0.090883,0.0,0.0,0.376216,0.425848,-0.116613,0.0,0.0,0.496199,0.272123,-0.132729,0.0,0.0,0.445722,0.419617,-0.186591,0.0,0.0,0.415818,0.529442,-0.216286,0.0,0.0,0.388394,0.625515,-0.235524,0.0,0.0,0.564254,0.282754,-0.132746,0.0,0.0,0.551319,0.438066,-0.189405,0.0,0.0,0.538784,0.57349,-0.219249,0.0,0.0,0.528187,0.689008,-0.243089,0.0,0.0,0.619619,0.289747,-0.128811,0.0,0.0,0.630138,0.440552,-0.175094,0.0,0.0,0.627933,0.568359,-0.197742,0.0,0.0,0.625326,0.675013,-0.214255,0.0,0.0,0.664233,0.293554,-0.125011,0.0,0.0,0.698788,0.431305,-0.166784,0.0,0.0,0.72085,0.527701,-0.188968,0.0,0.0,0.737152,0.617333,-0.203543,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,3,250,Left,0.974376,0.602102,0.085638,1e-06,0.0,0.0,0.515827,0.148699,-0.032585,0.0,0.0,0.442131,0.228815,-0.065392,0.0,0.0,0.400704,0.327377,-0.088864,0.0,0.0,0.375457,0.425466,-0.114125,0.0,0.0,0.495004,0.279897,-0.132545,0.0,0.0,0.443458,0.408261,-0.18913,0.0,0.0,0.41204,0.512849,-0.220674,0.0,0.0,0.383649,0.603414,-0.23973,0.0,0.0,0.563642,0.286839,-0.1335,0.0,0.0,0.547242,0.470897,-0.191779,0.0,0.0,0.534248,0.62535,-0.223046,0.0,0.0,0.52174,0.754515,-0.247171,0.0,0.0,0.621729,0.294889,-0.130459,0.0,0.0,0.629121,0.469857,-0.180492,0.0,0.0,0.625643,0.617288,-0.207748,0.0,0.0,0.61668,0.735855,-0.225745,0.0,0.0,0.66712,0.299883,-0.126387,0.0,0.0,0.70294,0.44988,-0.171478,0.0,0.0,0.722898,0.555458,-0.196545,0.0,0.0,0.733063,0.653518,-0.212408,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,4,333,Left,0.969571,0.602571,0.081148,1e-06,0.0,0.0,0.516144,0.141966,-0.032328,0.0,0.0,0.442919,0.226443,-0.062691,0.0,0.0,0.405911,0.329018,-0.085251,0.0,0.0,0.38219,0.432774,-0.109032,0.0,0.0,0.499641,0.295023,-0.120993,0.0,0.0,0.452413,0.472902,-0.171317,0.0,0.0,0.423351,0.58838,-0.197535,0.0,0.0,0.396405,0.687763,-0.213776,0.0,0.0,0.567142,0.307508,-0.12143,0.0,0.0,0.544195,0.470998,-0.177681,0.0,0.0,0.529749,0.606304,-0.207018,0.0,0.0,0.516556,0.719157,-0.22899,0.0,0.0,0.62366,0.309531,-0.118403,0.0,0.0,0.62865,0.452098,-0.16592,0.0,0.0,0.624743,0.575469,-0.189546,0.0,0.0,0.618578,0.677926,-0.205097,0.0,0.0,0.668168,0.308269,-0.115112,0.0,0.0,0.702565,0.444037,-0.160129,0.0,0.0,0.727045,0.533888,-0.184159,0.0,0.0,0.747138,0.620857,-0.198578,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,5,416,Left,0.931952,0.597423,0.08208,1e-06,0.0,0.0,0.514337,0.146521,-0.030537,0.0,0.0,0.44314,0.23146,-0.062158,0.0,0.0,0.402816,0.328016,-0.086029,0.0,0.0,0.373655,0.419158,-0.110853,0.0,0.0,0.496762,0.29575,-0.124996,0.0,0.0,0.444542,0.459552,-0.178575,0.0,0.0,0.412958,0.564265,-0.205208,0.0,0.0,0.382519,0.656865,-0.221997,0.0,0.0,0.562761,0.304361,-0.126653,0.0,0.0,0.537319,0.450156,-0.190777,0.0,0.0,0.517289,0.567619,-0.223079,0.0,0.0,0.499161,0.667251,-0.246613,0.0,0.0,0.619098,0.303539,-0.124334,0.0,0.0,0.631228,0.436461,-0.18045,0.0,0.0,0.63098,0.559647,-0.2066,0.0,0.0,0.627307,0.664049,-0.22293,0.0,0.0,0.666005,0.303431,-0.120858,0.0,0.0,0.698129,0.435968,-0.171242,0.0,0.0,0.720001,0.525176,-0.197913,0.0,0.0,0.736943,0.616505,-0.214577,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,6,500,Left,0.970758,0.599586,0.085179,1e-06,0.0,0.0,0.512959,0.145852,-0.033953,0.0,0.0,0.438017,0.234018,-0.063636,0.0,0.0,0.39367,0.335355,-0.083914,0.0,0.0,0.364758,0.429304,-0.105444,0.0,0.0,0.499265,0.272122,-0.124136,0.0,0.0,0.443566,0.393593,-0.179624,0.0,0.0,0.409278,0.495808,-0.210297,0.0,0.0,0.378092,0.583304,-0.228223,0.0,0.0,0.564343,0.28259,-0.123429,0.0,0.0,0.54192,0.47448,-0.182216,0.0,0.0,0.525582,0.630291,-0.214341,0.0,0.0,0.509937,0.760653,-0.238445,0.0,0.0,0.620741,0.294032,-0.119402,0.0,0.0,0.626004,0.468545,-0.172217,0.0,0.0,0.62433,0.616136,-0.20189,0.0,0.0,0.617163,0.736398,-0.22009,0.0,0.0,0.666796,0.304912,-0.114259,0.0,0.0,0.695592,0.456519,-0.161606,0.0,0.0,0.714098,0.559383,-0.188116,0.0,0.0,0.726049,0.657209,-0.204657,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,7,583,Left,0.964852,0.600092,0.093762,1e-06,0.0,0.0,0.511654,0.155331,-0.036649,0.0,0.0,0.439852,0.23349,-0.070849,0.0,0.0,0.400821,0.333403,-0.09538,0.0,0.0,0.3784,0.439224,-0.121166,0.0,0.0,0.494587,0.294354,-0.13451,0.0,0.0,0.443554,0.453628,-0.192393,0.0,0.0,0.412436,0.57435,-0.224252,0.0,0.0,0.383494,0.679836,-0.243601,0.0,0.0,0.56416,0.30237,-0.13343,0.0,0.0,0.540714,0.483168,-0.198524,0.0,0.0,0.523654,0.63669,-0.233884,0.0,0.0,0.506714,0.767874,-0.259705,0.0,0.0,0.621286,0.309704,-0.128163,0.0,0.0,0.625302,0.474964,-0.182027,0.0,0.0,0.622547,0.622707,-0.209327,0.0,0.0,0.615418,0.744941,-0.226647,0.0,0.0,0.667396,0.315136,-0.122487,0.0,0.0,0.696095,0.45962,-0.170323,0.0,0.0,0.713998,0.559715,-0.195617,0.0,0.0,0.726689,0.655591,-0.211034,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,8,666,Left,0.952305,0.59613,0.084666,1e-06,0.0,0.0,0.510244,0.148033,-0.036106,0.0,0.0,0.438307,0.230785,-0.071429,0.0,0.0,0.401752,0.334405,-0.096999,0.0,0.0,0.375577,0.436498,-0.123656,0.0,0.0,0.492543,0.293483,-0.141573,0.0,0.0,0.444509,0.468028,-0.200113,0.0,0.0,0.416877,0.584651,-0.229935,0.0,0.0,0.390828,0.681311,-0.247897,0.0,0.0,0.562357,0.302238,-0.140983,0.0,0.0,0.540353,0.460751,-0.209048,0.0,0.0,0.523013,0.59663,-0.243785,0.0,0.0,0.50667,0.705404,-0.269101,0.0,0.0,0.619307,0.30488,-0.135958,0.0,0.0,0.628661,0.442138,-0.192505,0.0,0.0,0.624906,0.575111,-0.220661,0.0,0.0,0.618417,0.681859,-0.238787,0.0,0.0,0.666456,0.307693,-0.13019,0.0,0.0,0.6996,0.448839,-0.182008,0.0,0.0,0.720509,0.547817,-0.211215,0.0,0.0,0.735108,0.643745,-0.229375,0.0,0.0
record8.mp4,72d4a39982229a79a4163819c6bc1b37f3cb6242f7371c9023a53c665ca6cec4,1280,720,12.08,156,12.917,9,750,Left,0.973089,0.59971,0.088591,1e-06,0.0,0.0,0.515464,0.14603,-0.034227,0.0,0.0,0.443374,0.230024,-0.066006,0.0,0.0,0.403433,0.330919,-0.088711,0.0,0.0,0.378213,0.43014,-0.11318,0.0,0.0,0.498939,0.288306,-0.129172,0.0,0.0,0.442465,0.430472,-0.184243,0.0,0.0,0.408716,0.535686,-0.213968,0.0,0.0,0.376472,0.631723,-0.232537,0.0,0.0,0.565577,0.299699,-0.128656,0.0,0.0,0.542844,0.462523,-0.191413,0.0,0.0,0.526023,0.603606,-0.225855,0.0,0.0,0.510481,0.725605,-0.251521,0.0,0.0,0.62241,0.307658,-0.123977,0.0,0.0,0.63002,0.468769,-0.17822,0.0,0.0,0.630318,0.612466,-0.207074,0.0,0.0,0.626403,0.735105,-0.225816,0.0,0.0,0.669008,0.314865,-0.118269,0.0,0.0,0.701283,0.456896,-0.168514,0.0,0.0,0.721412,0.552006,-0.196232,0.0,0.0,0.736626,0.646699,-0.213467,0.0,0.0
