video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,0,0,Right,0.444301,0.454559,0.511489,0.489438,0.55601,0.533879,0.594522,0.573954,0.625864,0.599497,0.489316,0.538271,0.50041,0.664669,0.511396,0.755807,0.520536,0.815932,0.43428,0.555593,0.436173,0.69635,0.438241,0.798332,0.445579,0.870703,0.38699,0.571613,0.365087,0.689858,0.354388,0.777685,0.356327,0.840499,0.351101,0.588266,0.309282,0.667042,0.286373,0.732284,0.275732,0.784115
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,1,83,Left,0.448617,0.43938,0.512487,0.461028,0.556367,0.519724,0.59122,0.571845,0.630017,0.617611,0.50284,0.551496,0.515153,0.652818,0.528721,0.730934,0.541518,0.806434,0.448383,0.563415,0.442942,0.685712,0.443464,0.778662,0.443989,0.859436,0.399964,0.573136,0.3741,0.687503,0.360002,0.770393,0.352014,0.83862,0.361388,0.572921,0.320078,0.66481,0.290995,0.724084,0.266132,0.773514
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,2,166,Left,0.454029,0.445016,0.399577,0.517522,0.359294,0.630739,0.32365,0.718921,0.29029,0.786162,0.397845,0.568281,0.380431,0.674624,0.371598,0.748276,0.365661,0.824705,0.449074,0.55402,0.443847,0.645764,0.445024,0.724497,0.447472,0.792448,0.499647,0.537907,0.510182,0.607054,0.512477,0.682268,0.51341,0.749189,0.549588,0.519502,0.583976,0.596379,0.60639,0.656657,0.622383,0.710006
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,3,250,Left,0.450748,0.449235,0.395263,0.524772,0.355259,0.627295,0.312413,0.709792,0.265162,0.7671,0.392791,0.557023,0.376638,0.637725,0.365495,0.698759,0.352991,0.763582,0.448292,0.548434,0.442968,0.624621,0.44149,0.689536,0.439783,0.739333,0.501849,0.544803,0.528828,0.618244,0.551138,0.699508,0.568366,0.763615,0.550814,0.536246,0.590061,0.604633,0.614228,0.658216,0.633159,0.708087
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,4,333,Right,0.44578,0.443701,0.42277,0.56842,0.407224,0.706714,0.387452,0.810699,0.360984,0.885753,0.405769,0.590823,0.384004,0.667245,0.372072,0.715178,0.360707,0.785903,0.436321,0.562174,0.42692,0.639554,0.419655,0.709172,0.414617,0.780211,0.471108,0.549761,0.504144,0.647182,0.529449,0.748558,0.551492,0.84509,0.506723,0.537989,0.541419,0.610199,0.561237,0.662436,0.578896,0.715611
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,5,416,Right,0.446363,0.455798,0.50832,0.540614,0.546447,0.655301,0.56602,0.748478,0.573346,0.801201,0.5038,0.556836,0.518979,0.633938,0.534271,0.686372,0.542353,0.752782,0.44976,0.535237,0.451314,0.613512,0.451603,0.690073,0.449753,0.752494,0.400728,0.536012,0.391157,0.620719,0.38548,0.702879,0.382264,0.77678,0.360733,0.551154,0.331039,0.634247,0.309594,0.700941,0.289891,0.76586
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,6,500,Left,0.444612,0.441061,0.402632,0.516152,0.372037,0.613408,0.344514,0.689726,0.317612,0.742766,0.393365,0.553262,0.372424,0.598606,0.36127,0.652233,0.349865,0.697432,0.44321,0.532072,0.447247,0.61478,0.441187,0.705427,0.429772,0.762592,0.493698,0.52689,0.525719,0.621481,0.541001,0.739266,0.547301,0.823183,0.535903,0.526594,0.586108,0.614114,0.616663,0.677867,0.639997,0.727891
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,7,583,Right,0.452888,0.454405,0.469988,0.551304,0.48447,0.673505,0.495164,0.76902,0.504332,0.850762,0.502347,0.55376,0.511694,0.638848,0.522817,0.692932,0.523917,0.757611,0.48484,0.523998,0.520339,0.634296,0.534566,0.736404,0.53922,0.826489,0.45638,0.519398,0.47996,0.62153,0.48805,0.734327,0.491489,0.82628,0.424067,0.524654,0.432775,0.607284,0.443885,0.676233,0.458143,0.745768
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,8,666,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,9,750,Right,0.44658,0.552714,0.497495,0.640798,0.52464,0.737296,0.541438,0.801287,0.541315,0.829275,0.504557,0.586472,0.541569,0.660806,0.555681,0.747604,0.561756,0.811853,0.453097,0.565346,0.446029,0.671983,0.438745,0.761032,0.437001,0.821247,0.402585,0.56027,0.378659,0.639058,0.365196,0.719902,0.365913,0.780076,0.361472,0.555324,0.306408,0.557416,0.268844,0.570862,0.249242,0.58492
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,10,833,Right,0.433183,0.434934,0.49999,0.48786,0.551657,0.563383,0.584007,0.632419,0.613277,0.693203,0.518804,0.570803,0.52927,0.666417,0.537185,0.725521,0.542807,0.777175,0.46736,0.55561,0.457768,0.657236,0.45494,0.737817,0.445245,0.792608,0.418582,0.535187,0.395419,0.631873,0.381491,0.729953,0.367621,0.807034,0.370099,0.51063,0.317512,0.566422,0.277761,0.604236,0.241397,0.627477
video10.mp4,d64c45e86c874625e9b2541d205935b77c75050c62fd259088c62df9255e88cc,1280,720,12.06,207,17.167,11,916,Right,0.451601,0.45887,0.507714,0.51774,0.552866,0.606851,0.58081,0.68648,0.6021,0.749235,0.522092,0.568549,0.524962,0.649302,0.526572,0.713606,0.524195,0.774425,0.476571,0.548932,0.47414,0.651593,0.469077,0.746752,0.454848,0.809708,0.430682,0.533716,0.410679,0.62325,0.405952,0.722633,0.398065,0.802357,0.383545,0.517878,0.318482,0.565108,0.280767,0.589837,0.24811,0.606619
