video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,0,0,Left,0.480333,0.435934,0.416123,0.525931,0.367576,0.634226,0.319538,0.713657,0.270504,0.765245,0.417902,0.597324,0.405273,0.691678,0.40121,0.760547,0.40029,0.819558,0.474883,0.584941,0.483014,0.70512,0.479265,0.791693,0.480089,0.84888,0.524671,0.5593,0.560899,0.653992,0.578027,0.738045,0.593413,0.802203,0.568932,0.52786,0.611254,0.591072,0.63522,0.640524,0.655185,0.683909
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,1,83,Right,0.475258,0.432209,0.435349,0.513059,0.40825,0.627129,0.389986,0.725164,0.369158,0.80583,0.445933,0.581278,0.457761,0.678943,0.466899,0.753121,0.475724,0.819609,0.480726,0.569356,0.489615,0.683245,0.488302,0.774384,0.488935,0.838609,0.508907,0.548239,0.532907,0.636976,0.54149,0.715205,0.548998,0.775073,0.531834,0.523676,0.541914,0.594692,0.550721,0.641881,0.561475,0.679402
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,2,166,Right,0.462405,0.458944,0.475811,0.54768,0.478505,0.647531,0.475448,0.728828,0.469191,0.777215,0.461483,0.594474,0.45813,0.679563,0.462907,0.74111,0.465357,0.796237,0.4519,0.565305,0.458263,0.654533,0.462752,0.732869,0.465279,0.795468,0.443733,0.541388,0.445671,0.627245,0.449047,0.716829,0.452441,0.792693,0.438017,0.522207,0.431868,0.574995,0.432209,0.62336,0.434794,0.67117
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,3,250,Right,0.457717,0.46683,0.484479,0.543043,0.486904,0.639644,0.477423,0.716158,0.465055,0.750177,0.488701,0.571188,0.519401,0.642691,0.537628,0.70192,0.547557,0.752034,0.456567,0.55697,0.467779,0.652995,0.471316,0.734255,0.47246,0.800314,0.424544,0.552144,0.419678,0.634305,0.415901,0.71818,0.415778,0.786076,0.395416,0.554805,0.362854,0.615814,0.341641,0.654014,0.327066,0.688022
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,4,333,Right,0.453974,0.462474,0.457776,0.557993,0.461661,0.659392,0.463799,0.735353,0.466215,0.776245,0.453386,0.610248,0.470023,0.700244,0.479974,0.772563,0.484531,0.825444,0.446644,0.576102,0.459029,0.670412,0.461137,0.753709,0.458831,0.818679,0.439918,0.546941,0.448992,0.628938,0.451348,0.719428,0.450888,0.791854,0.434439,0.524437,0.425182,0.566549,0.420138,0.609976,0.416055,0.65078
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,5,416,Right,0.452941,0.469779,0.480376,0.545453,0.486753,0.639614,0.479432,0.714984,0.469478,0.753822,0.480355,0.587184,0.497527,0.680592,0.507725,0.754494,0.512632,0.812657,0.449851,0.569227,0.458539,0.67008,0.458777,0.750671,0.458038,0.814316,0.418887,0.556402,0.414193,0.649335,0.408598,0.732442,0.406103,0.796678,0.39084,0.550105,0.362277,0.611469,0.345655,0.651802,0.332708,0.685857
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,6,500,Right,0.450284,0.474727,0.477232,0.533783,0.478917,0.619876,0.468674,0.695621,0.455727,0.739186,0.471963,0.575241,0.484042,0.660948,0.493987,0.717892,0.500741,0.768688,0.448285,0.567482,0.457207,0.661431,0.462643,0.730182,0.46746,0.792683,0.420992,0.557503,0.412739,0.651645,0.409221,0.727597,0.407955,0.793077,0.393866,0.549177,0.364356,0.607331,0.350832,0.646436,0.339878,0.683311
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,7,583,Right,0.468447,0.472595,0.459609,0.552366,0.44797,0.666137,0.446334,0.761415,0.446308,0.815393,0.449735,0.576633,0.440882,0.650957,0.437993,0.707585,0.436188,0.766907,0.45789,0.550161,0.459722,0.636546,0.461454,0.713738,0.461691,0.782362,0.464398,0.53342,0.454721,0.619504,0.446933,0.700849,0.442081,0.770511,0.471872,0.522514,0.456333,0.58686,0.449383,0.641664,0.443502,0.694423
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,8,666,Left,0.465131,0.492401,0.42924,0.545351,0.397366,0.61922,0.378119,0.68261,0.371709,0.709478,0.408773,0.562817,0.395548,0.622162,0.390708,0.670938,0.387627,0.706285,0.437585,0.551726,0.440757,0.610543,0.446374,0.660691,0.448477,0.693045,0.469015,0.546579,0.473579,0.60789,0.476759,0.657706,0.476882,0.689144,0.498861,0.545319,0.509292,0.594178,0.51006,0.625338,0.507784,0.644767
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,9,750,Right,0.490039,0.491837,0.515961,0.574198,0.519753,0.684018,0.501945,0.764534,0.472683,0.80264,0.512764,0.603421,0.519193,0.685733,0.514921,0.75274,0.507696,0.798695,0.465061,0.575465,0.455062,0.667508,0.437736,0.767512,0.422596,0.839745,0.426138,0.560192,0.40508,0.627602,0.397252,0.709166,0.399292,0.76638,0.39879,0.554484,0.34915,0.595892,0.310956,0.637961,0.283202,0.669186
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,10,833,Right,0.471049,0.467157,0.502131,0.550294,0.51067,0.656121,0.506455,0.741687,0.493954,0.775975,0.505445,0.568639,0.535066,0.659572,0.554625,0.732873,0.566246,0.792106,0.46259,0.555556,0.482291,0.662137,0.482613,0.755327,0.482982,0.821412,0.423861,0.5625,0.420396,0.653109,0.406556,0.745531,0.402165,0.815144,0.392571,0.579414,0.350137,0.64506,0.320401,0.694208,0.302031,0.740761
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,11,916,Right,0.468469,0.450581,0.498427,0.544169,0.500319,0.662583,0.484997,0.750004,0.456141,0.815167,0.501766,0.549153,0.531232,0.593795,0.555323,0.639578,0.571965,0.694621,0.468267,0.532742,0.481844,0.617752,0.482991,0.710904,0.483211,0.794441,0.430741,0.536667,0.422866,0.613384,0.408482,0.707945,0.400162,0.78507,0.393569,0.552972,0.360341,0.625572,0.333907,0.682509,0.316734,0.741898
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,12,1000,Right,0.471993,0.465683,0.517956,0.536448,0.532414,0.638836,0.526819,0.723594,0.516403,0.770222,0.518985,0.563846,0.549682,0.651839,0.566304,0.732854,0.573357,0.794349,0.478254,0.545006,0.483825,0.64164,0.480051,0.740582,0.472606,0.808005,0.435355,0.541345,0.419294,0.621323,0.408494,0.713395,0.399824,0.774331,0.397212,0.552125,0.353271,0.622886,0.324008,0.673406,0.300068,0.709256
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,13,1083,Left,0.486794,0.59257,0.452714,0.623007,0.435557,0.661286,0.436336,0.708566,0.435512,0.753296,0.431394,0.543957,0.411462,0.591479,0.405696,0.649307,0.401614,0.703965,0.468915,0.514852,0.475229,0.59556,0.474744,0.665308,0.468864,0.722526,0.50547,0.510398,0.520149,0.595319,0.522519,0.669584,0.520462,0.723164,0.534906,0.525458,0.554539,0.588592,0.561009,0.645858,0.563527,0.694887
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,14,1166,Left,0.511887,0.616223,0.483238,0.639669,0.463272,0.671201,0.462732,0.69195,0.456505,0.690202,0.435194,0.550546,0.402097,0.564436,0.394578,0.612667,0.392272,0.658577,0.460777,0.526633,0.431634,0.540633,0.426253,0.604228,0.430816,0.655399,0.492515,0.523694,0.494936,0.5712,0.508697,0.642458,0.523513,0.687266,0.529963,0.534611,0.537166,0.581316,0.549751,0.630407,0.562388,0.659149
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,15,1250,Left,0.488139,0.455434,0.433169,0.511025,0.387136,0.588353,0.341983,0.641875,0.298214,0.672613,0.433619,0.531107,0.4147,0.578597,0.411042,0.629462,0.408753,0.680249,0.485147,0.519592,0.489292,0.616708,0.494695,0.693714,0.49899,0.752362,0.532556,0.517976,0.5561,0.623239,0.574971,0.722309,0.588883,0.808883,0.572338,0.512401,0.606314,0.582749,0.62898,0.635739,0.646361,0.684839
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,16,1333,Left,0.487753,0.533764,0.43872,0.57104,0.402614,0.620318,0.368968,0.674004,0.341572,0.723826,0.436379,0.504053,0.417708,0.539099,0.411233,0.60832,0.402426,0.674396,0.487948,0.487606,0.490669,0.585197,0.493891,0.676126,0.491596,0.75004,0.536489,0.500844,0.559812,0.606679,0.578372,0.713982,0.588611,0.806644,0.575934,0.518842,0.612901,0.584772,0.634135,0.638439,0.649025,0.689224
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,17,1416,Left,0.500094,0.491216,0.448189,0.526699,0.396523,0.528149,0.340786,0.517031,0.29347,0.476385,0.442008,0.508133,0.428801,0.566344,0.416372,0.593018,0.404728,0.620451,0.496293,0.516203,0.500282,0.579635,0.489602,0.632026,0.482785,0.67314,0.544338,0.523977,0.564479,0.631682,0.578254,0.720618,0.58758,0.78859,0.582615,0.543985,0.613495,0.598883,0.638835,0.644581,0.656225,0.682861
video11.mp4,1cd9b39754b8da81a4f0cb8fe3c090ef31acec149be5c2e6a50818d24e821a0c,1280,720,12.09,133,11.0,18,1500,Left,0.508385,0.535209,0.455636,0.546296,0.425318,0.562566,0.395996,0.613043,0.376535,0.688223,0.461983,0.510412,0.433105,0.521672,0.418938,0.587217,0.401034,0.65601,0.511807,0.522565,0.49451,0.600959,0.48521,0.69739,0.471808,0.784081,0.554444,0.545449,0.571609,0.604891,0.58268,0.692598,0.586105,0.765485,0.589815,0.56285,0.623763,0.600865,0.639186,0.642106,0.652259,0.689057
