video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,0,0,Left,0.491166,0.39751,0.469412,0.510127,0.44573,0.626535,0.429688,0.702103,0.425776,0.705755,0.460255,0.51883,0.450894,0.582871,0.446469,0.629469,0.439425,0.662309,0.481449,0.493576,0.492019,0.564885,0.502318,0.627843,0.517056,0.662947,0.503765,0.47644,0.529191,0.541264,0.544178,0.600454,0.55971,0.642576,0.530688,0.466537,0.561141,0.51625,0.58504,0.567133,0.605452,0.610206
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,1,83,Right,0.484883,0.417041,0.54539,0.447416,0.589999,0.514646,0.614591,0.568861,0.637233,0.615801,0.539635,0.484772,0.548123,0.536446,0.555375,0.556026,0.560752,0.571034,0.494397,0.492538,0.495645,0.546478,0.494337,0.591175,0.494163,0.60924,0.455288,0.503705,0.437243,0.565776,0.42859,0.62378,0.42391,0.654837,0.425836,0.517737,0.394979,0.580186,0.378231,0.634308,0.364736,0.677783
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,2,166,Right,0.48441,0.413242,0.539144,0.433328,0.590231,0.499604,0.625298,0.556433,0.655864,0.610406,0.531298,0.482123,0.539537,0.521621,0.55268,0.543432,0.566648,0.564972,0.487577,0.500027,0.488296,0.544091,0.490109,0.582804,0.489068,0.613133,0.450362,0.516764,0.438995,0.572889,0.432858,0.623672,0.426925,0.66859,0.421274,0.524791,0.398989,0.58305,0.381432,0.618432,0.364879,0.65206
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,3,250,Left,0.482429,0.420419,0.540022,0.444849,0.589328,0.500621,0.622532,0.549806,0.650972,0.603519,0.538379,0.502254,0.555397,0.602774,0.567739,0.665856,0.576468,0.709208,0.494059,0.51126,0.500906,0.570468,0.504386,0.621252,0.506242,0.652593,0.454548,0.514542,0.442398,0.571978,0.434559,0.620743,0.428725,0.656743,0.421412,0.514282,0.396026,0.579523,0.375509,0.619467,0.356541,0.649712
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,4,333,Left,0.499755,0.424615,0.549276,0.452558,0.595029,0.508561,0.630359,0.553396,0.659085,0.604863,0.553567,0.504827,0.580163,0.567125,0.599985,0.61542,0.615811,0.642127,0.510709,0.511383,0.510484,0.560398,0.515072,0.594985,0.519453,0.610497,0.470489,0.512154,0.450503,0.555498,0.438034,0.584953,0.428174,0.603293,0.434014,0.504482,0.398881,0.551538,0.368643,0.577279,0.341551,0.594521
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,5,416,Left,0.498041,0.435063,0.542142,0.452589,0.588377,0.499437,0.62784,0.537195,0.65025,0.590644,0.555501,0.484115,0.593725,0.519731,0.620671,0.566183,0.643052,0.602327,0.515224,0.506876,0.521305,0.559309,0.52902,0.597525,0.534442,0.618861,0.474594,0.521454,0.455803,0.563057,0.444855,0.578482,0.436122,0.586632,0.435134,0.521495,0.397249,0.560604,0.363469,0.581497,0.332515,0.595596
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,6,500,Left,0.500481,0.455567,0.475892,0.504867,0.462439,0.584187,0.451032,0.633996,0.438162,0.677042,0.500543,0.525049,0.534986,0.568837,0.558179,0.608595,0.577392,0.648075,0.516619,0.514135,0.517388,0.567398,0.515434,0.628158,0.510871,0.679981,0.528853,0.506685,0.518438,0.55415,0.504979,0.615864,0.492804,0.670548,0.540205,0.496637,0.536543,0.54741,0.525168,0.592461,0.510555,0.633601
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,7,583,Right,0.493924,0.411465,0.525229,0.462148,0.547137,0.529458,0.559529,0.583366,0.55937,0.615399,0.521001,0.528619,0.514149,0.606938,0.513711,0.665679,0.513487,0.705825,0.498785,0.5144,0.490893,0.579567,0.490096,0.644146,0.487422,0.690883,0.474644,0.501829,0.460774,0.573502,0.457343,0.641863,0.451778,0.693543,0.451093,0.492037,0.422084,0.546244,0.410901,0.587753,0.40028,0.621043
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,8,666,Right,0.492648,0.420229,0.549659,0.445734,0.595294,0.499555,0.625077,0.551672,0.651142,0.606115,0.53568,0.504597,0.540925,0.550944,0.553738,0.582384,0.567623,0.60896,0.491101,0.521483,0.486936,0.602869,0.490109,0.672103,0.49283,0.730429,0.452952,0.527702,0.431737,0.594417,0.420313,0.653597,0.412496,0.707752,0.424782,0.522258,0.386839,0.574919,0.358037,0.605135,0.333648,0.634782
video14.mp4,4ebe99dee37218dfbabd44e2afab3b5f7fc9de57134dc45b632245e91130147f,1280,720,12.06,201,16.667,9,750,Right,0.495493,0.42402,0.50549,0.503628,0.496738,0.589073,0.479003,0.649983,0.455139,0.674069,0.504002,0.538663,0.529479,0.60739,0.544088,0.670609,0.553817,0.70788,0.49834,0.516698,0.508894,0.586682,0.507271,0.668315,0.505853,0.719206,0.490209,0.50307,0.480815,0.567612,0.469503,0.65249,0.463155,0.708946,0.482616,0.499452,0.452813,0.553743,0.434977,0.598027,0.424288,0.631264
