video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,0,0,Left,0.606342,0.181063,0.49369,0.253438,0.391635,0.346578,0.319791,0.430704,0.262298,0.482518,0.487942,0.305696,0.45494,0.441637,0.431274,0.542254,0.407737,0.628983,0.578819,0.2957,0.583608,0.43896,0.574565,0.560461,0.56861,0.65555,0.653018,0.296285,0.687997,0.442432,0.6927,0.552162,0.690915,0.644792,0.715934,0.305985,0.767548,0.420295,0.802333,0.497343,0.824993,0.567786
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,1,83,Left,0.608041,0.169074,0.495666,0.238564,0.402061,0.326164,0.329633,0.416147,0.269522,0.483356,0.499441,0.304965,0.451297,0.442341,0.427807,0.546488,0.403791,0.636829,0.594024,0.309403,0.592591,0.449795,0.578605,0.574804,0.561576,0.678351,0.669572,0.31781,0.698334,0.447552,0.689359,0.561932,0.67156,0.660491,0.726223,0.327024,0.782428,0.431167,0.812814,0.509681,0.829048,0.589953
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,2,166,Left,0.598794,0.175859,0.490155,0.24648,0.399319,0.3277,0.328528,0.410174,0.27352,0.47921,0.493551,0.316863,0.453392,0.443364,0.430062,0.541705,0.403202,0.640786,0.586457,0.315498,0.584302,0.451934,0.574665,0.575897,0.559291,0.689669,0.664004,0.320115,0.695056,0.439524,0.692697,0.550096,0.678849,0.652233,0.723411,0.32696,0.78333,0.430504,0.813218,0.504274,0.829432,0.584739
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,3,250,Left,0.60281,0.166979,0.496602,0.237809,0.40696,0.325635,0.331971,0.412931,0.270652,0.481181,0.49384,0.310525,0.455949,0.394172,0.437167,0.477033,0.412246,0.561606,0.5858,0.317103,0.580614,0.447858,0.568234,0.569346,0.547602,0.675831,0.664318,0.326505,0.692302,0.444806,0.688694,0.555098,0.671357,0.655704,0.72551,0.333381,0.783498,0.432062,0.814564,0.503896,0.830798,0.582602
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,4,333,Left,0.594687,0.178275,0.492087,0.243032,0.404198,0.333676,0.330317,0.414515,0.271676,0.480965,0.501344,0.309166,0.468595,0.366093,0.438709,0.416431,0.398301,0.474573,0.587165,0.311868,0.58582,0.435183,0.573787,0.554186,0.55285,0.666261,0.661945,0.320664,0.692856,0.438613,0.691215,0.551448,0.67674,0.657999,0.721902,0.327809,0.780667,0.429444,0.811975,0.502944,0.832588,0.581902
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,5,416,Left,0.595905,0.172968,0.488504,0.249714,0.403149,0.3404,0.332438,0.421519,0.271167,0.487639,0.493316,0.337606,0.462445,0.453114,0.440052,0.542869,0.411076,0.628227,0.585204,0.333262,0.595083,0.460797,0.588278,0.584505,0.571603,0.693303,0.663546,0.332957,0.699415,0.438641,0.697236,0.55193,0.679489,0.655025,0.725635,0.330859,0.787042,0.429549,0.817621,0.503302,0.832167,0.58132
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,6,500,Left,0.593794,0.180438,0.486082,0.27401,0.39687,0.365947,0.328036,0.437835,0.275563,0.495995,0.497414,0.329035,0.444508,0.38067,0.402637,0.425292,0.353278,0.473654,0.583662,0.320274,0.58581,0.452398,0.571839,0.576358,0.54802,0.689319,0.660401,0.323727,0.699079,0.447835,0.697759,0.558202,0.681627,0.657271,0.722473,0.330421,0.78507,0.440189,0.816466,0.512032,0.834202,0.582072
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,7,583,Left,0.594995,0.183513,0.487054,0.26632,0.395904,0.358784,0.329113,0.435294,0.277177,0.492257,0.495157,0.331619,0.440222,0.397912,0.396447,0.458734,0.345071,0.520649,0.586209,0.328087,0.588325,0.460618,0.575435,0.581035,0.551459,0.690371,0.664751,0.332221,0.700656,0.457483,0.698264,0.566942,0.681349,0.664554,0.724531,0.334886,0.786197,0.441024,0.817455,0.514007,0.8347,0.58692
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,8,666,Left,0.601347,0.164685,0.489622,0.242699,0.398825,0.334618,0.330202,0.420119,0.272469,0.487812,0.490066,0.324265,0.451065,0.44587,0.426145,0.544988,0.39675,0.640853,0.585742,0.32027,0.589454,0.454121,0.582313,0.576939,0.567487,0.687033,0.665699,0.323445,0.69499,0.442357,0.692788,0.556581,0.677659,0.66257,0.726284,0.328505,0.786741,0.432316,0.817155,0.507688,0.831278,0.586115
video19.mp4,c394e6472a5abf1abdd0edf2321c8d36ce9a2504a1a01030d8158d99ceb47a94,640,480,12.11,109,9.0,9,750,Left,0.603629,0.160183,0.49343,0.23705,0.403017,0.326818,0.331061,0.413768,0.274204,0.481552,0.494121,0.32289,0.44745,0.443948,0.417872,0.537324,0.383069,0.632368,0.587543,0.319866,0.586232,0.448981,0.577612,0.5701,0.561213,0.682776,0.666122,0.324476,0.694375,0.447117,0.691972,0.556582,0.677449,0.659351,0.72637,0.330855,0.784862,0.435048,0.815649,0.507616,0.832572,0.586465
