video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,0,0,Right,0.473035,0.4137,0.537113,0.465474,0.580508,0.534878,0.60254,0.601644,0.619206,0.649982,0.491179,0.50807,0.485308,0.632283,0.481411,0.706611,0.478786,0.745135,0.423678,0.506903,0.393257,0.627553,0.378655,0.70571,0.378312,0.734263,0.374333,0.515634,0.340639,0.627307,0.329863,0.703442,0.338557,0.726029,0.342328,0.52829,0.302218,0.619552,0.287947,0.66749,0.292063,0.6741
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,1,83,Right,0.489072,0.390441,0.543266,0.455311,0.582095,0.529166,0.606292,0.597449,0.628948,0.630836,0.506474,0.517278,0.497608,0.627627,0.488123,0.710472,0.483448,0.759326,0.441305,0.503036,0.403654,0.610569,0.377067,0.70106,0.368318,0.741253,0.394526,0.501867,0.352275,0.593769,0.32793,0.678658,0.322072,0.72233,0.366212,0.508993,0.316474,0.575137,0.288288,0.632589,0.274092,0.669842
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,2,166,Right,0.480187,0.403467,0.546891,0.454913,0.588487,0.512947,0.608294,0.576463,0.627857,0.631463,0.503166,0.514959,0.499174,0.619792,0.490647,0.698468,0.481781,0.744944,0.435793,0.512007,0.398865,0.613826,0.376016,0.706473,0.364246,0.749998,0.387639,0.518607,0.346902,0.599674,0.326095,0.689144,0.320197,0.725806,0.358652,0.527142,0.306597,0.588036,0.282715,0.640481,0.273785,0.663955
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,3,250,Right,0.484049,0.406178,0.546143,0.456511,0.586744,0.515969,0.607003,0.575614,0.628062,0.628999,0.502857,0.525806,0.498979,0.631584,0.493622,0.702151,0.485471,0.74244,0.438867,0.521511,0.401755,0.615801,0.379289,0.699349,0.362852,0.747975,0.392861,0.524016,0.352006,0.595646,0.329852,0.678054,0.317217,0.724358,0.364941,0.528165,0.316853,0.580353,0.289551,0.630293,0.271129,0.667077
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,4,333,Right,0.472555,0.409868,0.540513,0.451911,0.58583,0.50808,0.607271,0.571778,0.628986,0.630328,0.49857,0.5092,0.495914,0.614396,0.490656,0.691239,0.483619,0.738251,0.43207,0.513644,0.398214,0.612261,0.37771,0.704395,0.365928,0.749804,0.384126,0.5253,0.347064,0.605169,0.328128,0.69093,0.322542,0.724846,0.355193,0.535687,0.304817,0.593227,0.281969,0.638086,0.274094,0.659135
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,5,416,Right,0.481781,0.41574,0.544376,0.451633,0.583858,0.509882,0.605294,0.568089,0.627607,0.621513,0.497992,0.538662,0.49683,0.643959,0.494669,0.706536,0.490756,0.734738,0.436879,0.540609,0.404515,0.63566,0.381637,0.709909,0.364839,0.747392,0.391435,0.542072,0.353869,0.616576,0.332495,0.687737,0.322147,0.717585,0.36088,0.5392,0.313412,0.595528,0.287521,0.637282,0.273774,0.661354
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,6,500,Right,0.478788,0.383718,0.541034,0.437899,0.581641,0.504642,0.603279,0.576996,0.626729,0.631871,0.49982,0.491523,0.49756,0.603113,0.492853,0.688943,0.483857,0.74788,0.434895,0.494198,0.401986,0.598405,0.381308,0.694339,0.367046,0.748647,0.38985,0.506676,0.352667,0.592605,0.331409,0.678641,0.321054,0.723644,0.364678,0.522548,0.315278,0.581862,0.288333,0.628692,0.272208,0.660236
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,7,583,Right,0.475725,0.381218,0.541194,0.436797,0.585048,0.502712,0.608601,0.577918,0.633007,0.631504,0.501051,0.488215,0.501691,0.609124,0.494633,0.695172,0.48706,0.741632,0.434437,0.491039,0.397943,0.604676,0.376183,0.70258,0.366378,0.743097,0.386932,0.505953,0.348955,0.599461,0.328609,0.693697,0.323346,0.728282,0.358728,0.523021,0.310187,0.588972,0.28586,0.642968,0.276581,0.666137
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,8,666,Right,0.482369,0.367628,0.547197,0.425496,0.59122,0.503963,0.616304,0.580082,0.639682,0.634562,0.509017,0.463077,0.501744,0.582912,0.491625,0.680552,0.481522,0.749174,0.44054,0.466641,0.405653,0.588909,0.384406,0.693918,0.373194,0.752239,0.390668,0.482663,0.355104,0.59047,0.333305,0.686365,0.326943,0.726481,0.361329,0.499737,0.310954,0.574185,0.283065,0.630926,0.269371,0.659009
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,9,750,Right,0.499002,0.339308,0.55488,0.418047,0.597255,0.510196,0.62549,0.591218,0.647756,0.649216,0.523408,0.446557,0.505857,0.560313,0.49903,0.66108,0.494634,0.749178,0.459596,0.426283,0.421718,0.514169,0.403502,0.616429,0.392148,0.694783,0.41183,0.431192,0.368117,0.514024,0.34652,0.615114,0.333451,0.699818,0.383167,0.4537,0.333313,0.516171,0.307271,0.588161,0.287961,0.660209
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,10,833,Right,0.495278,0.398247,0.549777,0.444635,0.600138,0.508549,0.634113,0.572329,0.660427,0.633218,0.530196,0.469991,0.526343,0.577134,0.52069,0.663217,0.515009,0.730566,0.469507,0.471764,0.44699,0.588376,0.421039,0.671118,0.401349,0.714381,0.419027,0.48644,0.389215,0.590331,0.362752,0.661138,0.345168,0.695815,0.386245,0.505511,0.346899,0.574392,0.320432,0.625419,0.300806,0.656594
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,11,916,Right,0.488676,0.413332,0.551589,0.441729,0.602085,0.504248,0.642561,0.580132,0.675731,0.653106,0.533475,0.439835,0.537981,0.491803,0.544988,0.556348,0.551688,0.625772,0.473361,0.460827,0.460339,0.543197,0.460918,0.629032,0.464587,0.697696,0.426327,0.49532,0.404205,0.583327,0.397801,0.678798,0.397506,0.753005,0.399092,0.530869,0.36251,0.597788,0.340137,0.654437,0.32371,0.70464
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,12,1000,Right,0.503884,0.400732,0.564138,0.441858,0.608588,0.514105,0.640409,0.587232,0.671698,0.656419,0.546972,0.497564,0.549243,0.537731,0.553547,0.580195,0.559523,0.621028,0.487785,0.512277,0.47315,0.609205,0.466698,0.667427,0.463777,0.701845,0.438426,0.528444,0.413395,0.631988,0.402967,0.71384,0.397544,0.777042,0.403442,0.532565,0.363474,0.611129,0.335991,0.665859,0.314784,0.716877
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,13,1083,Right,0.486816,0.370676,0.548029,0.413792,0.595875,0.490845,0.633418,0.566512,0.668045,0.631466,0.538214,0.495302,0.571314,0.624042,0.59625,0.729484,0.617766,0.819122,0.483479,0.5098,0.482161,0.646212,0.481865,0.740785,0.47998,0.809102,0.436184,0.516198,0.416199,0.616274,0.403152,0.70078,0.394536,0.765922,0.399174,0.514095,0.361506,0.600849,0.334857,0.656748,0.313018,0.702665
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,14,1166,Right,0.484594,0.36531,0.543205,0.432031,0.594451,0.520673,0.637735,0.595159,0.671956,0.654072,0.5354,0.505561,0.553737,0.620172,0.572086,0.707912,0.584546,0.791438,0.486636,0.5137,0.495384,0.641104,0.505019,0.749855,0.511896,0.845477,0.444051,0.516649,0.430329,0.623002,0.421384,0.716688,0.41472,0.802036,0.412095,0.513696,0.382445,0.594156,0.36455,0.654855,0.348788,0.716435
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,15,1250,Right,0.488159,0.384831,0.551078,0.426508,0.602045,0.509966,0.634419,0.593353,0.663421,0.663903,0.538439,0.499341,0.548137,0.61415,0.557915,0.695353,0.563007,0.769339,0.485846,0.509175,0.482809,0.617788,0.485538,0.704475,0.48512,0.775684,0.441495,0.514894,0.417805,0.623207,0.404858,0.709434,0.394984,0.781815,0.405734,0.514191,0.368686,0.600697,0.343348,0.660165,0.320218,0.713294
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,16,1333,Right,0.488887,0.39525,0.553799,0.429257,0.604886,0.505115,0.634317,0.58658,0.662626,0.659298,0.540923,0.506541,0.547929,0.583205,0.548405,0.644305,0.544892,0.703954,0.485929,0.526618,0.485316,0.634209,0.485105,0.724643,0.481317,0.792728,0.439584,0.53521,0.422179,0.633835,0.411184,0.715151,0.402459,0.780824,0.402299,0.528605,0.367252,0.607047,0.341345,0.658953,0.320024,0.702787
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,17,1416,Right,0.484723,0.383243,0.549839,0.421383,0.599661,0.492914,0.627572,0.573294,0.657595,0.644762,0.537969,0.521141,0.558728,0.62821,0.574098,0.713385,0.582655,0.785102,0.483205,0.537092,0.485228,0.653917,0.485501,0.749399,0.481301,0.818958,0.437564,0.539076,0.420629,0.641909,0.408325,0.728678,0.398895,0.794385,0.39988,0.52829,0.362466,0.612369,0.337269,0.666991,0.317632,0.71102
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,18,1500,Right,0.485015,0.386086,0.549683,0.423452,0.598802,0.487168,0.626793,0.560847,0.656063,0.632656,0.538423,0.520736,0.560702,0.636755,0.573385,0.72535,0.579495,0.794389,0.483673,0.535502,0.482835,0.650276,0.483228,0.746476,0.480541,0.818952,0.437793,0.537716,0.418321,0.633988,0.406986,0.720799,0.398064,0.787652,0.400522,0.529834,0.36199,0.608312,0.336314,0.662981,0.315242,0.70921
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,19,1583,Right,0.483469,0.39228,0.547278,0.412161,0.597411,0.462846,0.623314,0.526848,0.645201,0.601044,0.531909,0.511255,0.552948,0.624661,0.567616,0.71269,0.576356,0.789553,0.477549,0.526708,0.475779,0.636832,0.4763,0.727326,0.474273,0.80523,0.433554,0.531993,0.413731,0.625281,0.403325,0.708665,0.395612,0.779606,0.398971,0.526218,0.360327,0.60034,0.336998,0.654543,0.317407,0.705333
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,20,1666,Left,0.481455,0.390019,0.549402,0.412076,0.600012,0.470725,0.627296,0.535723,0.644447,0.612888,0.528278,0.505313,0.545285,0.620798,0.563386,0.711527,0.576074,0.793902,0.47625,0.518716,0.472086,0.628472,0.472878,0.723064,0.473859,0.81062,0.432562,0.525168,0.41105,0.616305,0.399165,0.700293,0.391225,0.773634,0.398421,0.522263,0.357103,0.59544,0.334336,0.653736,0.315662,0.710401
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,21,1750,Right,0.483888,0.376481,0.551334,0.404822,0.600564,0.461933,0.624875,0.523506,0.641722,0.599746,0.534341,0.509443,0.55535,0.636697,0.572158,0.731691,0.581889,0.803423,0.479101,0.524271,0.474026,0.63931,0.471902,0.736318,0.468916,0.815348,0.433352,0.530553,0.407447,0.622275,0.3926,0.712681,0.381931,0.78171,0.396267,0.526424,0.351175,0.59887,0.327416,0.66203,0.309256,0.717962
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,22,1833,Left,0.480446,0.366217,0.547017,0.397852,0.600288,0.44819,0.63018,0.501868,0.655646,0.570249,0.550991,0.543425,0.581125,0.689907,0.586441,0.774142,0.580174,0.797002,0.489227,0.555562,0.494418,0.689417,0.485901,0.787087,0.473529,0.831093,0.435252,0.544606,0.415919,0.649306,0.399763,0.751059,0.387391,0.799508,0.388058,0.515757,0.345293,0.597657,0.324194,0.675607,0.309836,0.725632
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,23,1916,Right,0.48136,0.41667,0.554063,0.457997,0.611471,0.524594,0.648448,0.601231,0.678707,0.689386,0.556984,0.526433,0.583332,0.682542,0.589278,0.777058,0.584668,0.813488,0.491023,0.53339,0.496242,0.678718,0.491778,0.789665,0.483897,0.840041,0.431858,0.527887,0.418855,0.645485,0.404987,0.753683,0.392889,0.812091,0.383523,0.516802,0.343602,0.605497,0.32317,0.685471,0.307404,0.737492
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,24,2000,Left,0.477107,0.430851,0.550297,0.457676,0.608131,0.524547,0.645968,0.593143,0.676754,0.689578,0.557375,0.541071,0.589961,0.718142,0.590688,0.788685,0.580318,0.796138,0.490816,0.550819,0.49769,0.703491,0.491758,0.796368,0.483669,0.838059,0.431971,0.543835,0.417705,0.659876,0.404352,0.757379,0.393535,0.818356,0.383831,0.527911,0.34563,0.611309,0.324432,0.681704,0.309042,0.732865
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,25,2083,Left,0.483807,0.411547,0.549538,0.434384,0.609966,0.501139,0.641169,0.573905,0.671225,0.672435,0.562077,0.559654,0.596105,0.707321,0.612772,0.7844,0.616654,0.828329,0.496042,0.580758,0.502113,0.708921,0.502004,0.800658,0.493637,0.865365,0.438611,0.577378,0.420455,0.684777,0.406313,0.762111,0.391468,0.822314,0.39378,0.554745,0.355258,0.627721,0.32779,0.68576,0.302686,0.737287
video2.mp4,f6bad3096563fbb6012549a50507af13b3de6a1c0921cc34f5e580d9981271d8,1280,720,12.08,150,12.417,26,2166,Right,0.492215,0.391648,0.557498,0.43552,0.615065,0.512796,0.64844,0.595733,0.678007,0.680499,0.557575,0.540626,0.581398,0.671683,0.590542,0.756872,0.594345,0.833939,0.49744,0.549635,0.496929,0.672783,0.494895,0.767877,0.489789,0.84539,0.446936,0.549567,0.424204,0.660518,0.407335,0.748047,0.393535,0.819456,0.405363,0.540934,0.356573,0.621728,0.322002,0.675961,0.291258,0.72363
