video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,0,0,Left,0.630885,0.152115,0.527968,0.236984,0.455534,0.341222,0.400918,0.430379,0.345216,0.488427,0.54873,0.34018,0.548262,0.41223,0.542428,0.452783,0.527708,0.489589,0.639482,0.335121,0.652271,0.446447,0.654727,0.546934,0.652643,0.622725,0.711603,0.33243,0.752192,0.451055,0.772135,0.546813,0.782847,0.624868,0.768746,0.328206,0.828565,0.422636,0.867926,0.486647,0.899473,0.55233
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,1,83,Left,0.617309,0.163821,0.519056,0.244506,0.451836,0.337929,0.394805,0.425405,0.339605,0.490641,0.543454,0.338933,0.544553,0.429913,0.545996,0.513095,0.538887,0.593084,0.635303,0.329435,0.652465,0.447724,0.660989,0.562893,0.658009,0.662259,0.710501,0.324415,0.74827,0.43401,0.767068,0.541526,0.770932,0.635434,0.76732,0.318756,0.832965,0.410751,0.871797,0.484595,0.900842,0.563684
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,2,166,Left,0.618391,0.141216,0.522331,0.228628,0.456029,0.332778,0.401218,0.423831,0.343055,0.491521,0.55748,0.36576,0.549953,0.503615,0.549346,0.605159,0.543817,0.689871,0.645839,0.355051,0.659215,0.488429,0.663951,0.594242,0.658105,0.678924,0.717537,0.339754,0.757307,0.46348,0.772121,0.56148,0.772633,0.642726,0.76939,0.320539,0.837801,0.412664,0.877973,0.482793,0.906046,0.554959
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,3,250,Left,0.612899,0.15497,0.517636,0.226993,0.451071,0.33311,0.401524,0.429463,0.341741,0.492803,0.539453,0.337727,0.514025,0.400344,0.503015,0.466164,0.487464,0.532672,0.631065,0.339981,0.644848,0.458808,0.658507,0.560074,0.662313,0.652131,0.709222,0.336069,0.747408,0.459341,0.770334,0.557172,0.781299,0.645442,0.76674,0.320421,0.834607,0.410821,0.877162,0.480164,0.9091,0.553514
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,4,333,Left,0.610975,0.15038,0.519565,0.228035,0.448525,0.337641,0.398717,0.433318,0.339546,0.487751,0.539584,0.353103,0.517074,0.473575,0.502847,0.563068,0.48582,0.648333,0.634594,0.349423,0.65144,0.47503,0.663562,0.574815,0.671467,0.669333,0.710798,0.337968,0.753212,0.462945,0.786339,0.557298,0.809214,0.648631,0.763366,0.318185,0.833586,0.404249,0.882674,0.458366,0.923126,0.521198
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,5,416,Left,0.616364,0.142079,0.52258,0.222457,0.452536,0.333594,0.403052,0.430833,0.341033,0.48776,0.542039,0.342108,0.517225,0.467871,0.497941,0.561918,0.476145,0.64731,0.634949,0.335385,0.655528,0.472787,0.668785,0.576979,0.676578,0.670413,0.711016,0.325871,0.752955,0.451884,0.780388,0.557354,0.800344,0.654748,0.767321,0.312843,0.833515,0.416086,0.880595,0.48158,0.918997,0.550748
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,6,500,Left,0.616253,0.135242,0.519331,0.221296,0.451394,0.329432,0.398905,0.425215,0.343248,0.492836,0.540022,0.332378,0.512637,0.45759,0.490735,0.554906,0.46761,0.645764,0.633923,0.328037,0.660092,0.470192,0.674995,0.579353,0.684365,0.676033,0.710441,0.321862,0.754519,0.450946,0.782774,0.560922,0.803798,0.662164,0.764182,0.31258,0.831659,0.413622,0.881819,0.473592,0.923714,0.536577
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,7,583,Left,0.613204,0.142333,0.519735,0.23077,0.450706,0.336535,0.399924,0.432114,0.342466,0.48694,0.541522,0.351185,0.518335,0.467645,0.499373,0.554482,0.480036,0.643015,0.637373,0.346721,0.667295,0.489528,0.687362,0.601568,0.705026,0.703474,0.714821,0.337849,0.769713,0.471649,0.81061,0.575579,0.840491,0.674999,0.767353,0.322847,0.844792,0.399022,0.900911,0.433099,0.94741,0.475954
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,8,666,Left,0.616066,0.125987,0.519185,0.221798,0.44227,0.343291,0.390943,0.439627,0.342053,0.494042,0.546021,0.334608,0.52456,0.466455,0.502235,0.550405,0.480908,0.636552,0.638304,0.33037,0.665027,0.493411,0.682132,0.609939,0.697741,0.711937,0.710912,0.332351,0.76333,0.48824,0.80166,0.610796,0.830215,0.715401,0.762847,0.333993,0.812782,0.480263,0.845454,0.578176,0.868568,0.666993
video20.mp4,d47bca438d6c7bbe971913f804794dde2a339530eae55084115569611aec2d5e,640,480,12.09,137,11.333,9,750,Left,0.593264,0.154385,0.505677,0.241873,0.443439,0.352932,0.399119,0.433446,0.344994,0.490625,0.529429,0.372956,0.512713,0.499618,0.489508,0.585357,0.464912,0.6592,0.611399,0.371901,0.660197,0.529598,0.688613,0.643016,0.712939,0.729304,0.676794,0.349458,0.755377,0.476849,0.813884,0.591855,0.861196,0.689395,0.724869,0.306854,0.811899,0.310128,0.867105,0.275675,0.910848,0.251752
