video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,0,0,Left,0.578945,0.159605,0.468033,0.259215,0.37067,0.365961,0.300653,0.44718,0.261983,0.515009,0.437939,0.313312,0.390241,0.430406,0.360928,0.514348,0.332021,0.596015,0.521453,0.290711,0.507538,0.399506,0.498009,0.489802,0.493811,0.57395,0.59815,0.286606,0.635078,0.434112,0.657029,0.5493,0.672169,0.65072,0.673933,0.29962,0.731367,0.429264,0.772536,0.511669,0.800105,0.585617
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,1,83,Left,0.576882,0.149525,0.477295,0.228319,0.385089,0.326748,0.31349,0.417193,0.261193,0.489486,0.46363,0.300306,0.404951,0.417007,0.37352,0.505255,0.343809,0.591101,0.546402,0.301749,0.535175,0.417048,0.52374,0.508647,0.517058,0.590058,0.619733,0.310709,0.65107,0.444164,0.660493,0.550888,0.672226,0.645711,0.683712,0.32528,0.742803,0.447435,0.785249,0.521339,0.822905,0.590848
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,2,166,Left,0.573641,0.156628,0.465064,0.24342,0.381351,0.334664,0.306345,0.421889,0.254821,0.500284,0.464845,0.320464,0.407224,0.431954,0.373782,0.524664,0.334219,0.618867,0.557969,0.314007,0.553577,0.430634,0.543407,0.546974,0.526823,0.651751,0.635193,0.324069,0.666764,0.447047,0.665005,0.559126,0.654002,0.662422,0.695524,0.34378,0.757677,0.457892,0.803915,0.522848,0.835754,0.589108
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,3,250,Left,0.574639,0.153766,0.4634,0.245377,0.377461,0.341981,0.308939,0.424901,0.260288,0.492854,0.468122,0.325415,0.410138,0.428152,0.373196,0.515459,0.334707,0.606811,0.55832,0.324793,0.561252,0.469299,0.552656,0.593087,0.537669,0.703764,0.636723,0.331499,0.669651,0.453231,0.666226,0.568434,0.653689,0.67702,0.698444,0.341207,0.766597,0.454274,0.808624,0.527699,0.834295,0.601881
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,4,333,Left,0.590626,0.158638,0.527447,0.280895,0.478747,0.444189,0.468833,0.585737,0.477294,0.696751,0.526677,0.3267,0.491501,0.447956,0.477102,0.5249,0.461328,0.615813,0.566519,0.303787,0.535724,0.435602,0.508223,0.552407,0.477194,0.650655,0.599778,0.312045,0.558553,0.438697,0.507936,0.550633,0.464783,0.650977,0.63058,0.338582,0.592203,0.468514,0.551602,0.55892,0.512072,0.639617
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,5,416,Left,0.563929,0.171667,0.476859,0.265677,0.401171,0.387308,0.334669,0.479402,0.290949,0.547713,0.452542,0.323716,0.391652,0.419968,0.356164,0.483179,0.32216,0.557422,0.537804,0.302359,0.522534,0.399546,0.511223,0.492046,0.503767,0.562224,0.614891,0.293971,0.650411,0.403151,0.672715,0.508614,0.693477,0.595498,0.681938,0.290321,0.74199,0.367909,0.791699,0.411786,0.832843,0.450455
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,6,500,Left,0.573841,0.164308,0.473687,0.233015,0.388871,0.325205,0.316809,0.411824,0.271617,0.488965,0.463749,0.299616,0.415728,0.409986,0.383791,0.491297,0.352304,0.571885,0.547356,0.293392,0.542566,0.402353,0.539764,0.492458,0.53627,0.572639,0.622741,0.29514,0.651158,0.431027,0.667214,0.538862,0.675607,0.637302,0.681745,0.297807,0.73831,0.395305,0.778688,0.44625,0.809366,0.495434
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,7,583,Left,0.569361,0.159204,0.46416,0.235603,0.38214,0.324895,0.313265,0.411453,0.262993,0.485605,0.467469,0.312867,0.420963,0.401796,0.385674,0.478754,0.347721,0.559962,0.554517,0.308478,0.562092,0.438465,0.558426,0.547335,0.551298,0.645555,0.629465,0.314279,0.668418,0.44617,0.674034,0.559733,0.673689,0.665099,0.687403,0.321862,0.74961,0.430684,0.792899,0.493124,0.827277,0.558749
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,8,666,Left,0.574094,0.161055,0.465335,0.242686,0.378165,0.334457,0.309858,0.414955,0.263623,0.485431,0.469444,0.328,0.424679,0.436362,0.388862,0.517804,0.35244,0.607025,0.559152,0.322282,0.575199,0.475771,0.580423,0.605512,0.582386,0.728804,0.635628,0.323704,0.672836,0.466281,0.684275,0.588364,0.689077,0.707877,0.689643,0.324535,0.760085,0.42715,0.807763,0.489447,0.843534,0.557444
video21.mp4,78fbdd1faaea08f7bb534bdf1610fcd01d4f1b9d235c6da974877d321364057c,640,480,12.1,117,9.667,9,750,Left,0.577784,0.15972,0.465649,0.245272,0.374505,0.33937,0.305927,0.414163,0.256601,0.475878,0.468524,0.327941,0.417924,0.423089,0.385329,0.510862,0.352546,0.599819,0.561022,0.311703,0.566936,0.436872,0.574186,0.55436,0.575755,0.659628,0.638449,0.311983,0.667818,0.430212,0.67738,0.550669,0.678137,0.662133,0.698334,0.32143,0.758404,0.43195,0.798823,0.516598,0.824811,0.599793
