video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,0,0,Left,0.613053,0.15862,0.49747,0.258359,0.387396,0.371266,0.305231,0.467506,0.256188,0.531205,0.478,0.315655,0.407291,0.414873,0.361461,0.493936,0.313862,0.570661,0.574993,0.29255,0.587147,0.442188,0.579709,0.5832,0.574978,0.68987,0.655071,0.288714,0.690546,0.457466,0.699091,0.58809,0.708206,0.687336,0.719296,0.29877,0.773736,0.441394,0.816471,0.535887,0.848955,0.613612
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,1,83,Left,0.601111,0.155743,0.494014,0.231474,0.390803,0.333277,0.315731,0.432352,0.260518,0.514209,0.498671,0.308333,0.448971,0.456103,0.426012,0.565736,0.400018,0.666489,0.599292,0.298363,0.604359,0.458696,0.596057,0.592829,0.58164,0.706759,0.677223,0.303208,0.707461,0.460222,0.700798,0.584553,0.684563,0.688791,0.732702,0.313947,0.786256,0.447055,0.825747,0.536103,0.851278,0.615638
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,2,166,Left,0.589856,0.151795,0.484513,0.224852,0.396264,0.327318,0.317961,0.427114,0.258815,0.512743,0.500383,0.321467,0.453755,0.466161,0.427895,0.580405,0.400978,0.691532,0.600299,0.31945,0.603566,0.464711,0.596213,0.600965,0.584187,0.724712,0.680067,0.327876,0.708381,0.453067,0.705345,0.574802,0.69126,0.682776,0.739466,0.340897,0.802448,0.457762,0.846171,0.539371,0.874337,0.620262
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,3,250,Left,0.585936,0.167848,0.482645,0.234603,0.395009,0.33499,0.318116,0.434307,0.261065,0.521026,0.505483,0.319119,0.453362,0.46145,0.42361,0.575748,0.39509,0.684807,0.605701,0.319135,0.609861,0.469367,0.602071,0.599036,0.588483,0.720512,0.686507,0.331321,0.714305,0.45652,0.712988,0.576147,0.700934,0.686462,0.744419,0.347231,0.809881,0.459484,0.857002,0.537041,0.885924,0.613489
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,4,333,Left,0.585287,0.16812,0.47954,0.241493,0.392365,0.347207,0.317421,0.442689,0.264531,0.523972,0.501177,0.323417,0.452368,0.468787,0.426677,0.582146,0.401138,0.691572,0.600186,0.32304,0.60477,0.474864,0.600552,0.602201,0.591242,0.722533,0.682041,0.332719,0.710047,0.461138,0.714686,0.580402,0.712252,0.69014,0.7435,0.344197,0.803378,0.452802,0.847379,0.524386,0.879123,0.596799
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,5,416,Left,0.587765,0.151867,0.481288,0.224869,0.397426,0.334977,0.322911,0.437558,0.262355,0.523879,0.505865,0.322271,0.453484,0.46841,0.423677,0.578648,0.394408,0.682503,0.603456,0.322995,0.607154,0.47558,0.600405,0.604212,0.587963,0.724874,0.682123,0.331286,0.711952,0.455186,0.713616,0.570696,0.706821,0.67743,0.739092,0.340852,0.802623,0.453402,0.849253,0.528329,0.883004,0.604082
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,6,500,Left,0.591825,0.135439,0.486444,0.21279,0.39649,0.330891,0.320199,0.437777,0.262496,0.5228,0.506204,0.322681,0.457445,0.470096,0.425601,0.580248,0.395961,0.684067,0.604946,0.324004,0.611856,0.485625,0.601852,0.612833,0.592323,0.727975,0.685054,0.335215,0.71691,0.484328,0.723119,0.605333,0.725591,0.718543,0.742638,0.348643,0.801079,0.461343,0.844323,0.515143,0.877727,0.570009
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,7,583,Left,0.585597,0.120709,0.481538,0.201571,0.394288,0.325575,0.318899,0.43328,0.265199,0.521053,0.500299,0.308338,0.457803,0.462887,0.425539,0.572214,0.396449,0.680432,0.593182,0.305679,0.604239,0.470257,0.595639,0.600852,0.589214,0.723561,0.670733,0.311741,0.710797,0.465821,0.719059,0.587925,0.724729,0.708244,0.727637,0.320391,0.778985,0.430476,0.818535,0.462987,0.852229,0.498633
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,8,666,Left,0.581397,0.123264,0.47645,0.203003,0.385507,0.326032,0.311169,0.427313,0.2638,0.508425,0.493413,0.324107,0.450761,0.479142,0.420513,0.581985,0.390601,0.68834,0.590051,0.319205,0.59967,0.462544,0.594581,0.581585,0.588884,0.692221,0.669572,0.319881,0.709842,0.474559,0.729985,0.606905,0.742543,0.729289,0.72758,0.320637,0.784751,0.43731,0.829473,0.50743,0.867038,0.573513
video24.mp4,984cccb777c20c63c8c25e6e4d813553ca7b71eaabe3de52a1695ddca6842808,640,480,12.09,130,10.75,9,750,Left,0.588957,0.130705,0.479207,0.216321,0.390643,0.331208,0.315602,0.433802,0.264822,0.522194,0.501681,0.336465,0.455326,0.467895,0.429534,0.57661,0.401386,0.688069,0.603577,0.336216,0.61535,0.488486,0.615244,0.616702,0.608489,0.735295,0.684102,0.346419,0.722316,0.500542,0.737202,0.626813,0.737283,0.742023,0.735984,0.357207,0.792991,0.475906,0.839492,0.553676,0.872337,0.633898
