video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,0,0,Left,0.602843,0.164111,0.486644,0.275698,0.374395,0.391657,0.293832,0.476135,0.249987,0.512459,0.45905,0.29701,0.394579,0.404564,0.356074,0.484214,0.318729,0.562131,0.546664,0.281924,0.542913,0.420193,0.541505,0.525589,0.547139,0.61244,0.629952,0.285255,0.648213,0.450701,0.652952,0.554946,0.663523,0.644964,0.711903,0.305865,0.773593,0.426992,0.814032,0.496233,0.843767,0.554142
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,1,83,Left,0.596327,0.134756,0.490985,0.220925,0.381638,0.336857,0.300948,0.436432,0.245568,0.504109,0.476435,0.299817,0.425992,0.43875,0.404383,0.53407,0.379817,0.629335,0.566367,0.298373,0.553012,0.428899,0.532653,0.53989,0.516574,0.635955,0.645145,0.308615,0.677305,0.451678,0.691141,0.537534,0.708089,0.602477,0.714397,0.323274,0.778518,0.432823,0.833756,0.501154,0.880586,0.564997
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,2,166,Left,0.591883,0.130247,0.480822,0.209776,0.375694,0.331124,0.29571,0.429491,0.240931,0.504849,0.49018,0.317056,0.448715,0.464311,0.425843,0.567952,0.399689,0.676462,0.586669,0.319085,0.596168,0.45552,0.590525,0.566279,0.582333,0.672838,0.665817,0.327934,0.702892,0.478278,0.716456,0.594114,0.722924,0.703815,0.723688,0.335118,0.77555,0.46395,0.821585,0.537855,0.859327,0.607647
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,3,250,Left,0.590632,0.145612,0.478146,0.216712,0.386092,0.319843,0.302894,0.421642,0.241587,0.511524,0.497154,0.338057,0.448117,0.468336,0.42161,0.577797,0.391346,0.69026,0.602399,0.348357,0.605072,0.483182,0.59551,0.605392,0.581034,0.722296,0.684717,0.365244,0.714998,0.504688,0.723752,0.62449,0.717752,0.73734,0.737318,0.377889,0.79332,0.480976,0.84357,0.549315,0.879969,0.624577
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,4,333,Left,0.581683,0.144991,0.473389,0.216841,0.378133,0.31924,0.29228,0.421843,0.236944,0.51431,0.489413,0.346827,0.444363,0.472691,0.416724,0.579118,0.39057,0.683372,0.594933,0.361153,0.598048,0.492942,0.590575,0.613868,0.579388,0.720422,0.681695,0.37485,0.714669,0.508574,0.728367,0.622773,0.726504,0.725306,0.741749,0.382837,0.792055,0.48958,0.839858,0.562335,0.87389,0.629614
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,5,416,Left,0.584141,0.151177,0.473362,0.223605,0.379114,0.320998,0.296754,0.427226,0.243516,0.526643,0.487648,0.363016,0.441774,0.480068,0.415265,0.584606,0.390135,0.687353,0.596528,0.379231,0.603445,0.515547,0.596235,0.636199,0.585569,0.744371,0.684307,0.38927,0.721127,0.519512,0.736626,0.635615,0.739063,0.740959,0.742507,0.390546,0.798663,0.490372,0.849665,0.556509,0.888951,0.622389
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,6,500,Left,0.583563,0.139832,0.472866,0.219795,0.382924,0.329596,0.299332,0.436195,0.24001,0.526144,0.493265,0.362773,0.446888,0.481706,0.418369,0.583726,0.392123,0.689407,0.597874,0.374013,0.604537,0.504152,0.599811,0.620055,0.591764,0.727937,0.682347,0.382626,0.719307,0.517108,0.743198,0.630931,0.75283,0.740657,0.73851,0.383034,0.799937,0.483509,0.855731,0.541224,0.897054,0.605016
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,7,583,Left,0.587808,0.162293,0.475064,0.219124,0.379483,0.330605,0.300257,0.435727,0.245813,0.526431,0.493536,0.334798,0.449498,0.464672,0.421028,0.568517,0.391081,0.679023,0.600019,0.355353,0.595178,0.485734,0.587958,0.610545,0.575461,0.736243,0.688126,0.373655,0.70322,0.488448,0.705103,0.601014,0.698119,0.715003,0.752608,0.382956,0.8032,0.492186,0.845172,0.56007,0.873961,0.626908
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,8,666,Left,0.580868,0.168779,0.473468,0.23223,0.384769,0.336914,0.305844,0.439263,0.246768,0.525685,0.491415,0.346399,0.445359,0.475285,0.420441,0.580891,0.392888,0.687541,0.593703,0.354104,0.58958,0.490656,0.581347,0.611964,0.566869,0.729845,0.679528,0.368082,0.698869,0.486608,0.701011,0.597723,0.693645,0.703823,0.743042,0.380833,0.798376,0.486549,0.84369,0.553884,0.87767,0.624783
video25.mp4,6d1e4a9ae0f3add5fe01ca964f2b4e1f304b48198b75da30afe43d6e686302fe,640,480,12.06,198,16.417,9,750,Left,0.584877,0.165546,0.477864,0.230107,0.387538,0.334669,0.30757,0.43474,0.242673,0.517069,0.49529,0.344854,0.445556,0.475298,0.420658,0.579695,0.394327,0.682981,0.596263,0.355119,0.589794,0.490605,0.580754,0.608918,0.567206,0.723969,0.680907,0.369097,0.698968,0.490462,0.699013,0.599332,0.691954,0.702403,0.74301,0.380937,0.799672,0.490346,0.845343,0.558878,0.880249,0.630903
