video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,0,0,Left,0.506595,0.403516,0.473179,0.503771,0.444295,0.623287,0.43089,0.70431,0.437318,0.71542,0.450314,0.530258,0.423958,0.614902,0.420019,0.656898,0.413186,0.691707,0.484459,0.506094,0.500193,0.612805,0.502899,0.706584,0.506891,0.766481,0.518644,0.490354,0.520616,0.600596,0.508623,0.70173,0.504497,0.769216,0.551558,0.493822,0.547822,0.567188,0.54117,0.619772,0.536977,0.660092
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,1,83,Left,0.504581,0.434437,0.465908,0.513096,0.439916,0.607863,0.44037,0.700825,0.462997,0.753601,0.457832,0.529972,0.426595,0.630607,0.414354,0.705191,0.404326,0.774853,0.488882,0.514323,0.509726,0.635108,0.513556,0.735369,0.509266,0.814357,0.523785,0.512131,0.533143,0.643651,0.514176,0.758325,0.496671,0.847941,0.556132,0.525283,0.569423,0.634783,0.567994,0.717599,0.565652,0.7962
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,2,166,Right,0.4971,0.459787,0.538174,0.511799,0.573108,0.567435,0.606954,0.625176,0.639226,0.672365,0.564496,0.504784,0.60254,0.535908,0.627558,0.557643,0.643326,0.583871,0.51558,0.484779,0.537092,0.61239,0.543082,0.711915,0.542374,0.801034,0.469232,0.489875,0.452766,0.621481,0.433717,0.715808,0.417318,0.792431,0.427833,0.509858,0.397426,0.606121,0.372273,0.673263,0.348138,0.739158
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,3,250,Right,0.517677,0.527267,0.554042,0.588912,0.561794,0.66695,0.555777,0.717243,0.548803,0.711386,0.545388,0.517681,0.53929,0.571161,0.535218,0.645761,0.525935,0.714671,0.501074,0.486078,0.475388,0.590962,0.464646,0.700133,0.45208,0.790604,0.460687,0.475243,0.413074,0.593909,0.394729,0.694595,0.375322,0.770705,0.423405,0.484291,0.377637,0.570964,0.357212,0.621516,0.339929,0.659225
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,4,333,Right,0.485484,0.441038,0.545285,0.488214,0.587654,0.564602,0.618475,0.63748,0.65503,0.669231,0.556991,0.506931,0.594714,0.579173,0.615777,0.65604,0.631234,0.735483,0.508965,0.507379,0.515202,0.605483,0.513127,0.727637,0.507178,0.819342,0.458685,0.513234,0.432733,0.596214,0.409759,0.693103,0.393566,0.780234,0.410211,0.525801,0.385551,0.597731,0.373492,0.667166,0.362815,0.733176
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,5,416,Right,0.497953,0.433719,0.538813,0.512352,0.572349,0.62123,0.58997,0.713786,0.595675,0.774215,0.55125,0.552055,0.557142,0.657617,0.562338,0.737407,0.56453,0.808623,0.504529,0.515715,0.492604,0.625136,0.481062,0.724151,0.466289,0.805283,0.458834,0.488955,0.416264,0.602566,0.390152,0.697079,0.365608,0.774132,0.417662,0.471283,0.360737,0.553744,0.328992,0.596236,0.300517,0.629618
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,6,500,Right,0.498167,0.434087,0.453136,0.527424,0.425268,0.651788,0.420162,0.744851,0.413916,0.803742,0.455971,0.571476,0.443139,0.675603,0.435599,0.752349,0.429178,0.821684,0.483031,0.523472,0.477837,0.619387,0.466184,0.709843,0.453935,0.778652,0.507628,0.49332,0.498324,0.594279,0.480348,0.691848,0.462723,0.769963,0.524499,0.475921,0.486285,0.555433,0.450012,0.614997,0.418413,0.652104
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,7,583,Right,0.492394,0.420625,0.480701,0.542146,0.462735,0.66552,0.459528,0.769804,0.462052,0.783637,0.460669,0.576272,0.449982,0.681999,0.444763,0.770139,0.442613,0.83272,0.473686,0.51612,0.473879,0.617356,0.462058,0.724824,0.45428,0.801824,0.491669,0.472667,0.49241,0.58025,0.478524,0.70681,0.467623,0.810222,0.512605,0.457621,0.499355,0.532445,0.481844,0.599412,0.467973,0.662067
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,8,666,Right,0.487794,0.431862,0.509064,0.548592,0.497852,0.675256,0.489512,0.780177,0.486749,0.80035,0.505535,0.578476,0.528066,0.691133,0.533612,0.780402,0.537346,0.84544,0.479706,0.524417,0.478225,0.632268,0.463585,0.735196,0.456169,0.810853,0.457285,0.494332,0.438565,0.594565,0.411762,0.712702,0.394334,0.809334,0.440186,0.488525,0.393363,0.572905,0.355637,0.646015,0.32559,0.710783
video4.mp4,bd610ea48c61a998bb8488a78a610a068f376ac8802106b771545e24b6c0675f,1280,720,12.07,184,15.25,9,750,Right,0.483777,0.43211,0.501263,0.544344,0.499344,0.663914,0.495241,0.759811,0.489991,0.784112,0.498104,0.580602,0.520936,0.668857,0.530828,0.737381,0.536056,0.797328,0.47783,0.522829,0.474219,0.618597,0.46475,0.707628,0.459112,0.779183,0.458915,0.48312,0.443101,0.575887,0.424172,0.683484,0.410832,0.772965,0.446103,0.46317,0.400729,0.53809,0.368717,0.603654,0.342118,0.661438
