video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,0,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,1,83,Left,0.47927,0.060821,0.470428,0.153865,0.428198,0.291226,0.377245,0.40945,0.333355,0.477948,0.468835,0.184552,0.461922,0.348736,0.460761,0.461969,0.456575,0.568835,0.472923,0.170293,0.470909,0.324103,0.464749,0.451623,0.459096,0.572552,0.472613,0.177245,0.461439,0.332,0.444902,0.475418,0.435484,0.611102,0.469527,0.204376,0.453563,0.3273,0.435823,0.429895,0.420968,0.530795
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,2,166,Right,0.470165,0.120438,0.52688,0.19131,0.549384,0.325012,0.547361,0.435252,0.54701,0.50812,0.514827,0.225929,0.53151,0.323247,0.537244,0.408766,0.534808,0.49639,0.458978,0.224286,0.449383,0.372313,0.443189,0.500054,0.434684,0.610299,0.409657,0.229234,0.379525,0.359256,0.364028,0.485967,0.355347,0.58466,0.367824,0.236841,0.313911,0.337368,0.279621,0.413288,0.253589,0.476794
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,3,250,Right,0.470641,0.075278,0.513671,0.195089,0.511732,0.357597,0.494237,0.497647,0.468901,0.588319,0.508379,0.246084,0.529007,0.408509,0.539452,0.533983,0.54452,0.636976,0.467606,0.212268,0.462998,0.356152,0.454363,0.490695,0.447033,0.602128,0.424158,0.198351,0.391399,0.324637,0.368773,0.463183,0.355618,0.579417,0.382458,0.20007,0.319875,0.319614,0.275826,0.419147,0.240927,0.504766
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,4,333,Right,0.477007,0.09191,0.529344,0.216632,0.528775,0.382105,0.504436,0.515001,0.468289,0.535248,0.528669,0.265988,0.550724,0.404682,0.55675,0.51626,0.556091,0.597123,0.477547,0.216306,0.469523,0.330765,0.451272,0.454555,0.436346,0.53647,0.424365,0.18924,0.382803,0.29995,0.340705,0.43689,0.308538,0.532895,0.372318,0.189727,0.304421,0.303222,0.259415,0.385459,0.22562,0.448783
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,5,416,Right,0.471256,0.106584,0.535757,0.202676,0.547529,0.366785,0.524733,0.514686,0.488988,0.61942,0.529829,0.257826,0.554521,0.401612,0.568622,0.523633,0.576539,0.625949,0.47363,0.230048,0.469392,0.371397,0.463694,0.514249,0.459991,0.625459,0.414862,0.213435,0.384263,0.342623,0.365974,0.480484,0.358973,0.590431,0.36153,0.210792,0.303681,0.326735,0.266437,0.41775,0.239489,0.49741
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,6,500,Right,0.469524,0.124891,0.529192,0.231197,0.555006,0.382764,0.562332,0.515491,0.566179,0.607373,0.534792,0.2633,0.560111,0.405876,0.56793,0.533493,0.571339,0.627426,0.476275,0.226877,0.465972,0.374293,0.460075,0.519599,0.458552,0.624211,0.418872,0.211407,0.386339,0.348663,0.367537,0.493739,0.359319,0.598025,0.366248,0.21043,0.303661,0.332006,0.264072,0.427478,0.234362,0.501123
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,7,583,Right,0.471023,0.124234,0.527141,0.25976,0.551322,0.404587,0.556833,0.531547,0.547676,0.597191,0.538522,0.289722,0.560362,0.405498,0.570835,0.530558,0.573939,0.619649,0.483888,0.238857,0.471067,0.365353,0.462842,0.514189,0.458956,0.617333,0.42806,0.21538,0.395235,0.329848,0.376258,0.48196,0.36576,0.593103,0.377669,0.211555,0.313042,0.324139,0.275972,0.424627,0.250873,0.501502
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,8,666,Right,0.475559,0.12623,0.536961,0.254493,0.564402,0.386337,0.569057,0.508939,0.574795,0.582077,0.544778,0.273132,0.57129,0.388618,0.580158,0.520595,0.583735,0.616781,0.482116,0.237042,0.475404,0.372549,0.467914,0.520744,0.459142,0.624688,0.423186,0.219647,0.392642,0.331814,0.37578,0.471776,0.360487,0.569288,0.373481,0.219154,0.315258,0.320078,0.27625,0.399328,0.242236,0.459241
video6.mp4,5dae73efc3263155c12edb4ddef5246a6897a8ed3b1bedc17d5a224487e0a2c7,1280,720,12.14,88,7.25,9,750,Right,0.468092,0.099573,0.528564,0.16868,0.564235,0.288722,0.583365,0.394987,0.604686,0.463392,0.534642,0.233486,0.567406,0.373292,0.582856,0.498037,0.591097,0.602891,0.467786,0.223699,0.464013,0.371672,0.458554,0.507518,0.451539,0.617716,0.409901,0.220601,0.382958,0.340881,0.365765,0.469746,0.351468,0.567812,0.366322,0.226964,0.308186,0.334606,0.264148,0.40606,0.223674,0.460527
