video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,0,0,Right,0.465554,0.443922,0.522099,0.483622,0.565864,0.530274,0.59763,0.577357,0.632239,0.613563,0.499785,0.49922,0.503069,0.591665,0.502875,0.6579,0.500372,0.708973,0.447316,0.503829,0.438977,0.602051,0.429023,0.674828,0.422899,0.716432,0.404955,0.511593,0.387443,0.595156,0.377177,0.659264,0.374464,0.697446,0.373101,0.521355,0.338934,0.583078,0.320392,0.629737,0.311615,0.663306
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,1,83,Right,0.47243,0.431619,0.528398,0.472048,0.568353,0.519527,0.590493,0.566596,0.611404,0.614709,0.50692,0.519966,0.510417,0.612526,0.510064,0.677478,0.506702,0.731685,0.45482,0.518174,0.442292,0.603727,0.431909,0.671635,0.421396,0.729185,0.412986,0.516163,0.392858,0.587461,0.381014,0.649475,0.371432,0.706492,0.381926,0.513525,0.347875,0.562268,0.327698,0.608084,0.310791,0.657733
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,2,166,Left,0.473465,0.433819,0.526292,0.46506,0.566235,0.514233,0.587154,0.561332,0.607867,0.611239,0.508079,0.524201,0.509704,0.613836,0.510197,0.676508,0.509763,0.721164,0.457433,0.5224,0.443262,0.607724,0.432897,0.678633,0.424079,0.730623,0.417161,0.516688,0.39433,0.585238,0.380525,0.652107,0.370487,0.706542,0.387533,0.505285,0.349779,0.556401,0.328667,0.605711,0.312359,0.653065
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,3,250,Left,0.47108,0.433039,0.525043,0.463245,0.565821,0.514089,0.589348,0.560075,0.610738,0.613501,0.505835,0.517652,0.510988,0.61191,0.512195,0.67744,0.510528,0.7258,0.456796,0.516566,0.44473,0.60699,0.434266,0.678466,0.423687,0.734366,0.416856,0.514739,0.394333,0.585918,0.381183,0.654462,0.370878,0.709789,0.386456,0.506765,0.348566,0.558085,0.327192,0.607826,0.31026,0.654834
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,4,333,Left,0.4719,0.434284,0.523776,0.464576,0.562861,0.513963,0.587164,0.554989,0.608209,0.60772,0.504912,0.539069,0.509996,0.634184,0.512927,0.68742,0.51629,0.709313,0.456809,0.533352,0.445526,0.620634,0.434815,0.686487,0.426277,0.733545,0.416892,0.523934,0.395449,0.59327,0.381419,0.659022,0.371459,0.70933,0.386447,0.506483,0.349782,0.559995,0.328014,0.611162,0.311555,0.657522
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,5,416,Left,0.467334,0.432405,0.520654,0.457434,0.562231,0.515052,0.590629,0.571621,0.616153,0.638196,0.505807,0.516615,0.509751,0.556848,0.521307,0.59395,0.532947,0.629468,0.45739,0.521497,0.448501,0.603791,0.438144,0.667331,0.426455,0.720594,0.416253,0.522824,0.398564,0.589596,0.385115,0.646016,0.374929,0.696938,0.385276,0.514349,0.353787,0.564841,0.333271,0.606081,0.316535,0.650419
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,6,500,Left,0.470262,0.426197,0.518242,0.45345,0.558905,0.515665,0.591449,0.570101,0.626037,0.629726,0.504662,0.523902,0.508543,0.556215,0.523483,0.574532,0.542699,0.592911,0.456941,0.522389,0.444876,0.60275,0.437764,0.667745,0.430074,0.726119,0.415703,0.519327,0.394355,0.583859,0.384791,0.640671,0.377552,0.697462,0.384758,0.506112,0.352481,0.559626,0.332142,0.603318,0.315373,0.653112
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,7,583,Left,0.471115,0.42652,0.524096,0.452674,0.568532,0.499638,0.595644,0.539424,0.615514,0.587968,0.511841,0.527349,0.522664,0.604484,0.523062,0.668806,0.51988,0.717822,0.46027,0.531093,0.453159,0.614987,0.441668,0.680165,0.43041,0.733111,0.418432,0.52703,0.401776,0.593316,0.387433,0.657978,0.376583,0.709559,0.386164,0.513311,0.351161,0.56359,0.329985,0.609158,0.314462,0.652983
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,8,666,Right,0.469885,0.410606,0.520369,0.451743,0.565451,0.504877,0.594118,0.552251,0.618975,0.592985,0.507825,0.492719,0.518355,0.582883,0.523863,0.653028,0.525632,0.715047,0.455222,0.495459,0.442991,0.573209,0.440193,0.649522,0.436197,0.712059,0.414575,0.499795,0.390495,0.561409,0.382385,0.630897,0.376103,0.69275,0.386057,0.504056,0.353402,0.558425,0.33628,0.612934,0.319284,0.664593
video9.mp4,693ffacf257fb25a2eab891d5e129f4b5ac26c778992445b49e2c233c16a70e7,1280,720,12.06,189,15.667,9,750,Right,0.478792,0.462563,0.425936,0.484022,0.382728,0.520054,0.344817,0.550667,0.31381,0.580368,0.442378,0.486863,0.433149,0.503438,0.423195,0.527517,0.411961,0.567275,0.486403,0.486169,0.494475,0.526336,0.493801,0.569442,0.48875,0.618548,0.522047,0.499101,0.541889,0.556687,0.551791,0.62164,0.556396,0.689257,0.551151,0.508399,0.584634,0.532039,0.611521,0.555252,0.631823,0.590074
